Run,Host,strain,subtype,LibraryLayout,Organism,system type,AvgSpotLen,Reads,LibrarySelection,LibrarySource
180628A_rec_A-P1p_S218,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628A_rec_B-P1p_S219,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628A_rec_C-P1p_S219,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628A_rec_D-P1p_S221,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628A_rec_WT1p6-1213_S242,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628B_rec_A-P1p-PCR_S213,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628B_rec_B-P1p-PCR_S214,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628B_rec_C-P1p-PCR_S215,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628B_rec_D-P1p-PCR_S216,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180628B_rec_WT-P1p-PCR_S217,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705A_rec_AP1pb_S294,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705A_rec_BP1pb_S295,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705A_rec_CP1pb_S296,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705A_rec_DP1pb_S297,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705A_rec_WTP1pb_S298,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705B_rec_AP1pPCRb_S289,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705B_rec_BP1pPCRb_S290,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705B_rec_CP1pPCRb_S291,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705B_rec_DP1pPCRb_S292,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180705B_rec_WTP1pPCRb_S293,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180706A_rec_AP1pc_S10,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180706A_rec_BP1pc_S11,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
180706A_rec_DP1pc_S12,Homo sapiens,A/WSN/1993,H1N1,PAIRED,Influenza A virus,in vitro,,, , 
