Segment,Start,End,NGS_read_count
AF389115.1,107,2152,1
AF389115.1,108,2140,2
AF389115.1,109,2152,2
AF389115.1,112,2142,1
AF389115.1,1158,1267,1
AF389115.1,116,2140,1
AF389115.1,118,2153,1
AF389115.1,120,2140,1
AF389115.1,122,2172,1
AF389115.1,1242,1344,1
AF389115.1,127,2140,1
AF389115.1,128,2152,1
AF389115.1,139,1961,2
AF389115.1,139,2159,1
AF389115.1,143,2139,1
AF389115.1,144,2094,1
AF389115.1,1466,2316,1
AF389115.1,147,2081,2
AF389115.1,147,2100,2
AF389115.1,148,2137,1
AF389115.1,150,181,1
AF389115.1,150,2207,4
AF389115.1,1515,2224,1
AF389115.1,151,2140,1
AF389115.1,152,1912,1
AF389115.1,152,2139,1
AF389115.1,152,2203,1
AF389115.1,152,2204,1
AF389115.1,156,2139,1
AF389115.1,157,2141,1
AF389115.1,159,1993,1
AF389115.1,159,2195,1
AF389115.1,160,1956,1
AF389115.1,161,2026,1
AF389115.1,161,2077,3
AF389115.1,162,2046,1
AF389115.1,162,2090,1
AF389115.1,162,2109,1
AF389115.1,163,192,3
AF389115.1,163,2152,3
AF389115.1,166,2135,1
AF389115.1,168,2121,3
AF389115.1,170,2104,1
AF389115.1,171,2168,1
AF389115.1,171,2195,4
AF389115.1,173,2087,4
AF389115.1,175,2100,1
AF389115.1,175,2247,1
AF389115.1,177,1940,1
AF389115.1,177,2042,1
AF389115.1,177,2086,1
AF389115.1,180,2087,1
AF389115.1,180,2089,3
AF389115.1,181,2142,1
AF389115.1,184,2077,1
AF389115.1,189,2236,1
AF389115.1,191,2203,1
AF389115.1,1938,2090,1
AF389115.1,195,1993,1
AF389115.1,195,2078,1
AF389115.1,195,2093,1
AF389115.1,195,2212,1
AF389115.1,196,1626,1
AF389115.1,197,2041,1
AF389115.1,199,227,1
AF389115.1,201,1985,3
AF389115.1,202,2083,1
AF389115.1,204,2139,1
AF389115.1,207,2140,3
AF389115.1,209,2097,1
AF389115.1,210,2154,1
AF389115.1,212,1498,1
AF389115.1,2132,2164,2
AF389115.1,215,1572,1
AF389115.1,216,1969,2
AF389115.1,216,2139,4
AF389115.1,216,2164,1
AF389115.1,2176,2198,1
AF389115.1,217,1976,2
AF389115.1,220,2042,1
AF389115.1,220,250,1
AF389115.1,222,2018,1
AF389115.1,225,1865,2
AF389115.1,225,2121,2
AF389115.1,227,2041,2
AF389115.1,230,1992,1
AF389115.1,232,1991,2
AF389115.1,232,2045,1
AF389115.1,233,1656,1
AF389115.1,235,1901,1
AF389115.1,238,1976,1
AF389115.1,242,2070,1
AF389115.1,246,2172,1
AF389115.1,248,2026,1
AF389115.1,251,2091,1
AF389115.1,252,1976,1
AF389115.1,253,1908,1
AF389115.1,256,1887,1
AF389115.1,258,1975,2
AF389115.1,259,1994,1
AF389115.1,25,85,1
AF389115.1,262,2107,1
AF389115.1,263,2186,1
AF389115.1,264,2085,1
AF389115.1,267,1933,4
AF389115.1,271,2048,1
AF389115.1,272,1877,2
AF389115.1,272,2071,1
AF389115.1,273,2089,1
AF389115.1,274,1946,1
AF389115.1,274,2045,1
AF389115.1,275,1969,1
AF389115.1,275,2015,3
AF389115.1,276,1861,1
AF389115.1,287,1975,2
AF389115.1,294,2026,1
AF389115.1,295,1923,1
AF389115.1,297,2027,1
AF389115.1,304,1935,1
AF389115.1,305,2011,1
AF389115.1,308,1802,1
AF389115.1,308,2091,1
AF389115.1,314,2097,1
AF389115.1,317,1880,5
AF389115.1,318,1916,1
AF389115.1,318,1922,2
AF389115.1,318,2012,1
AF389115.1,319,1992,1
AF389115.1,320,1948,2
AF389115.1,321,1922,1
AF389115.1,323,2138,1
AF389115.1,324,1921,4
AF389115.1,325,1887,1
AF389115.1,327,1887,4
AF389115.1,328,1969,1
AF389115.1,328,350,1
AF389115.1,329,1778,3
AF389115.1,329,1794,1
AF389115.1,329,1917,3
AF389115.1,329,1921,2
AF389115.1,332,1864,1
AF389115.1,332,2016,1
AF389115.1,338,1970,1
AF389115.1,341,2161,1
AF389115.1,343,1834,1
AF389115.1,368,1963,1
AF389115.1,376,1793,1
AF389115.1,380,1793,5
AF389115.1,380,1937,3
AF389115.1,380,403,1
AF389115.1,382,1802,1
AF389115.1,383,2171,1
AF389115.1,386,1793,1
AF389115.1,387,1820,1
AF389115.1,395,1928,1
AF389115.1,396,2315,1
AF389115.1,402,1741,1
AF389115.1,402,1793,1
AF389115.1,407,1793,1
AF389115.1,409,1846,1
AF389115.1,418,1963,1
AF389115.1,428,1752,3
AF389115.1,428,1867,1
AF389115.1,431,1759,1
AF389115.1,436,1728,1
AF389115.1,449,1678,1
AF389115.1,449,1738,1
AF389115.1,449,1766,1
AF389115.1,450,1793,2
AF389115.1,451,1686,1
AF389115.1,451,1756,1
AF389115.1,453,1687,1
AF389115.1,453,1936,1
AF389115.1,462,2320,1
AF389115.1,463,1921,5
AF389115.1,467,1759,3
AF389115.1,467,1768,1
AF389115.1,467,1790,1
AF389115.1,468,1793,1
AF389115.1,470,1748,1
AF389115.1,470,1750,1
AF389115.1,470,1878,1
AF389115.1,475,1814,1
AF389115.1,479,1727,1
AF389115.1,482,1739,1
AF389115.1,490,1733,1
AF389115.1,491,2213,1
AF389115.1,495,1691,2
AF389115.1,495,1721,1
AF389115.1,496,1803,1
AF389115.1,497,1801,1
AF389115.1,504,1824,1
AF389115.1,514,1648,2
AF389115.1,519,1789,1
AF389115.1,535,1733,1
AF389115.1,537,1763,1
AF389115.1,561,1890,1
AF389115.1,562,1766,1
AF389115.1,564,1789,2
AF389115.1,582,1651,1
AF389115.1,583,1749,1
AF389115.1,586,1677,2
AF389115.1,595,1673,1
AF389115.1,598,1665,1
AF389115.1,610,1643,1
AF389115.1,622,1732,1
AF389115.1,643,1593,1
AF389115.1,653,1950,1
AF389115.1,667,1650,3
AF389115.1,66,1895,1
AF389115.1,693,1687,1
AF389115.1,724,1887,3
AF389115.1,733,1461,1
AF389115.1,750,1262,1
AF389115.1,779,1471,1
AF389115.1,788,1488,1
AF389115.1,830,1950,1
AF389115.1,842,1411,1
AF389115.1,881,2139,1
AF389115.1,894,1392,1
AF389115.1,91,2153,1
AF389115.1,96,2084,1
AF389115.1,975,1966,1
AF389116.1,107,2113,1
AF389116.1,1084,1923,1
AF389116.1,1092,2064,1
AF389116.1,115,138,1
AF389116.1,1171,1952,2
AF389116.1,1189,2241,1
AF389116.1,1222,1866,1
AF389116.1,1234,2211,1
AF389116.1,129,2181,1
AF389116.1,130,2157,1
AF389116.1,132,2056,1
AF389116.1,134,1488,1
AF389116.1,136,2124,1
AF389116.1,137,2082,1
AF389116.1,137,2110,1
AF389116.1,139,165,1
AF389116.1,139,2129,1
AF389116.1,142,2115,1
AF389116.1,149,2140,1
AF389116.1,161,2072,1
AF389116.1,162,2087,1
AF389116.1,162,2094,1
AF389116.1,162,2110,1
AF389116.1,162,2129,1
AF389116.1,164,2008,2
AF389116.1,164,2056,1
AF389116.1,164,2085,1
AF389116.1,164,2149,1
AF389116.1,1663,1864,1
AF389116.1,1697,1724,1
AF389116.1,174,1720,1
AF389116.1,175,2065,4
AF389116.1,178,1971,1
AF389116.1,180,2103,1
AF389116.1,1835,2002,1
AF389116.1,184,2052,1
AF389116.1,184,2110,1
AF389116.1,1870,1938,1
AF389116.1,187,2093,1
AF389116.1,188,2081,1
AF389116.1,1896,1928,1
AF389116.1,190,1978,3
AF389116.1,191,1667,1
AF389116.1,191,2113,3
AF389116.1,192,2129,2
AF389116.1,193,2057,1
AF389116.1,194,1996,2
AF389116.1,1951,1973,1
AF389116.1,195,1995,1
AF389116.1,195,2016,1
AF389116.1,195,2091,1
AF389116.1,195,2110,2
AF389116.1,196,2057,1
AF389116.1,1977,2014,1
AF389116.1,1978,2073,1
AF389116.1,197,2062,1
AF389116.1,199,1971,1
AF389116.1,199,2063,1
AF389116.1,199,2077,1
AF389116.1,199,2085,1
AF389116.1,199,2094,2
AF389116.1,199,2110,1
AF389116.1,199,2129,1
AF389116.1,200,2055,1
AF389116.1,200,2072,3
AF389116.1,2036,2095,1
AF389116.1,204,2016,3
AF389116.1,204,2088,1
AF389116.1,205,2129,2
AF389116.1,206,2127,1
AF389116.1,2070,2095,1
AF389116.1,2070,2129,1
AF389116.1,2070,2165,1
AF389116.1,2073,2107,1
AF389116.1,207,2109,1
AF389116.1,2109,2132,1
AF389116.1,2128,2230,1
AF389116.1,212,1956,1
AF389116.1,213,1957,4
AF389116.1,213,1988,1
AF389116.1,213,2110,1
AF389116.1,213,280,1
AF389116.1,214,1971,1
AF389116.1,214,2148,1
AF389116.1,215,2038,1
AF389116.1,215,2053,1
AF389116.1,215,2093,1
AF389116.1,223,1954,1
AF389116.1,223,1988,2
AF389116.1,223,2014,1
AF389116.1,223,2071,1
AF389116.1,229,2054,1
AF389116.1,237,1343,1
AF389116.1,244,2107,3
AF389116.1,255,1472,1
AF389116.1,256,1969,3
AF389116.1,258,2158,1
AF389116.1,25,1750,1
AF389116.1,25,2005,1
AF389116.1,25,2011,1
AF389116.1,25,2116,1
AF389116.1,25,2192,2
AF389116.1,260,2079,1
AF389116.1,261,2054,3
AF389116.1,261,2071,2
AF389116.1,26,1499,1
AF389116.1,26,1940,1
AF389116.1,26,2053,1
AF389116.1,26,78,1
AF389116.1,271,1997,1
AF389116.1,272,2060,1
AF389116.1,274,1872,1
AF389116.1,275,1779,1
AF389116.1,279,1897,1
AF389116.1,281,1959,1
AF389116.1,281,2056,2
AF389116.1,282,1999,1
AF389116.1,283,1838,2
AF389116.1,284,1899,1
AF389116.1,284,1973,1
AF389116.1,286,1973,2
AF389116.1,288,1839,1
AF389116.1,288,1906,1
AF389116.1,288,1929,1
AF389116.1,288,1949,1
AF389116.1,288,2071,2
AF389116.1,288,376,1
AF389116.1,289,1822,1
AF389116.1,289,1898,1
AF389116.1,290,2112,1
AF389116.1,294,1859,1
AF389116.1,297,2041,1
AF389116.1,297,347,1
AF389116.1,298,2030,1
AF389116.1,300,1899,2
AF389116.1,300,1952,1
