Segment,Start,End,NGS_read_count
OQ034429.1,1170,2242,1
OQ034429.1,121,2185,7
OQ034429.1,130,2023,7
OQ034429.1,161,2156,2
OQ034429.1,1631,2192,1
OQ034429.1,165,1452,1
OQ034429.1,166,1727,5
OQ034429.1,1733,2246,1
OQ034429.1,175,2033,4
OQ034429.1,176,1770,2
OQ034429.1,289,1990,9
OQ034429.1,290,2005,1
OQ034429.1,297,2019,3
OQ034429.1,300,1935,60
OQ034429.1,300,2064,44
OQ034429.1,301,1946,1
OQ034429.1,310,1994,18
OQ034429.1,310,2195,7
OQ034429.1,311,2041,7
OQ034429.1,311,2057,3
OQ034429.1,326,2059,1
OQ034429.1,329,1788,1
OQ034429.1,330,2118,1
OQ034429.1,332,1998,6
OQ034429.1,337,1796,1
OQ034429.1,347,1843,1
OQ034429.1,348,1718,1
OQ034429.1,355,1800,1
OQ034429.1,356,1680,1
OQ034429.1,356,2193,1
OQ034429.1,356,2211,4
OQ034429.1,363,2156,17
OQ034429.1,363,2203,5
OQ034429.1,367,1868,3
OQ034429.1,367,2056,1
OQ034429.1,372,2110,7
OQ034429.1,376,2028,4
OQ034429.1,396,1935,5
OQ034429.1,402,1912,3
OQ034429.1,417,1914,1
OQ034429.1,417,1980,3
OQ034429.1,426,1840,2
OQ034429.1,427,1865,1
OQ034429.1,436,1737,16
OQ034429.1,439,1999,12
OQ034429.1,443,1647,1
OQ034429.1,445,1848,1
OQ034429.1,447,1944,5
OQ034429.1,450,1779,1
OQ034429.1,458,2189,1
OQ034429.1,501,2204,1
OQ034429.1,534,2008,4
OQ034429.1,540,2024,4
OQ034429.1,542,1852,1
OQ034429.1,542,1859,4
OQ034429.1,594,1799,4
OQ034429.1,597,1776,1
OQ034429.1,598,1738,3
OQ034429.1,613,1782,4
OQ034429.1,615,1783,3
OQ034429.1,622,1766,5
OQ034429.1,623,1723,2
OQ034429.1,628,1944,1
OQ034429.1,633,1745,1
OQ034429.1,633,1979,1
OQ034429.1,638,1738,3
OQ034429.1,641,1576,1
OQ034429.1,649,1737,2
OQ034429.1,651,1923,4
OQ034429.1,653,1726,2
OQ034429.1,716,1680,1
OQ034429.1,720,1574,3
OQ034429.1,724,1643,2
OQ034429.1,727,1765,1
OQ034429.1,742,1735,2
OQ034429.1,744,1901,4
OQ034429.1,767,2216,1
OQ034429.1,776,1540,2
OQ034429.1,791,1597,2
OQ034429.1,794,1477,1
OQ034429.1,794,1495,4
OQ034429.1,798,1555,1
OQ034429.1,799,983,2
OQ034429.1,848,1607,1
OQ034429.1,867,1540,4
OQ034429.1,875,1702,1
OQ034429.1,895,1586,1
OQ034429.1,952,1486,1
OQ034429.1,978,2108,1
OQ034429.1,995,1489,1
OQ034430.1,1102,1751,1
OQ034430.1,1145,2195,1
OQ034430.1,1204,1549,1
