Segment,Start,End,NGS_read_count
AF389115.1,1578,1895,1
AF389115.1,163,2006,20
AF389115.1,224,2138,5
AF389116.1,195,2033,1
AF389116.1,269,2054,3
AF389117.1,122,2027,1
AF389117.1,301,1844,8
AF389117.1,462,1813,1
AF389117.1,720,1961,1
AF389121.1,52,741,18
AF389122.1,57,530,8
AF389115.1,163,2006,17
AF389115.1,191,2077,1
AF389115.1,224,2138,6
AF389116.1,195,2033,1
AF389116.1,269,2054,2
AF389117.1,301,1844,1
AF389118.1,184,1459,1
AF389121.1,52,741,12
AF389122.1,57,530,15
AF389115.1,163,2006,17
AF389115.1,191,2053,2
AF389115.1,224,2138,9
AF389115.1,224,2186,1
AF389116.1,195,2033,1
AF389116.1,269,2054,1
AF389116.1,381,2030,1
AF389116.1,54,77,1
AF389117.1,122,2027,1
AF389117.1,301,1844,3
AF389117.1,462,1813,2
AF389119.1,228,1277,1
AF389119.1,896,965,1
AF389121.1,52,741,15
AF389122.1,109,530,1
AF389122.1,57,530,8
AF389115.1,163,2006,16
AF389115.1,224,2138,12
AF389116.1,137,2129,1
AF389116.1,195,2033,1
AF389116.1,269,2054,1
AF389116.1,438,1828,1
AF389116.1,54,77,1
AF389117.1,301,1844,5
AF389121.1,52,741,15
AF389122.1,57,530,13
AF389115.1,163,2006,13
AF389115.1,224,2138,7
AF389116.1,195,2033,2
AF389116.1,1985,2031,1
AF389116.1,269,2054,4
AF389116.1,438,1828,1
AF389117.1,206,1916,1
AF389117.1,301,1844,2
AF389117.1,720,1961,1
AF389118.1,815,936,1
AF389121.1,52,741,13
AF389122.1,57,530,10
AF389115.1,163,2006,18
AF389115.1,224,2138,8
AF389115.1,436,1762,1
AF389116.1,195,2033,1
AF389116.1,269,2054,2
AF389116.1,54,77,1
AF389117.1,122,2027,1
AF389117.1,301,1844,3
AF389117.1,462,1813,1
AF389119.1,534,634,1
AF389121.1,52,741,16
AF389122.1,57,530,7
AF389115.1,163,2006,16
AF389115.1,224,2138,7
AF389116.1,195,2033,1
AF389116.1,269,2054,1
AF389117.1,2041,2063,1
AF389117.1,301,1844,5
AF389121.1,52,741,15
AF389122.1,57,530,8
AF389115.1,143,2132,1
AF389115.1,163,2006,15
AF389115.1,224,2138,5
AF389116.1,137,2129,1
AF389116.1,195,2033,2
AF389116.1,269,2054,1
AF389116.1,299,1896,1
AF389116.1,54,77,1
AF389117.1,206,1916,1
AF389117.1,301,1844,6
AF389117.1,462,1813,1
AF389121.1,485,560,1
AF389121.1,52,741,16
AF389122.1,57,530,9
AF389115.1,163,2006,19
AF389115.1,182,2144,1
AF389115.1,191,2053,1
AF389115.1,224,2138,11
AF389116.1,1985,2031,1
AF389116.1,269,2054,2
AF389116.1,702,1656,1
AF389117.1,301,1844,5
AF389118.1,168,1473,1
AF389121.1,52,741,18
AF389122.1,57,530,7
AF389115.1,163,2006,20
AF389115.1,224,2138,14
AF389116.1,195,2033,2
AF389116.1,438,1828,1
AF389117.1,301,1844,4
AF389117.1,462,1813,1
AF389118.1,140,1498,1
AF389121.1,52,741,12
AF389122.1,57,530,11
AF389115.1,163,2006,19
AF389115.1,224,2138,13
AF389116.1,195,2033,2
AF389116.1,269,2054,1
AF389117.1,206,1916,1
AF389117.1,301,1844,3
AF389117.1,453,1631,2
AF389121.1,52,741,13
AF389122.1,57,530,8
AF389115.1,163,2006,19
AF389115.1,224,2138,8
AF389116.1,195,2033,1
AF389116.1,269,2054,2
AF389117.1,206,1916,2
AF389117.1,208,1952,1
AF389117.1,301,1844,4
AF389117.1,462,1813,1
AF389121.1,52,741,15
AF389122.1,57,530,11
AF389115.1,163,2006,23
AF389115.1,224,2138,7
AF389116.1,195,2033,2
AF389116.1,284,1997,1
AF389117.1,206,1916,1
AF389117.1,301,1844,4
AF389119.1,290,1210,1
AF389121.1,52,741,17
AF389122.1,57,530,15
AF389115.1,163,2006,14
AF389115.1,224,2138,9
AF389116.1,1862,1909,1
AF389116.1,195,2033,2
AF389117.1,301,1844,6
AF389121.1,52,741,14
AF389122.1,57,530,13
AF389115.1,1586,1977,1
AF389115.1,163,2006,18
AF389115.1,182,2144,1
AF389115.1,224,2138,9
AF389116.1,1852,1909,1
AF389116.1,195,2033,1
AF389116.1,301,2023,1
AF389117.1,301,1844,5
AF389118.1,284,1349,1
AF389121.1,195,773,1
AF389121.1,52,741,21
AF389122.1,57,530,12
AF389115.1,108,2102,1
AF389115.1,163,2006,12
AF389115.1,224,2138,5
AF389116.1,195,2033,2
AF389116.1,269,2054,3
AF389116.1,54,77,1
AF389117.1,293,1816,1
AF389117.1,301,1844,9
AF389118.1,342,1314,1
AF389121.1,52,741,17
AF389122.1,57,530,10
AF389122.1,58,531,1
AF389115.1,163,2006,16
AF389115.1,182,2144,1
AF389115.1,224,2138,8
AF389116.1,251,2061,1
AF389116.1,269,2054,2
AF389117.1,206,1916,1
AF389117.1,301,1844,5
AF389121.1,387,472,1
AF389121.1,52,741,12
AF389122.1,57,530,6
AF389115.1,163,2006,23
AF389115.1,191,2053,1
AF389115.1,224,2138,5
AF389116.1,269,2054,1
AF389117.1,122,2027,1
AF389117.1,293,1816,1
AF389117.1,301,1844,5
AF389121.1,52,741,13
AF389122.1,57,530,13
AF389115.1,163,2006,21
AF389115.1,182,2144,1
AF389115.1,224,2138,10
AF389116.1,195,2033,3
AF389116.1,1985,2031,1
AF389116.1,269,2054,2
AF389116.1,438,1828,1
AF389117.1,206,1916,1
AF389117.1,208,1952,1
AF389117.1,301,1844,3
AF389117.1,462,1813,1
AF389118.1,284,1349,1
AF389121.1,52,741,18
AF389122.1,57,530,12
AF389115.1,163,2006,20
AF389115.1,191,2053,1
AF389115.1,224,2138,15
AF389116.1,195,2033,1
AF389116.1,268,2049,1
AF389116.1,269,2054,2
AF389116.1,45,96,1
AF389117.1,301,1844,5
AF389117.1,720,1961,1
AF389118.1,342,1314,1
AF389118.1,416,572,1
AF389121.1,158,839,1
AF389121.1,52,741,18
AF389122.1,57,530,11
AF389115.1,163,2006,22
AF389115.1,224,2138,8
AF389116.1,195,2033,2
AF389116.1,1985,2031,1
AF389116.1,269,2054,3
AF389116.1,438,1828,1
AF389117.1,301,1844,4
AF389120.1,889,985,1
AF389121.1,52,741,16
AF389122.1,57,530,12
AF389115.1,163,2006,21
AF389115.1,224,2138,7
AF389116.1,195,2033,2
AF389116.1,269,2054,2
AF389117.1,301,1844,8
AF389117.1,316,1821,1
AF389121.1,52,741,17
AF389122.1,109,530,1
AF389122.1,57,530,14
AF389115.1,163,2006,15
AF389115.1,224,2138,5
AF389116.1,269,2054,2
AF389116.1,54,77,1
AF389117.1,122,2027,1
AF389117.1,301,1844,5
AF389118.1,1551,1585,1
AF389121.1,52,741,20
AF389122.1,57,530,14
AF389115.1,163,2006,19
AF389115.1,224,2138,9
AF389116.1,261,289,1
AF389116.1,269,2054,1
AF389116.1,410,1775,1
AF389116.1,438,1828,1
AF389116.1,54,77,2
AF389117.1,122,2027,1
AF389117.1,138,208,1
AF389117.1,301,1844,4
AF389118.1,370,1317,1
AF389121.1,52,741,15
AF389122.1,57,530,7
AF389115.1,1578,1895,1
