Segment,Start,End,NGS_read_count
LC333182.1,1000,1926,1
LC333182.1,1059,1277,1
LC333182.1,1101,1726,2
LC333182.1,1132,1160,3
LC333182.1,1134,1508,1
LC333182.1,1135,1489,1
LC333182.1,1141,1204,1
LC333182.1,115,2126,1
LC333182.1,1302,1365,1
LC333182.1,1369,1432,1
LC333182.1,1401,1487,1
LC333182.1,1455,1485,1
LC333182.1,1551,1646,1
LC333182.1,1597,1728,1
LC333182.1,1667,2229,1
LC333182.1,1717,1772,1
LC333182.1,1720,1747,1
LC333182.1,1817,1950,1
LC333182.1,1836,1946,1
LC333182.1,1860,1882,1
LC333182.1,1861,1966,1
LC333182.1,2026,2066,1
LC333182.1,2065,2147,1
LC333182.1,212,1047,1
LC333182.1,2186,2217,1
LC333182.1,407,2015,2
LC333182.1,412,523,3
LC333182.1,510,555,1
LC333182.1,608,1633,2
LC333182.1,655,1051,1
LC333182.1,841,885,1
LC333182.1,852,894,1
LC333182.1,85,1863,3
LC333182.1,879,1847,1
LC333183.1,1080,1223,1
LC333183.1,1085,1399,6
LC333183.1,1157,1539,1
LC333183.1,1177,1405,2
LC333183.1,1178,1825,1
LC333183.1,1188,1272,1
LC333183.1,1226,1793,2
LC333183.1,1293,2047,1
LC333183.1,136,1989,7
LC333183.1,1384,2204,1
LC333183.1,1447,1486,1
LC333183.1,1497,1750,1
LC333183.1,1548,1993,1
LC333183.1,1586,1855,1
LC333183.1,1613,1642,1
LC333183.1,1777,1917,1
LC333183.1,1793,1856,1
LC333183.1,1802,1971,1
LC333183.1,269,2105,1
LC333183.1,29,103,1
LC333183.1,301,539,4
LC333183.1,360,541,1
LC333183.1,446,2107,2
LC333183.1,464,705,2
LC333183.1,524,1769,19
LC333183.1,525,1742,2
LC333183.1,568,1770,1
LC333183.1,571,1505,1
LC333183.1,574,1640,1
LC333183.1,607,637,1
LC333183.1,794,822,26
LC333183.1,818,844,1
LC333183.1,849,2175,1
LC333183.1,893,1363,1
LC333183.1,895,1362,2
LC333183.1,989,1022,1
LC333184.1,105,1095,2
LC333184.1,1398,1425,1
LC333184.1,1400,1431,1
LC333184.1,1577,1605,1
LC333184.1,164,2028,3
LC333184.1,1723,1836,1
LC333184.1,1983,2014,1
LC333184.1,2019,2060,1
LC333184.1,2061,2123,1
LC333184.1,218,274,1
LC333184.1,256,1876,16
LC333184.1,281,1767,2
LC333184.1,294,322,1
LC333184.1,365,1832,18
LC333184.1,389,459,1
LC333184.1,416,440,1
LC333184.1,430,1707,2
LC333184.1,493,1380,59
LC333184.1,493,1739,1
LC333184.1,498,632,1
LC333184.1,518,1710,348
LC333184.1,522,619,2
LC333184.1,559,1542,173
LC333184.1,560,1543,1
LC333184.1,563,1633,1
LC333184.1,598,1671,1
LC333184.1,616,1530,1
LC333184.1,647,1760,175
LC333184.1,651,1366,1
LC333184.1,772,1578,568
LC333184.1,779,1854,1
LC333184.1,842,1295,1
LC333185.1,1019,1064,2
LC333185.1,1122,1173,1
LC333185.1,1320,1405,1
LC333185.1,1321,1586,1
LC333185.1,190,704,2
LC333185.1,296,1280,52
LC333185.1,348,475,2
LC333185.1,552,1137,1
LC333185.1,705,1032,7
LC333185.1,707,794,2
LC333185.1,736,1033,10
LC333185.1,751,1083,1
LC333185.1,775,1332,1
LC333186.1,1070,1125,1
LC333186.1,1093,1115,1
LC333186.1,1096,1125,1
LC333186.1,1107,1319,1
LC333186.1,1239,1379,1
LC333186.1,1243,1485,2
LC333186.1,1245,1529,1
LC333186.1,126,176,2
LC333186.1,242,1329,2
LC333186.1,248,618,1
LC333186.1,288,391,1
LC333186.1,290,691,1
LC333186.1,292,1359,1
LC333186.1,311,1135,2
LC333186.1,406,464,1
LC333186.1,408,466,1
LC333186.1,481,619,1
LC333186.1,499,691,1
LC333186.1,512,806,2
LC333186.1,541,598,1
LC333186.1,591,1057,1
LC333186.1,598,753,1
LC333186.1,637,742,1
LC333186.1,663,792,1
LC333186.1,674,741,2
LC333186.1,695,723,1
LC333186.1,725,752,1
LC333186.1,726,1139,2
LC333186.1,787,1173,1
LC333186.1,894,1504,1
LC333186.1,930,1229,1
LC333187.1,1216,1262,1
LC333187.1,283,848,4
LC333187.1,284,318,1
LC333187.1,350,798,1
LC333187.1,356,435,1
LC333187.1,421,468,1
LC333187.1,433,458,1
LC333187.1,582,745,4
LC333187.1,583,791,139
LC333187.1,668,788,1
LC333187.1,705,1112,1
LC333187.1,853,1120,2
LC333188.1,147,219,1
LC333188.1,358,412,1
LC333188.1,365,427,1
LC333188.1,391,647,1
LC333188.1,450,512,1
LC333188.1,459,512,2
LC333188.1,491,645,2
LC333188.1,540,689,1
LC333188.1,643,707,1
LC333188.1,669,742,1
LC333188.1,716,764,1
LC333189.1,37,552,1
LC333189.1,392,430,2
LC333189.1,392,434,2
LC333189.1,423,446,20
LC333189.1,453,639,1
LC333189.1,466,537,1
LC333189.1,69,186,3
