Segment,Start,End,NGS_read_count
LC333182.1,115,1800,7
LC333182.1,1267,1642,1
LC333182.1,1273,1335,1
LC333182.1,1350,2108,1
LC333182.1,1840,1952,1
LC333182.1,2045,2120,1
LC333182.1,2057,2102,1
LC333182.1,2157,2257,5
LC333182.1,468,1879,8
LC333182.1,491,1870,1
LC333182.1,508,1595,4
LC333182.1,526,1666,2
LC333182.1,547,1642,7
LC333182.1,626,1989,3
LC333182.1,628,1932,2
LC333182.1,654,1966,3
LC333182.1,660,2167,1
LC333182.1,681,2113,26
LC333182.1,730,1860,2
LC333182.1,746,1741,4
LC333182.1,747,2082,22
LC333182.1,748,2083,1
LC333182.1,749,1853,10
LC333182.1,754,1602,1
LC333182.1,757,1637,6
LC333182.1,838,1765,3
LC333182.1,946,2213,1
LC333183.1,165,2017,13
LC333183.1,1938,2077,7
LC333183.1,258,1939,12
LC333183.1,258,2077,7
LC333183.1,260,409,2
LC333183.1,265,472,8
LC333183.1,293,1603,1
LC333183.1,301,539,26
LC333183.1,303,457,18
LC333183.1,311,2051,11
LC333183.1,351,2077,20
LC333183.1,383,1992,6
LC333183.1,437,1981,3
LC333183.1,510,2227,9
LC333183.1,562,1864,12
LC333183.1,564,2173,3
LC333183.1,569,2247,1
LC333183.1,571,1505,1
LC333183.1,589,1757,1
LC333183.1,610,1628,1
LC333183.1,621,1874,23
LC333183.1,621,1875,4
LC333183.1,623,1877,2
LC333183.1,624,1879,1
LC333183.1,625,1878,18855
LC333183.1,625,1879,2
LC333183.1,626,1879,24
LC333183.1,638,1951,1
LC333183.1,63,458,1
LC333183.1,713,2065,2
LC333183.1,718,1854,1
LC333183.1,754,1905,1
LC333184.1,1427,1462,1
LC333184.1,187,1954,10
LC333184.1,1999,2127,1
LC333184.1,201,1899,20
LC333184.1,309,1852,57
LC333184.1,335,1870,1
LC333184.1,582,2037,6
LC333184.1,605,1788,1
LC333184.1,905,2100,9
LC333184.1,910,987,1
LC333184.1,97,1810,1
LC333185.1,252,910,1
LC333185.1,257,882,1
LC333185.1,546,1675,9
LC333185.1,733,864,5
LC333185.1,78,704,1
LC333185.1,926,971,2
LC333185.1,948,1680,1
LC333186.1,1133,1532,2
LC333186.1,1204,1339,1
LC333186.1,207,1229,4
LC333186.1,292,1359,4
LC333186.1,328,498,3
LC333186.1,347,1200,14
LC333186.1,360,1227,7
LC333186.1,372,817,2
LC333186.1,375,1074,6
LC333186.1,376,1483,7
LC333186.1,395,1383,1
LC333186.1,424,763,1
LC333186.1,425,617,3
LC333186.1,432,1525,1
LC333186.1,434,486,5
LC333186.1,437,1326,2
LC333186.1,439,1328,10
LC333186.1,440,1338,6
LC333186.1,462,1338,3
LC333186.1,464,1327,1
LC333186.1,481,1390,10
LC333186.1,484,1400,10
LC333186.1,496,1410,2
LC333186.1,506,1445,1
LC333186.1,513,1009,14
LC333186.1,536,1414,6
LC333186.1,543,1337,6
LC333186.1,546,1039,2
LC333186.1,659,1171,4
LC333186.1,715,1327,1
LC333186.1,721,1333,5
LC333186.1,777,848,1
LC333186.1,779,848,5
LC333186.1,804,831,1
LC333186.1,825,1330,6
LC333186.1,920,1485,1
LC333186.1,930,1229,3
LC333186.1,968,1085,1
LC333186.1,96,1392,1
LC333187.1,1123,1166,3
LC333187.1,1140,1228,2
LC333187.1,1216,1262,1
LC333187.1,1258,1292,1
LC333187.1,197,1086,2
LC333187.1,200,993,6
LC333187.1,230,874,6
LC333187.1,248,320,1
LC333187.1,277,1003,5
LC333187.1,354,998,8
LC333187.1,398,851,2
LC333187.1,419,447,6
LC333187.1,424,1057,1
LC333187.1,495,1087,1
LC333187.1,574,965,2
LC333187.1,722,1241,1
LC333187.1,865,941,3
LC333187.1,880,997,1
LC333187.1,918,1049,1
LC333187.1,962,1091,1
LC333188.1,126,741,3
LC333188.1,150,568,4
LC333188.1,150,842,1
LC333188.1,311,708,1
LC333188.1,401,579,1
LC333188.1,426,559,12
LC333188.1,427,515,3
LC333188.1,433,762,2
LC333188.1,434,762,23
LC333188.1,465,523,1
LC333188.1,485,560,49
LC333188.1,485,595,1
LC333188.1,491,606,14
LC333188.1,523,665,18
LC333188.1,526,573,2
LC333188.1,594,637,13
LC333188.1,598,620,8
LC333188.1,623,668,7
LC333188.1,625,804,19
LC333188.1,627,750,5
LC333188.1,641,684,5
LC333188.1,647,711,1
LC333188.1,899,934,2
LC333189.1,162,318,4
LC333189.1,340,416,1
LC333189.1,357,421,2
LC333189.1,359,433,19
LC333189.1,429,478,1
LC333189.1,56,431,1
