Segment,Start,End,NGS_read_count
439503,102,1993,2
439503,1042,1099,1
439503,1059,1135,1
439503,111,144,1
439503,111,1954,5
439503,138,1856,1
439503,139,1999,4
439503,141,1952,1
439503,143,1877,3
439503,154,1884,1
439503,155,1968,3
439503,1560,1774,4
439503,164,192,4
439503,1671,1885,1
439503,170,1952,15
439503,183,2050,17
439503,184,1877,41
439503,184,1940,1
439503,185,1937,1
439503,185,1955,4
439503,1863,1904,1
439503,186,1921,1
439503,187,1928,3
439503,190,1979,2
439503,1955,1986,1
439503,196,1952,1
439503,1995,2045,28
439503,207,1949,1
439503,209,1912,55
439503,209,1953,1
439503,211,1945,1
439503,212,1923,1
439503,213,1885,5
439503,220,1789,1
439503,220,1837,8
439503,221,1826,1
439503,221,1844,1
439503,221,1877,24
439503,221,1950,1
439503,224,1892,1
439503,228,1953,1
439503,235,1878,2
439503,272,1949,1
439503,276,1884,3
439503,326,1854,2
439503,327,1726,20
439503,327,362,3
439503,329,1699,1
439503,334,2050,1
439503,335,1636,4
439503,355,1690,4
439503,360,383,1
439503,368,1662,2
439503,375,1796,1
439503,425,1607,1
439503,429,1663,1
439503,454,1696,8
439503,482,1620,2
439503,490,1694,2
439503,491,1636,3
439503,491,1663,1
439503,560,2044,6
439503,59,2050,1
439503,61,2025,1
439503,65,2053,2
439503,72,2004,6
439503,96,123,17
439504,103,2119,1
439504,122,2111,31
439504,123,2124,2
439504,124,2043,2
439504,130,2114,7
439504,142,2126,1
439504,145,2111,17
439504,149,2111,4
439504,150,2114,2
439504,153,2002,14
439504,1563,1591,1
439504,156,2112,10
439504,159,2015,1
439504,1625,1696,2
439504,164,2179,1
439504,165,2024,1
439504,172,1949,3
439504,172,2008,5
439504,172,2112,2
439504,185,2109,6
439504,192,2171,1
439504,194,2008,3
439504,198,2006,5
439504,203,1797,2
439504,2110,2149,1
439504,2124,2150,1
439504,214,1894,2
439504,218,2129,1
439504,219,1977,1
439504,250,2042,1
439504,267,2002,3
439504,278,2104,1
439504,301,1909,2
439504,330,393,1
439504,352,1935,4
439504,353,1806,4
439504,375,1861,1
439504,411,1820,1
439504,72,2111,1
439504,81,2113,5
439504,85,2115,1
439504,89,2113,1
439504,89,2139,1
439504,90,2112,1
439504,93,150,5
439504,94,2112,5
439505,1007,1040,1
439505,1007,1056,1
439505,1012,1056,1
439505,1275,1351,1
439505,173,1165,1
439505,272,732,1
439505,769,836,1
439505,771,1366,1
439505,88,1324,1
439505,925,1094,1
439506,180,701,1
439506,183,716,1
439506,27,716,61
439506,280,734,1
439506,477,784,1
439507,103,1482,1
439507,1069,1418,1
439507,1074,1215,2
439507,110,1440,1
439507,111,1472,1
439507,114,1420,1
439507,1278,1430,1
439507,1336,1385,2
439507,136,800,1
439507,1427,1457,5
439507,1438,1464,1
439507,1471,1503,1
439507,1475,1506,35
439507,150,1374,30
439507,150,1481,2
439507,150,1484,2
439507,1546,1576,2
439507,156,1335,1
439507,179,1384,1
439507,180,1467,15
439507,183,1496,3
439507,190,1438,1
439507,190,1443,1
439507,190,1463,1
439507,199,1286,1
439507,201,1474,1
439507,202,1428,1
439507,202,1465,8
439507,202,1519,3
439507,212,1297,2
439507,212,1505,1
439507,246,270,1
439507,290,1344,1
439507,30,1466,1
439507,313,1236,1
439507,313,1336,2
439507,331,1307,2
439507,443,563,1
439507,468,1105,2
439507,526,722,1
439507,538,565,2
439507,639,1068,1
439507,669,814,1
439507,725,764,1
439507,792,1432,1
439508,1025,1265,2
439508,107,2168,34
439508,108,139,2
439508,109,2066,5
439508,111,143,2
439508,112,2050,2
439508,112,2089,1
439508,113,141,1
439508,113,143,5
439508,113,2061,1
439508,113,2086,3
439508,113,2105,42
439508,113,2108,9
439508,113,2117,4
439508,113,2170,1
439508,114,148,3
439508,114,191,1
439508,114,2121,1
439508,115,141,1
439508,115,143,6
439508,115,2021,3
439508,115,2061,1
439508,115,2117,1
439508,119,2104,3
439508,119,2107,5
439508,120,1982,1
439508,120,2065,10
439508,120,2079,2
439508,120,224,4
439508,121,2079,3
439508,122,1971,1
439508,122,2006,1
439508,122,2021,5
439508,122,2086,3
439508,122,2108,9
439508,123,148,3
439508,124,151,1
439508,124,2105,3
439508,125,148,3
439508,125,2180,1
439508,133,173,23
439508,134,1713,2
439508,134,2065,2
439508,138,2021,1
439508,138,2086,5
439508,138,2105,4
439508,139,164,10
439508,139,2039,7
439508,139,2064,1
439508,139,2068,8
439508,139,2089,1
439508,140,2033,4
439508,140,2067,19
439508,140,2081,12
439508,140,2105,5
439508,140,2117,2
439508,141,1981,1
439508,141,2050,1
439508,141,2064,10
439508,141,2075,105
439508,142,2021,3
439508,142,2030,9
