Segment,Start,End,NGS_read_count
LC333182.1,1064,1182,1
LC333182.1,1099,2141,1
LC333182.1,1104,1193,1
LC333182.1,1104,1198,1
LC333182.1,1131,1195,1
LC333182.1,1135,1603,2
LC333182.1,1141,1204,1
LC333182.1,1143,1206,2
LC333182.1,1228,1639,1
LC333182.1,1385,1611,1
LC333182.1,1420,1477,1
LC333182.1,1453,1634,1
LC333182.1,1497,2148,3
LC333182.1,1510,1594,1
LC333182.1,1517,1642,2
LC333182.1,1546,1641,1
LC333182.1,1560,1923,1
LC333182.1,1591,1625,1
LC333182.1,1609,1665,1
LC333182.1,1614,1673,1
LC333182.1,1717,1772,1
LC333182.1,1732,1793,1
LC333182.1,1760,1803,2
LC333182.1,1784,1831,21
LC333182.1,1816,1937,1
LC333182.1,1819,1967,1
LC333182.1,1851,1952,1
LC333182.1,1871,1962,1
LC333182.1,192,2011,1
LC333182.1,195,2012,434
LC333182.1,196,2071,1
LC333182.1,1982,2124,1
LC333182.1,1990,2147,1
LC333182.1,1997,2070,20
LC333182.1,199,2117,17
LC333182.1,2026,2078,1
LC333182.1,2030,2100,1
LC333182.1,2045,2082,1
LC333182.1,2045,2214,1
LC333182.1,2061,2131,1
LC333182.1,213,2047,1
LC333182.1,2186,2217,1
LC333182.1,252,2004,1
LC333182.1,258,2001,1
LC333182.1,293,2014,1
LC333182.1,295,1982,190
LC333182.1,305,2057,1
LC333182.1,351,1773,10
LC333182.1,361,1829,190
LC333182.1,365,2026,1
LC333182.1,396,1064,1
LC333182.1,412,523,1
LC333182.1,413,1752,1
LC333182.1,422,444,4
LC333182.1,434,1594,3
LC333182.1,440,1772,3
LC333182.1,443,1779,1
LC333182.1,449,1151,1
LC333182.1,454,1828,1
LC333182.1,469,515,1
LC333182.1,492,583,1
LC333182.1,496,1752,45
LC333182.1,498,1830,4
LC333182.1,500,1745,1
LC333182.1,510,555,2
LC333182.1,516,1883,13
LC333182.1,520,1790,1
LC333182.1,535,1691,1
LC333182.1,627,736,2
LC333182.1,633,1534,18
LC333182.1,633,1738,149
LC333182.1,655,1051,1
LC333182.1,671,1956,4
LC333182.1,713,743,1
LC333182.1,720,785,1
LC333182.1,811,1521,1
LC333182.1,877,1448,2
LC333182.1,878,2221,1
LC333182.1,927,1366,1
LC333182.1,945,1139,1
LC333182.1,961,1001,1
LC333183.1,1002,1115,4
LC333183.1,1081,1484,1
LC333183.1,1085,1399,14
LC333183.1,1087,1401,1
LC333183.1,1090,1404,1
LC333183.1,1091,1493,2
LC333183.1,1097,1298,1
LC333183.1,1139,1164,1
LC333183.1,1148,1462,1
LC333183.1,1161,1481,1
LC333183.1,1170,1352,4
LC333183.1,1177,1405,1
LC333183.1,1185,1572,1
LC333183.1,1188,1272,1
LC333183.1,1191,1364,3
LC333183.1,1192,1376,3
LC333183.1,1193,1341,4
LC333183.1,1222,1341,1
LC333183.1,1272,1303,1
LC333183.1,128,1004,14
LC333183.1,128,2080,32
LC333183.1,1323,1420,1
LC333183.1,137,1995,1
LC333183.1,1412,1605,1
LC333183.1,1475,1508,1
LC333183.1,1483,2144,1
LC333183.1,1485,1949,1
LC333183.1,1497,2116,3
LC333183.1,1512,1844,1
LC333183.1,1513,1846,1
LC333183.1,1537,1869,2
LC333183.1,1544,1827,3
LC333183.1,1545,1858,2
LC333183.1,1547,1831,1
LC333183.1,1548,1604,2
LC333183.1,1548,1808,1
LC333183.1,1555,1813,1
LC333183.1,1586,1855,1
LC333183.1,1596,1626,2
LC333183.1,1614,1640,2
LC333183.1,1614,1646,5
LC333183.1,1629,1695,1
LC333183.1,1634,1860,1
LC333183.1,1637,1946,1
LC333183.1,172,2073,1
LC333183.1,1803,1851,5
LC333183.1,1818,1928,30
LC333183.1,1849,2078,1
LC333183.1,1887,1945,1
LC333183.1,1888,1945,1
LC333183.1,192,2110,2
LC333183.1,1983,2063,1
LC333183.1,2079,2128,1
LC333183.1,213,1982,5
LC333183.1,2259,2281,1
LC333183.1,255,1797,18
LC333183.1,300,547,1
LC333183.1,301,539,15
LC333183.1,320,1913,1
LC333183.1,322,1852,2
LC333183.1,323,1960,1
LC333183.1,328,1928,1
LC333183.1,328,1969,1
LC333183.1,333,1988,2
LC333183.1,348,1911,1
LC333183.1,348,2084,2
LC333183.1,351,1872,1
LC333183.1,373,668,1
LC333183.1,374,1876,1
LC333183.1,387,1929,1
LC333183.1,392,2058,1
LC333183.1,393,1926,1
LC333183.1,394,1885,1
LC333183.1,401,1853,1
LC333183.1,402,1813,29
LC333183.1,406,1831,1
LC333183.1,412,437,1
LC333183.1,417,1774,2
LC333183.1,434,686,1
LC333183.1,449,1772,3
LC333183.1,461,1908,1
LC333183.1,464,1761,1
LC333183.1,464,705,7
LC333183.1,478,1872,3
LC333183.1,499,538,1
LC333183.1,509,1624,8
LC333183.1,520,1642,1
LC333183.1,521,1752,1
LC333183.1,522,568,1
LC333183.1,526,1821,1
LC333183.1,534,1701,1
LC333183.1,543,569,1
LC333183.1,554,584,1
LC333183.1,561,741,16
LC333183.1,563,617,2
LC333183.1,568,1691,11
LC333183.1,575,626,1
LC333183.1,576,1834,19
LC333183.1,578,1876,204
LC333183.1,594,1551,1
LC333183.1,599,1614,1
LC333183.1,625,662,2
LC333183.1,630,1645,32
LC333183.1,646,1592,24
LC333183.1,704,1229,1
LC333183.1,713,1581,145
LC333183.1,782,1544,23
LC333183.1,789,1426,1
LC333183.1,807,1457,57
LC333183.1,822,1281,1
LC333183.1,84,114,17
LC333183.1,856,1545,1
LC333183.1,881,1530,1
LC333183.1,893,1363,2
LC333183.1,895,1362,3
LC333183.1,921,1181,34
LC333183.1,924,1363,4
LC333183.1,939,961,4
LC333183.1,962,1415,1
LC333183.1,975,2000,1
LC333183.1,994,1151,33
LC333183.1,998,1375,37
LC333184.1,1021,1091,1
LC333184.1,1041,1720,1
LC333184.1,1044,1201,1
LC333184.1,1050,1647,1
LC333184.1,1115,1157,10
LC333184.1,1154,1208,1
LC333184.1,1199,1366,1
LC333184.1,120,319,1
LC333184.1,1270,1491,1
LC333184.1,1285,1333,14
LC333184.1,129,1959,2
LC333184.1,1331,1442,1
LC333184.1,1393,1451,1
LC333184.1,1393,1489,1
LC333184.1,1410,1489,2
LC333184.1,1426,1460,1
LC333184.1,1426,1647,1
LC333184.1,1431,1460,1
LC333184.1,1443,2075,1
LC333184.1,1463,1492,1
LC333184.1,1482,1517,2
LC333184.1,1517,1555,8
LC333184.1,160,1836,2
LC333184.1,1655,1779,1
LC333184.1,1656,1708,3
LC333184.1,1699,1727,1
LC333184.1,172,1840,1
LC333184.1,1752,1798,1
LC333184.1,1775,2096,1
LC333184.1,1778,2106,2
LC333184.1,1814,2171,1
LC333184.1,1823,2010,2
LC333184.1,1827,1951,4
LC333184.1,1848,1881,1
LC333184.1,1874,1960,133
LC333184.1,1903,2090,1
LC333184.1,1915,2090,1
LC333184.1,1969,2005,1
LC333184.1,2012,2121,1
LC333184.1,201,1900,1
LC333184.1,2061,2123,6
LC333184.1,2097,2172,1
LC333184.1,225,1192,1
LC333184.1,239,1936,1
LC333184.1,278,502,2
LC333184.1,312,1871,338
LC333184.1,352,1692,1
LC333184.1,367,412,1
LC333184.1,374,1774,1
LC333184.1,380,1882,1
LC333184.1,381,1883,205
LC333184.1,386,1710,144
LC333184.1,387,1711,1
LC333184.1,413,1604,79
LC333184.1,421,480,1
LC333184.1,424,1461,1
LC333184.1,427,1709,2
LC333184.1,432,627,1
LC333184.1,451,1623,1
LC333184.1,458,1338,1
LC333184.1,460,1444,6
LC333184.1,475,1675,94
LC333184.1,488,1610,1
LC333184.1,492,1621,3
LC333184.1,534,1583,1
LC333184.1,553,1449,2
LC333184.1,554,1450,120
LC333184.1,555,1709,51
LC333184.1,575,792,1
LC333184.1,576,761,1
LC333184.1,579,1056,1
LC333184.1,581,1373,1
LC333184.1,581,755,1
LC333184.1,582,616,1
LC333184.1,593,733,1
LC333184.1,595,1408,108
LC333184.1,599,2063,1
LC333184.1,610,1395,1
LC333184.1,655,1460,18
LC333184.1,657,1480,1
LC333184.1,674,1607,1
LC333184.1,707,1159,1
LC333184.1,735,1006,1
LC333184.1,750,777,8
LC333184.1,753,1072,1
LC333184.1,755,921,1
LC333184.1,763,1634,13
LC333184.1,776,1400,2
LC333184.1,828,1135,1
LC333184.1,84,2027,27
LC333184.1,885,1332,1
LC333184.1,905,1080,1
LC333184.1,919,1228,1
LC333184.1,943,1214,1
LC333185.1,1019,1064,3
LC333185.1,1019,1096,1
LC333185.1,1042,1206,18
LC333185.1,1101,1156,1
LC333185.1,1104,1295,1
LC333185.1,1165,1216,1
LC333185.1,1235,1277,1
LC333185.1,1284,1354,59
LC333185.1,135,721,1
LC333185.1,1376,1503,1
LC333185.1,1378,1520,1
LC333185.1,1470,1705,1
LC333185.1,1608,1675,1
LC333185.1,1611,1647,2
LC333185.1,1623,1689,3
LC333185.1,208,1449,1
LC333185.1,212,1365,1
LC333185.1,255,877,1
LC333185.1,257,882,2
LC333185.1,274,594,1
LC333185.1,348,475,1
