Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,virus_strain,cell_types,infection_time_points,system type,strain,subtype
SRR7722018,RNA-Seq,99,16569376461,PRJNA486793,SAMN09863818,6829950331,GEO,public,"sra,TenX,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX4578900,GSM3347396,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T14:44:00Z,1,GSM3347396,adenocarcinomic human alveolar basal epithelial cells,SRP158405,NA,A549,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722019,RNA-Seq,99,19322365095,PRJNA486793,SAMN09863817,7962324258,GEO,public,"TenX,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4578901,GSM3347397,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T14:58:00Z,1,GSM3347397,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722020,RNA-Seq,99,17791249509,PRJNA486793,SAMN09863816,7300564370,GEO,public,"TenX,run.zq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX4578902,GSM3347398,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T14:53:00Z,1,GSM3347398,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722021,RNA-Seq,99,17047327770,PRJNA486793,SAMN09863815,6832447919,GEO,public,"sra,TenX,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4578903,GSM3347399,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T14:43:00Z,1,GSM3347399,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722022,RNA-Seq,99,17916557373,PRJNA486793,SAMN09863814,7296573571,GEO,public,"TenX,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4578904,GSM3347400,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T15:02:00Z,1,GSM3347400,primary human bronchial epithelial cells,SRP158405,NA,HBEpC,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722023,RNA-Seq,99,19827573282,PRJNA486793,SAMN09863813,8320636698,GEO,public,"TenX,sra,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4578905,GSM3347401,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T15:15:00Z,1,GSM3347401,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722024,RNA-Seq,99,20314006317,PRJNA486793,SAMN09863812,8325717741,GEO,public,"TenX,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4578906,GSM3347402,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T15:02:00Z,1,GSM3347402,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722025,RNA-Seq,99,21376542231,PRJNA486793,SAMN09863811,9002948288,GEO,public,"run.zq,TenX,sra","ncbi,s3,gs","gs.US,ncbi.public,s3.us-east-1",SRX4578907,GSM3347403,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T15:42:00Z,1,GSM3347403,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722026,RNA-Seq,150,6749319150,PRJNA486793,SAMN09863810,2736462814,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4578908,GSM3347404,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:59:00Z,1,GSM3347404,adenocarcinomic human alveolar basal epithelial cells,SRP158405,NA,A549,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722027,RNA-Seq,150,6047184600,PRJNA486793,SAMN09863809,2475149949,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX4578909,GSM3347405,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:52:00Z,1,GSM3347405,adenocarcinomic human alveolar basal epithelial cells,SRP158405,NA,A549,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722028,RNA-Seq,150,5594879700,PRJNA486793,SAMN09863808,2277755419,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4578910,GSM3347406,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:49:00Z,1,GSM3347406,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722029,RNA-Seq,150,5707212900,PRJNA486793,SAMN09863807,2306761110,GEO,public,"fastq,sra,run.zq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4578911,GSM3347407,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:53:00Z,1,GSM3347407,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722030,RNA-Seq,150,6645373650,PRJNA486793,SAMN09863806,2416553533,GEO,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX4578912,GSM3347408,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:55:00Z,1,GSM3347408,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722031,RNA-Seq,150,5928560550,PRJNA486793,SAMN09863804,2165137280,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4578913,GSM3347409,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:58:00Z,1,GSM3347409,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722032,RNA-Seq,150,5137409250,PRJNA486793,SAMN09863803,1877411368,GEO,public,"run.zq,fastq,sra","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX4578914,GSM3347410,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:51:00Z,1,GSM3347410,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722033,RNA-Seq,150,6075526200,PRJNA486793,SAMN09863802,2209124377,GEO,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4578915,GSM3347411,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:52:00Z,1,GSM3347411,adenocarcinomic human alveolar basal epithelial cells,SRP158405,PR8,A549,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722034,RNA-Seq,150,5433413700,PRJNA486793,SAMN09863801,2220330816,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4578916,GSM3347412,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:52:00Z,1,GSM3347412,primary human bronchial epithelial cells,SRP158405,NA,HBEpC,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722035,RNA-Seq,150,5177565150,PRJNA486793,SAMN09863800,2105729482,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX4578917,GSM3347413,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:48:00Z,1,GSM3347413,primary human bronchial epithelial cells,SRP158405,NA,HBEpC,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722036,RNA-Seq,150,6634482750,PRJNA486793,SAMN09863799,2738346212,GEO,public,"sra,fastq,run.zq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX4578918,GSM3347414,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:59:00Z,1,GSM3347414,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722037,RNA-Seq,150,6368566950,PRJNA486793,SAMN09863798,2701575940,GEO,public,"run.zq,fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX4578919,GSM3347415,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T14:00:00Z,1,GSM3347415,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,6 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722038,RNA-Seq,150,5684112750,PRJNA486793,SAMN09863797,2110570475,GEO,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4578920,GSM3347416,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:53:00Z,1,GSM3347416,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722039,RNA-Seq,150,5522953500,PRJNA486793,SAMN09863796,2112113140,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4578921,GSM3347417,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:53:00Z,1,GSM3347417,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722040,RNA-Seq,150,5776793550,PRJNA486793,SAMN09863795,2171715309,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX4578922,GSM3347418,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:47:00Z,1,GSM3347418,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722041,RNA-Seq,150,6591101700,PRJNA486793,SAMN09863794,2420150710,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX4578923,GSM3347419,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:52:00Z,1,GSM3347419,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,24 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722042,RNA-Seq,150,5936961150,PRJNA486793,SAMN09863793,2414290815,GEO,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX4578924,GSM3347420,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:55:00Z,1,GSM3347420,primary human bronchial epithelial cells,SRP158405,NA,HBEpC,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722043,RNA-Seq,150,5551823700,PRJNA486793,SAMN09863792,2284707578,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX4578925,GSM3347421,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:54:00Z,1,GSM3347421,primary human bronchial epithelial cells,SRP158405,NA,HBEpC,No infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722044,RNA-Seq,150,6834908850,PRJNA486793,SAMN09863791,2493269796,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX4578926,GSM3347422,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:53:00Z,1,GSM3347422,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
SRR7722045,RNA-Seq,150,6571229250,PRJNA486793,SAMN09863787,2423793214,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX4578927,GSM3347423,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2019-12-13T00:00:00Z,2018-08-20T13:55:00Z,1,GSM3347423,primary human bronchial epithelial cells,SRP158405,PR8,HBEpC,12 hours post-infection,in vitro,A/Puerto Rico/8/1934,H1N1
