Segment,Start,End,NGS_read_count
CY115151.1,1019,1051,1
CY115151.1,1036,1061,1
CY115151.1,105,1648,1
CY115151.1,1061,1083,1
CY115151.1,109,1627,1
CY115151.1,1117,1502,1
CY115151.1,119,1619,1
CY115151.1,1207,1238,1
CY115151.1,122,1651,1
CY115151.1,1246,1275,1
CY115151.1,1267,1309,1
CY115151.1,128,1580,1
CY115151.1,1290,1396,1
CY115151.1,1291,1347,1
CY115151.1,1307,1350,1
CY115151.1,1338,1386,1
CY115151.1,138,1607,1
CY115151.1,139,1723,1
CY115151.1,142,1618,1
CY115151.1,1451,1493,1
CY115151.1,1479,1513,1
CY115151.1,152,1662,1
CY115151.1,153,1490,1
CY115151.1,1547,1577,1
CY115151.1,1566,1597,1
CY115151.1,156,1603,1
CY115151.1,1577,1609,1
CY115151.1,1591,1619,1
CY115151.1,1604,1629,1
CY115151.1,1606,1717,1
CY115151.1,1614,1659,1
CY115151.1,1637,1661,1
CY115151.1,166,1513,1
CY115151.1,1712,1757,1
CY115151.1,174,1607,1
CY115151.1,179,1355,1
CY115151.1,179,1585,1
CY115151.1,184,1590,1
CY115151.1,185,1571,4
CY115151.1,187,1517,1
CY115151.1,188,1129,1
CY115151.1,191,1490,1
CY115151.1,194,1581,1
CY115151.1,227,1313,1
CY115151.1,229,1590,3
CY115151.1,236,1514,1
CY115151.1,243,1366,1
CY115151.1,244,879,1
CY115151.1,246,490,2
CY115151.1,249,1313,1
CY115151.1,251,1529,1
CY115151.1,251,305,1
CY115151.1,252,1676,1
CY115151.1,253,303,1
CY115151.1,262,1559,1
CY115151.1,263,417,1
CY115151.1,264,1670,1
CY115151.1,266,1448,1
CY115151.1,271,1474,1
CY115151.1,276,1159,1
CY115151.1,279,1404,1
CY115151.1,279,1449,16
CY115151.1,289,1666,1
CY115151.1,294,855,1
CY115151.1,297,1622,2
CY115151.1,302,1326,1
CY115151.1,304,1446,1
CY115151.1,305,1421,1
CY115151.1,306,1608,1
CY115151.1,320,342,1
CY115151.1,322,1530,1
CY115151.1,325,1349,4
CY115151.1,331,1416,1
CY115151.1,333,1380,1
CY115151.1,334,1623,1
CY115151.1,338,1668,1
CY115151.1,339,1360,1
CY115151.1,339,1440,1
CY115151.1,339,1447,1
CY115151.1,340,1273,1
CY115151.1,340,1309,1
CY115151.1,340,1414,1
CY115151.1,340,1417,2
