Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collecting_institution,common_name,strain,subtype,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ena_first_public,ENA-LAST-UPDATE (run),ENA_last_update,Experiment,external_id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),host_common_name,host_health_state,host_scientific_name,host_sex,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,receipt_date,ReleaseDate,create_date,version,Sample Name,Sample_Name,SRA Study,Submitter_Id,system type
ERR3474577,WGS,302,254014616,PRJEB33950,SAMEA5858989,119953141,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"run.zq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496204,SAMEA5858989,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858989,sample_0,ERP116786,sample_0,in vivo human
ERR3474578,WGS,302,10814620,PRJEB33950,SAMEA5858990,5404785,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496205,SAMEA5858990,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858990,sample_1,ERP116786,sample_1,in vivo human
ERR3474579,WGS,302,250155056,PRJEB33950,SAMEA5858991,122812470,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496206,SAMEA5858991,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858991,sample_2,ERP116786,sample_2,in vivo human
ERR3474580,WGS,302,178749572,PRJEB33950,SAMEA5858992,87804440,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496207,SAMEA5858992,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858992,sample_3,ERP116786,sample_3,in vivo human
ERR3474581,WGS,302,299354782,PRJEB33950,SAMEA5858993,147147481,CARDIFF UNIVERSITY,Public Health Wales,Influenza H1N1,,,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496208,SAMEA5858993,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H1N1 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858993,sample_4,ERP116786,sample_4,in vivo human
ERR3474582,WGS,302,10628286,PRJEB33950,SAMEA5858994,5376510,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496209,SAMEA5858994,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:54:00Z,1,SAMEA5858994,sample_5,ERP116786,sample_5,in vivo human
ERR3474583,WGS,302,55592462,PRJEB33950,SAMEA5858995,27487922,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496210,SAMEA5858995,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:55:00Z,1,SAMEA5858995,sample_6,ERP116786,sample_6,in vivo human
ERR3474584,WGS,302,326823192,PRJEB33950,SAMEA5858996,153371855,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"sra,run.zq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496211,SAMEA5858996,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:55:00Z,1,SAMEA5858996,sample_7,ERP116786,sample_7,in vivo human
ERR3474585,WGS,302,62733252,PRJEB33950,SAMEA5858997,30006943,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496212,SAMEA5858997,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:55:00Z,1,SAMEA5858997,sample_8,ERP116786,sample_8,in vivo human
ERR3474586,WGS,302,188282806,PRJEB33950,SAMEA5858998,89359918,CARDIFF UNIVERSITY,Public Health Wales,Influenza H3N2,,,public,"sra,run.zq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",2019-08-18,2019-08-18T00:00:00Z,2019-08-09,2019-08-09,ERX3496213,SAMEA5858998,United Kingdom,Europe,United Kingdom,human,not provided,Homo sapiens,not provided,Cardiff University,Cardiff University,2019-08-18T17:04:51Z,2019-08-09T11:51:32Z,public,NextSeq 500,1,PAIRED,RT-PCR,OTHER,H3N2 subtype,ILLUMINA,2018-09-01,2019-08-19T00:00:00Z,2019-08-19T07:55:00Z,1,SAMEA5858998,sample_9,ERP116786,sample_9,in vivo human
