Segment,Start,End,NGS_read_count
AF389115.1,1350,1686,1
AF389115.1,1615,1749,1
AF389115.1,162,2086,1
AF389115.1,162,2095,1
AF389115.1,162,2125,2
AF389115.1,163,2126,1
AF389115.1,163,2152,2
AF389115.1,169,2032,1
AF389115.1,1716,2147,1
AF389115.1,176,2052,1
AF389115.1,176,228,1
AF389115.1,181,2034,1
AF389115.1,1951,2096,1
AF389115.1,218,1918,1
AF389115.1,225,2200,1
AF389115.1,272,1733,1
AF389115.1,272,2054,5
AF389115.1,274,1973,2
AF389115.1,275,2004,1
AF389115.1,277,1403,1
AF389115.1,320,1948,1
AF389115.1,334,2069,2
AF389115.1,342,1944,1
AF389115.1,343,1748,1
AF389115.1,451,1744,1
AF389115.1,468,1746,2
AF389115.1,468,1803,1
AF389115.1,498,1742,1
AF389115.1,500,1761,1
AF389115.1,505,1733,1
AF389115.1,535,1743,1
AF389115.1,552,1691,1
AF389115.1,559,1789,1
AF389115.1,566,1743,1
AF389115.1,569,1623,1
AF389115.1,571,627,1
AF389115.1,576,1681,1
AF389115.1,577,1755,3
AF389115.1,655,1532,1
AF389115.1,655,722,1
AF389115.1,670,1528,1
AF389115.1,683,1501,1
AF389115.1,723,792,1
AF389115.1,742,1734,1
AF389115.1,758,1394,1
AF389115.1,788,1733,1
AF389115.1,788,822,1
AF389115.1,826,1424,1
AF389115.1,853,1451,1
AF389116.1,113,2065,1
AF389116.1,116,2168,1
AF389116.1,117,1900,1
AF389116.1,121,2078,1
AF389116.1,121,2163,1
AF389116.1,1231,1489,1
AF389116.1,123,2168,1
AF389116.1,1278,1311,1
AF389116.1,128,1693,1
AF389116.1,129,2196,1
AF389116.1,132,2085,1
AF389116.1,134,181,1
AF389116.1,1367,1474,1
AF389116.1,137,2065,4
AF389116.1,137,2110,5
AF389116.1,144,2168,1
AF389116.1,145,2100,2
AF389116.1,145,2103,5
AF389116.1,146,2115,2
AF389116.1,169,2135,1
AF389116.1,176,2052,1
AF389116.1,179,2110,2
AF389116.1,184,2052,7
AF389116.1,1873,1899,1
AF389116.1,189,2103,1
AF389116.1,190,2115,1
AF389116.1,191,2017,1
AF389116.1,196,2063,1
AF389116.1,1988,2044,1
AF389116.1,198,228,1
AF389116.1,2044,2258,1
AF389116.1,205,1900,1
AF389116.1,2109,2139,1
AF389116.1,2225,2260,1
AF389116.1,222,2018,1
AF389116.1,230,1972,1
AF389116.1,286,1899,4
AF389116.1,321,1916,1
AF389116.1,331,1844,1
AF389116.1,335,2006,1
AF389116.1,336,1969,1
AF389116.1,340,1867,1
AF389116.1,340,1917,1
AF389116.1,351,1947,3
AF389116.1,357,1899,4
AF389116.1,358,1864,1
AF389116.1,359,1836,2
AF389116.1,361,1899,1
AF389116.1,363,1927,1
AF389116.1,364,1847,4
AF389116.1,364,1899,1
AF389116.1,371,1998,3
AF389116.1,371,2024,1
AF389116.1,372,1906,1
AF389116.1,376,1927,1
AF389116.1,378,1938,5
AF389116.1,381,1940,1
AF389116.1,383,1875,1
AF389116.1,388,1906,1
AF389116.1,393,1826,1
AF389116.1,396,1926,1
AF389116.1,397,1931,1
AF389116.1,399,1900,1
AF389116.1,401,1956,1
AF389116.1,410,1876,1
AF389116.1,412,1834,1
AF389116.1,412,2046,1
AF389116.1,45,2032,1
AF389116.1,45,71,1
AF389116.1,471,1792,1
AF389116.1,498,1752,1
AF389116.1,547,1586,1
AF389116.1,548,1861,2
AF389116.1,55,80,1
AF389116.1,58,128,1
AF389116.1,58,81,1
AF389116.1,609,1675,1
AF389116.1,622,650,1
AF389116.1,627,665,1
AF389116.1,638,1676,1
AF389116.1,690,1667,1
AF389116.1,695,1443,1
AF389116.1,725,1438,1
AF389116.1,768,1566,1
AF389116.1,78,1897,1
AF389116.1,78,2054,1
AF389116.1,915,1362,1
AF389117.1,126,192,1
AF389117.1,126,2075,1
AF389117.1,130,2076,1
AF389117.1,131,1049,1
AF389117.1,136,2060,1
AF389117.1,137,1634,1
AF389117.1,138,2063,1
AF389117.1,140,1954,3
AF389117.1,140,1972,3
AF389117.1,150,198,1
AF389117.1,153,1978,1
AF389117.1,154,2062,1
AF389117.1,157,258,1
AF389117.1,158,1939,1
AF389117.1,158,1954,1
AF389117.1,158,1958,4
AF389117.1,158,200,1
AF389117.1,162,1969,1
AF389117.1,162,2060,1
AF389117.1,1688,1720,1
AF389117.1,170,1980,1
AF389117.1,171,1964,1
AF389117.1,174,1959,1
AF389117.1,1801,1907,1
AF389117.1,186,2072,1
AF389117.1,187,1906,2
AF389117.1,189,1952,1
AF389117.1,1906,1935,1
AF389117.1,190,1925,1
AF389117.1,190,1949,16
AF389117.1,191,2055,1
AF389117.1,192,2075,1
AF389117.1,192,215,1
AF389117.1,196,233,1
AF389117.1,197,2006,1
AF389117.1,197,2075,1
AF389117.1,197,2076,2
AF389117.1,198,2004,1
AF389117.1,1997,2132,1
AF389117.1,2024,2131,1
AF389117.1,2026,2063,2
