Segment,Start,End,NGS_read_count
AF389115.1,100,2057,4
AF389115.1,100,2119,1
AF389115.1,101,135,3
AF389115.1,101,2017,1
AF389115.1,1026,2172,1
AF389115.1,102,2200,1
AF389115.1,104,139,1
AF389115.1,104,157,1
AF389115.1,106,2056,1
AF389115.1,107,129,4
AF389115.1,107,131,17
AF389115.1,107,144,1
AF389115.1,107,153,3
AF389115.1,107,164,9
AF389115.1,107,1793,2
AF389115.1,107,202,3
AF389115.1,107,2037,2
AF389115.1,107,2123,2
AF389115.1,107,2195,3
AF389115.1,107,350,2
AF389115.1,107,609,2
AF389115.1,108,1276,1
AF389115.1,108,134,1
AF389115.1,108,173,1
AF389115.1,108,186,2
AF389115.1,108,193,1
AF389115.1,108,2026,1
AF389115.1,108,2044,1
AF389115.1,108,2068,1
AF389115.1,108,2077,4
AF389115.1,108,2086,1
AF389115.1,108,2095,2
AF389115.1,108,2100,8
AF389115.1,108,2104,2
AF389115.1,108,2105,1
AF389115.1,108,2115,1
AF389115.1,108,2140,23
AF389115.1,108,280,4
AF389115.1,109,1176,1
AF389115.1,109,131,47
AF389115.1,109,136,4
AF389115.1,109,140,1
AF389115.1,109,144,5
AF389115.1,109,150,1
AF389115.1,109,153,10
AF389115.1,109,164,36
AF389115.1,109,1937,2
AF389115.1,109,200,2
AF389115.1,109,2003,1
AF389115.1,109,2006,8
AF389115.1,109,2012,3
AF389115.1,109,2016,2
AF389115.1,109,2061,5
AF389115.1,109,2065,1
AF389115.1,109,207,2
AF389115.1,109,2083,2
AF389115.1,109,2123,2
AF389115.1,109,2152,47
AF389115.1,109,2159,6
AF389115.1,109,2163,1
AF389115.1,109,2261,1
AF389115.1,1106,2203,1
AF389115.1,110,134,3
AF389115.1,110,191,1
AF389115.1,110,193,5
AF389115.1,110,2108,3
AF389115.1,110,2115,4
AF389115.1,110,2138,3
AF389115.1,110,2150,1
AF389115.1,110,2157,9
AF389115.1,111,169,21
AF389115.1,111,2042,1
AF389115.1,112,1235,2
AF389115.1,112,2089,1
AF389115.1,112,2142,20
AF389115.1,112,262,2
AF389115.1,1137,2156,2
AF389115.1,113,170,1
AF389115.1,113,183,1
AF389115.1,113,2132,2
AF389115.1,114,2133,5
AF389115.1,114,2140,8
AF389115.1,115,144,2
AF389115.1,115,1800,1
AF389115.1,115,2006,4
AF389115.1,115,2012,36
AF389115.1,115,209,3
AF389115.1,115,2123,1
AF389115.1,115,2146,6
AF389115.1,115,2152,3
AF389115.1,115,266,5
AF389115.1,116,173,4
AF389115.1,116,1836,1
AF389115.1,116,1945,2
AF389115.1,116,1962,2
AF389115.1,116,2041,1
AF389115.1,116,2068,2
AF389115.1,116,2077,17
AF389115.1,116,2080,10
AF389115.1,116,2085,1
AF389115.1,116,2095,3
AF389115.1,116,2100,5
AF389115.1,116,2108,2
AF389115.1,116,2115,2
AF389115.1,116,2118,1
AF389115.1,116,2140,96
AF389115.1,117,1183,1
AF389115.1,117,144,1
AF389115.1,117,153,9
AF389115.1,117,157,5
