Segment,Start,End,NGS_read_count
EF619973.1,898,922,2
EF619974.1,257,557,32
EF619974.1,328,748,2
EF619974.1,623,689,2
EF619974.1,75,722,2
EF619975.1,103,2022,53
EF619975.1,111,2067,31
EF619975.1,130,2054,10
EF619975.1,198,1956,360
EF619975.1,201,2079,16
EF619975.1,335,2212,2
EF619975.1,336,1822,2
EF619975.1,62,2082,11
EF619975.1,633,2065,12
EF619975.1,68,1985,415
EF619975.1,70,2109,3
EF619976.1,146,2076,7
EF619976.1,177,2005,35
EF619976.1,178,1532,4
EF619976.1,179,1533,1
EF619976.1,199,2065,12
EF619976.1,213,2076,571
EF619976.1,323,1908,5
EF619976.1,330,2009,2
EF619976.1,331,1844,17
EF619978.1,303,647,5
EF619978.1,347,620,19
EF619978.1,532,632,2
EF619979.1,100,1973,68
EF619979.1,131,1940,1
EF619979.1,156,1940,28
EF619979.1,258,323,1
EF619979.1,354,1731,1
EF619979.1,95,1942,4
EF619979.1,98,1944,62
HA,140,1546,4
HA,92,1511,8
