Segment,Start,End,NGS_read_count
LC333182.1,1026,1203,1
LC333182.1,104,412,1
LC333182.1,1088,1149,1
LC333182.1,1105,1252,1
LC333182.1,1131,1643,1
LC333182.1,1134,1197,1
LC333182.1,1141,1204,3
LC333182.1,1264,1291,1
LC333182.1,1460,1490,1
LC333182.1,1488,1965,1
LC333182.1,1504,2187,1
LC333182.1,1517,1642,1
LC333182.1,1523,2153,1
LC333182.1,1597,1728,1
LC333182.1,1619,1646,1
LC333182.1,1784,1831,13
LC333182.1,1840,1952,1
LC333182.1,1843,2042,1
LC333182.1,195,2012,157
LC333182.1,1997,2070,8
LC333182.1,199,2117,6
LC333182.1,2039,2070,1
LC333182.1,2044,2167,1
LC333182.1,2045,2082,2
LC333182.1,252,2004,3
LC333182.1,257,2013,1
LC333182.1,273,2194,1
LC333182.1,295,1982,60
LC333182.1,332,547,1
LC333182.1,351,1773,3
LC333182.1,361,1829,99
LC333182.1,419,1005,1
LC333182.1,422,734,1
LC333182.1,434,1594,1
LC333182.1,453,1742,2
LC333182.1,454,1798,1
LC333182.1,454,1828,1
LC333182.1,455,552,1
LC333182.1,496,1752,25
LC333182.1,513,1793,1
LC333182.1,516,1883,5
LC333182.1,633,1534,9
LC333182.1,633,1738,80
LC333182.1,653,1051,1
LC333182.1,671,1956,3
LC333182.1,681,762,1
LC333182.1,804,1439,1
LC333182.1,961,1001,2
LC333183.1,1002,1115,1
LC333183.1,1010,1732,1
LC333183.1,1041,1590,1
LC333183.1,1044,1259,1
LC333183.1,1061,1118,1
LC333183.1,1085,1399,10
LC333183.1,1091,1493,1
LC333183.1,1170,1352,2
LC333183.1,1177,1405,2
LC333183.1,1183,1418,1
LC333183.1,1184,1833,1
LC333183.1,1191,1364,2
LC333183.1,1192,1376,2
LC333183.1,1193,1341,1
LC333183.1,128,1004,8
LC333183.1,128,2080,6
LC333183.1,1384,2204,1
LC333183.1,1413,1584,1
LC333183.1,1440,1477,1
LC333183.1,1544,1827,7
LC333183.1,1546,1864,1
LC333183.1,1548,1993,1
LC333183.1,1557,2131,1
LC333183.1,1586,1855,1
LC333183.1,1596,1626,1
LC333183.1,1614,1646,2
LC333183.1,1623,1951,1
LC333183.1,1628,1657,1
LC333183.1,1779,1845,1
LC333183.1,1803,1851,5
LC333183.1,1818,1870,1
LC333183.1,1818,1928,7
