Segment,Start,End,NGS_read_count
LC333182.1,1014,1120,1
LC333182.1,1061,1362,1
LC333182.1,1084,1488,1
LC333182.1,1095,1190,2
LC333182.1,1105,1955,1
LC333182.1,1120,1246,1
LC333182.1,1131,1195,2
LC333182.1,1132,1160,4
LC333182.1,1141,1204,1
LC333182.1,1153,1347,1
LC333182.1,1194,1643,1
LC333182.1,1264,1504,2
LC333182.1,1284,1658,1
LC333182.1,1293,1632,1
LC333182.1,1404,1641,1
LC333182.1,1407,1559,1
LC333182.1,1418,1857,1
LC333182.1,1453,1634,1
LC333182.1,1467,1730,1
LC333182.1,1476,1837,1
LC333182.1,1496,1726,1
LC333182.1,1510,1542,3
LC333182.1,1517,1642,3
LC333182.1,1521,2151,1
LC333182.1,1524,1938,2
LC333182.1,1545,1670,1
LC333182.1,1547,1610,1
LC333182.1,1595,1628,2
LC333182.1,1595,1741,1
LC333182.1,1597,1647,1
LC333182.1,1602,1628,3
LC333182.1,1607,1645,1
LC333182.1,1707,1740,1
LC333182.1,1708,1733,1
LC333182.1,1712,1752,1
LC333182.1,1717,1772,1
LC333182.1,1725,1808,1
LC333182.1,1725,1839,1
LC333182.1,1817,1950,1
LC333182.1,1847,2202,1
LC333182.1,1957,2147,1
LC333182.1,1982,2212,1
LC333182.1,1990,2147,1
LC333182.1,2030,2100,1
LC333182.1,2039,2185,1
LC333182.1,2045,2082,4
LC333182.1,2186,2217,1
LC333182.1,349,1839,1
LC333182.1,397,1766,1
LC333182.1,412,523,3
LC333182.1,428,1830,15
LC333182.1,433,1743,1
LC333182.1,463,552,1
LC333182.1,467,1827,1
LC333182.1,497,1887,1
LC333182.1,501,592,1
LC333182.1,510,555,1
LC333182.1,532,1930,1
LC333182.1,535,1803,1
LC333182.1,547,1194,2
LC333182.1,555,1709,1
LC333182.1,564,1627,7
LC333182.1,573,669,1
LC333182.1,592,1600,1
LC333182.1,641,1645,1
LC333182.1,655,1051,1
LC333182.1,681,2113,1
LC333182.1,758,1587,1
LC333182.1,767,1403,2
LC333182.1,774,874,1
LC333182.1,835,1057,2
LC333182.1,844,1994,1
LC333182.1,852,894,5
LC333182.1,854,932,2
LC333182.1,861,1494,1
LC333183.1,1085,1399,10
LC333183.1,1091,1493,1
LC333183.1,1151,1545,1
LC333183.1,1158,1529,1
LC333183.1,1170,1352,1
LC333183.1,1177,1405,1
