Segment,Start,End,NGS_read_count
OQ034429.1,1007,1856,45
OQ034429.1,1009,1858,1
OQ034429.1,100,2160,1
OQ034429.1,1036,2243,2
OQ034429.1,105,2023,1
OQ034429.1,106,1364,1
OQ034429.1,107,677,1
OQ034429.1,108,141,1
OQ034429.1,109,142,728
OQ034429.1,110,143,1
OQ034429.1,110,2120,36
OQ034429.1,110,2185,15
OQ034429.1,1179,1838,2
OQ034429.1,1252,2118,2
OQ034429.1,1334,2166,1
OQ034429.1,1350,1897,1
OQ034429.1,1524,2021,2
OQ034429.1,1604,1631,15
OQ034429.1,1612,2291,1
OQ034429.1,161,2197,1
OQ034429.1,162,2017,7
OQ034429.1,1669,1814,2
OQ034429.1,1725,1762,1
OQ034429.1,1727,2163,2
OQ034429.1,1745,1795,20
OQ034429.1,1779,1999,1
OQ034429.1,1829,2014,1
OQ034429.1,1848,2180,2
OQ034429.1,1854,2194,1
OQ034429.1,1958,2197,1
OQ034429.1,2046,2093,1
OQ034429.1,2128,2187,18
OQ034429.1,2131,2190,10537
OQ034429.1,2132,2191,6
OQ034429.1,2132,2212,1
OQ034429.1,2133,2201,27
OQ034429.1,2189,2213,1
OQ034429.1,2189,2328,1
OQ034429.1,2190,2214,2
OQ034429.1,2230,2261,16
OQ034429.1,2234,2265,1
OQ034429.1,235,1598,1
OQ034429.1,236,1850,80
OQ034429.1,237,2168,4
OQ034429.1,240,2020,86
OQ034429.1,240,2056,5
OQ034429.1,240,2171,279
OQ034429.1,254,2108,1
OQ034429.1,266,1944,1
OQ034429.1,280,1836,526
OQ034429.1,282,1838,1
OQ034429.1,286,2123,1
OQ034429.1,298,1916,1
OQ034429.1,298,2195,2
OQ034429.1,300,505,1
OQ034429.1,310,1984,11
OQ034429.1,310,2002,94
OQ034429.1,322,2075,12
OQ034429.1,326,1991,2
OQ034429.1,327,2003,28
OQ034429.1,332,1996,3
OQ034429.1,334,1975,25
OQ034429.1,337,1977,4
OQ034429.1,337,1978,19665
OQ034429.1,337,1979,14
OQ034429.1,337,2051,3
OQ034429.1,337,503,2
OQ034429.1,338,1979,47
OQ034429.1,345,1915,2
OQ034429.1,345,1934,1
OQ034429.1,346,2018,2
OQ034429.1,346,2052,2
OQ034429.1,352,2227,2
OQ034429.1,355,1369,1
OQ034429.1,356,2193,1
OQ034429.1,358,1978,1
OQ034429.1,366,1936,1
OQ034429.1,367,1977,1
OQ034429.1,367,2033,2
OQ034429.1,368,1942,1
OQ034429.1,368,1978,571
OQ034429.1,370,1940,313
OQ034429.1,370,1944,110
OQ034429.1,371,1945,68
OQ034429.1,372,1942,1
OQ034429.1,375,1939,116
OQ034429.1,377,1487,11
OQ034429.1,377,1934,3
OQ034429.1,378,1864,2
OQ034429.1,378,1940,3
OQ034429.1,383,1818,114
OQ034429.1,385,1898,1
OQ034429.1,385,1918,1
OQ034429.1,385,1919,1
OQ034429.1,387,1920,2342
OQ034429.1,388,1921,1
OQ034429.1,388,1941,61
OQ034429.1,388,2045,198
OQ034429.1,389,2046,2
OQ034429.1,391,1922,4
OQ034429.1,394,2030,2
OQ034429.1,402,1008,1
OQ034429.1,420,1808,99
OQ034429.1,420,2041,69
OQ034429.1,421,2042,1
OQ034429.1,422,1915,2
OQ034429.1,435,1863,127
OQ034429.1,438,1776,7
OQ034429.1,438,1889,1
OQ034429.1,441,2002,138
OQ034429.1,443,2335,1
OQ034429.1,448,1863,2
OQ034429.1,452,1982,32
OQ034429.1,454,1989,1
OQ034429.1,455,1767,1
OQ034429.1,455,1990,617
OQ034429.1,460,1773,1
OQ034429.1,461,1851,85
OQ034429.1,461,1920,105
OQ034429.1,462,1775,374
OQ034429.1,462,1921,1
OQ034429.1,463,1776,1
OQ034429.1,463,2108,2
OQ034429.1,466,1848,90
OQ034429.1,467,818,1
OQ034429.1,492,1869,1
OQ034429.1,499,1835,6
OQ034429.1,504,1551,1
OQ034429.1,504,1829,1
OQ034429.1,505,1740,10
OQ034429.1,505,1741,2
OQ034429.1,506,614,1
OQ034429.1,507,1735,1
OQ034429.1,508,1744,1
OQ034429.1,508,1941,79
OQ034429.1,509,1744,7718
OQ034429.1,509,1890,74
OQ034429.1,509,1904,6
OQ034429.1,510,1745,16
OQ034429.1,510,1943,1
OQ034429.1,517,1900,2
OQ034429.1,51,1747,17
OQ034429.1,51,2013,1
OQ034429.1,524,1661,8
OQ034429.1,527,1727,1
OQ034429.1,529,1729,43
OQ034429.1,529,1730,2
OQ034429.1,52,1676,1
OQ034429.1,535,2055,2
OQ034429.1,535,2058,2
OQ034429.1,538,2062,81
OQ034429.1,542,1768,2
OQ034429.1,566,1824,1
OQ034429.1,582,1811,130
OQ034429.1,584,1939,2
OQ034429.1,585,1750,2
OQ034429.1,585,1934,105
OQ034429.1,587,1942,87
OQ034429.1,591,1857,71
OQ034429.1,597,1776,33
OQ034429.1,599,1729,2
OQ034429.1,60,1897,1
OQ034429.1,611,1741,39
OQ034429.1,611,1744,103
OQ034429.1,621,1766,1
OQ034429.1,623,1757,18
OQ034429.1,624,1745,51
OQ034429.1,627,1750,136
OQ034429.1,627,1772,236
OQ034429.1,628,1773,1
OQ034429.1,630,1771,5
OQ034429.1,633,1708,21
OQ034429.1,638,1738,59
OQ034429.1,638,1796,57
OQ034429.1,639,1737,29
OQ034429.1,643,1757,1
OQ034429.1,644,1709,66
OQ034429.1,644,1737,13
OQ034429.1,644,1758,334
OQ034429.1,645,1745,9
OQ034429.1,645,1759,1
OQ034429.1,647,1749,60
OQ034429.1,650,1735,49
OQ034429.1,650,1747,4
OQ034429.1,653,1727,48
OQ034429.1,684,1498,9
OQ034429.1,685,930,1
OQ034429.1,686,1943,34
OQ034429.1,690,1695,90
OQ034429.1,693,1683,3
OQ034429.1,695,1724,31
OQ034429.1,695,1725,2
OQ034429.1,700,1726,3
OQ034429.1,702,1631,18
OQ034429.1,714,1817,63
OQ034429.1,722,1574,40
OQ034429.1,724,1496,8
OQ034429.1,726,1572,39
OQ034429.1,729,1586,22
OQ034429.1,730,1675,83
OQ034429.1,731,1576,23
OQ034429.1,731,1611,14
OQ034429.1,735,1713,41
OQ034429.1,747,1598,1
OQ034429.1,753,1585,4
OQ034429.1,753,1796,46
OQ034429.1,769,1512,13
OQ034429.1,770,2059,2
OQ034429.1,772,1801,1
OQ034429.1,774,1528,1
OQ034429.1,779,1539,66
OQ034429.1,781,1541,1
OQ034429.1,786,1510,2
OQ034429.1,794,1495,31
OQ034429.1,794,1612,9
OQ034429.1,795,1541,19
OQ034429.1,796,1518,7
OQ034429.1,796,1557,10
OQ034429.1,797,1536,7
OQ034429.1,798,1489,8
OQ034429.1,799,1496,3
OQ034429.1,799,1509,10
OQ034429.1,800,1611,12
OQ034429.1,801,1699,5
OQ034429.1,82,2057,1
OQ034429.1,832,1836,2
OQ034429.1,839,1573,22
OQ034429.1,840,1446,14
OQ034429.1,840,1448,46
OQ034429.1,848,1432,20
OQ034429.1,848,1488,2
OQ034429.1,848,1677,6
OQ034429.1,849,1602,3
OQ034429.1,866,1585,13
OQ034429.1,867,1589,21
OQ034429.1,871,1586,7
OQ034429.1,872,1610,18
OQ034429.1,872,1611,7
OQ034429.1,873,1596,9
OQ034429.1,875,1607,9
OQ034429.1,875,1942,1
OQ034429.1,906,1444,28
OQ034429.1,90,2028,1
OQ034429.1,92,2030,127
OQ034429.1,936,1531,118
OQ034429.1,945,1771,1
OQ034429.1,946,2047,2
OQ034429.1,956,1225,2
OQ034429.1,977,1447,8
OQ034429.1,977,1510,14
OQ034430.1,1016,2247,2
OQ034430.1,1033,1516,1
OQ034430.1,1056,1492,2
OQ034430.1,1056,1952,2
OQ034430.1,1084,2239,1
OQ034430.1,1120,2307,1
OQ034430.1,1159,2061,2
OQ034430.1,1193,1994,1
OQ034430.1,1203,2190,1
OQ034430.1,1221,2291,2
OQ034430.1,1224,2283,2
OQ034430.1,1273,1909,2
OQ034430.1,1318,1504,2
OQ034430.1,136,553,1
OQ034430.1,1396,1498,2
OQ034430.1,1498,2000,2
OQ034430.1,1564,1746,1
OQ034430.1,162,2145,1
OQ034430.1,163,325,1
OQ034430.1,164,2211,21
OQ034430.1,1660,1841,1
OQ034430.1,1725,2239,1
OQ034430.1,1725,2313,1
OQ034430.1,1771,2073,1
OQ034430.1,1775,1932,1
OQ034430.1,1783,1870,1
OQ034430.1,1872,2052,1
OQ034430.1,1893,2256,2
OQ034430.1,1920,2322,4
OQ034430.1,1988,2128,1
OQ034430.1,203,2052,61
OQ034430.1,2070,2324,1
OQ034430.1,2081,2295,1
OQ034430.1,213,1609,1
OQ034430.1,213,251,1
OQ034430.1,214,251,3
OQ034430.1,2180,2208,57
OQ034430.1,2237,2265,66
OQ034430.1,236,1782,1
OQ034430.1,244,1912,26
OQ034430.1,244,2125,12
OQ034430.1,244,2206,9
OQ034430.1,245,2212,2
OQ034430.1,246,575,2
OQ034430.1,251,1887,2
OQ034430.1,262,829,2
OQ034430.1,263,1830,1
OQ034430.1,270,1836,1
OQ034430.1,291,1632,2
OQ034430.1,310,2001,1
OQ034430.1,313,2013,2
OQ034430.1,316,495,1
OQ034430.1,330,1388,2
OQ034430.1,330,1980,2
OQ034430.1,342,1573,1
OQ034430.1,390,2237,2
OQ034430.1,392,1962,26
OQ034430.1,395,1937,1520
OQ034430.1,395,461,3
OQ034430.1,396,1938,1
OQ034430.1,400,2139,120
OQ034430.1,408,1366,1
OQ034430.1,411,1958,4
OQ034430.1,411,2049,2
OQ034430.1,413,1937,103
OQ034430.1,415,2033,1
OQ034430.1,417,2033,20
OQ034430.1,418,2036,557
OQ034430.1,421,1921,1
OQ034430.1,422,2040,1
OQ034430.1,428,1959,2
OQ034430.1,428,2216,74
OQ034430.1,443,611,1
OQ034430.1,446,2022,26
OQ034430.1,447,2053,1
OQ034430.1,449,1773,1
OQ034430.1,449,2055,214
OQ034430.1,44,2070,2
OQ034430.1,453,1777,269
OQ034430.1,453,2063,14
OQ034430.1,454,1778,1
OQ034430.1,457,2080,2
OQ034430.1,458,1874,1
OQ034430.1,462,2061,2
OQ034430.1,463,1739,171
OQ034430.1,464,2032,15
OQ034430.1,493,1833,1
OQ034430.1,494,1997,2
OQ034430.1,500,1653,1
OQ034430.1,507,2147,1
OQ034430.1,518,829,2
OQ034430.1,528,1099,2
OQ034430.1,534,1381,2
OQ034430.1,564,1784,367
OQ034430.1,572,597,1
OQ034430.1,577,760,2
OQ034430.1,593,1615,64
OQ034430.1,606,1166,1
OQ034430.1,607,2077,189
OQ034430.1,608,1747,30
OQ034430.1,612,1840,8
OQ034430.1,615,1707,73
OQ034430.1,621,1377,1
OQ034430.1,622,1662,81
OQ034430.1,634,1706,2
OQ034430.1,635,1707,96
OQ034430.1,643,1691,25
OQ034430.1,647,1740,18
OQ034430.1,65,2150,1
OQ034430.1,705,1741,87
OQ034430.1,715,2318,1
OQ034430.1,733,1757,1
OQ034430.1,750,1445,2
OQ034430.1,771,1963,1
OQ034430.1,772,2081,1
OQ034430.1,785,1613,22
OQ034430.1,842,1511,11
OQ034430.1,859,1634,7
OQ034430.1,926,1999,2
OQ034430.1,967,1099,2
OQ034430.1,979,1003,2
OQ034430.1,982,1540,2
OQ034431.1,108,1948,8
OQ034431.1,1118,1195,8
OQ034431.1,1449,1691,2
OQ034431.1,170,212,37
OQ034431.1,176,1074,1
OQ034431.1,191,426,1
OQ034431.1,2056,2117,5
OQ034431.1,213,1448,136
OQ034431.1,241,2000,3
OQ034431.1,259,1929,22
OQ034431.1,322,2022,8
OQ034431.1,413,1856,27
OQ034431.1,421,1857,300
OQ034431.1,42,72,1
OQ034431.1,432,1923,1
OQ034431.1,438,1862,264
OQ034431.1,439,1637,8
OQ034431.1,439,1863,1
OQ034431.1,452,1826,41
OQ034431.1,453,1827,2
OQ034431.1,457,1856,27
OQ034431.1,487,1704,8
