Segment,Start,End,NGS_read_count
LC333182.1,107,2113,3
LC333182.1,107,2146,1
LC333182.1,1095,1190,1
LC333182.1,1115,1540,1
LC333182.1,1116,2092,2
LC333182.1,1120,1246,1
LC333182.1,115,2126,22
LC333182.1,1166,1460,1
LC333182.1,1187,1950,1
LC333182.1,1190,1953,1
LC333182.1,1210,1312,1
LC333182.1,131,2173,1
LC333182.1,1382,2088,1
LC333182.1,1469,1958,1
LC333182.1,148,1643,1
LC333182.1,148,2137,2
LC333182.1,1495,1830,2
LC333182.1,151,1508,2
LC333182.1,153,1821,1
LC333182.1,1602,1651,1
LC333182.1,1609,2168,1
LC333182.1,162,2098,1
LC333182.1,1683,1809,2
LC333182.1,1699,1729,2
LC333182.1,1708,1743,1
LC333182.1,1752,1837,1
LC333182.1,1819,1967,1
LC333182.1,1836,1946,3
LC333182.1,1840,1952,1
LC333182.1,1842,1955,1
LC333182.1,1894,2096,1
LC333182.1,196,1784,1
LC333182.1,1982,2212,1
LC333182.1,202,1771,2
LC333182.1,2039,2071,1
LC333182.1,2039,2083,1
LC333182.1,2040,2108,1
LC333182.1,2045,2082,3
LC333182.1,204,2149,1
LC333182.1,2061,2131,1
LC333182.1,208,2085,2
LC333182.1,2122,2146,1
LC333182.1,2131,2158,1
LC333182.1,214,2015,2
LC333182.1,215,1955,2
LC333182.1,218,2055,1
LC333182.1,228,1687,1
LC333182.1,231,2112,1
LC333182.1,235,1819,1
LC333182.1,236,2105,1
LC333182.1,238,2125,1
LC333182.1,243,1860,1
LC333182.1,245,1862,20
LC333182.1,249,2163,1
LC333182.1,264,2085,1
LC333182.1,265,1957,1
LC333182.1,266,1999,4
LC333182.1,266,333,1
LC333182.1,275,1964,1
LC333182.1,285,1995,6
LC333182.1,286,1958,2
LC333182.1,297,1844,2
LC333182.1,299,636,1
LC333182.1,300,2230,2
LC333182.1,303,1691,1
LC333182.1,306,1932,1
LC333182.1,307,1932,1
LC333182.1,307,2113,1
LC333182.1,327,1920,3
LC333182.1,334,1921,1
LC333182.1,336,1755,3
LC333182.1,340,2039,2
LC333182.1,342,1638,1
LC333182.1,343,1587,3
LC333182.1,345,2037,1
LC333182.1,353,1992,1
LC333182.1,397,1883,1
LC333182.1,405,1741,1
LC333182.1,406,1803,1
LC333182.1,407,2015,30
LC333182.1,419,2082,1
LC333182.1,420,1837,1
LC333182.1,426,1996,36
LC333182.1,429,1858,8
LC333182.1,436,1874,7
LC333182.1,443,1776,1
LC333182.1,450,1765,1
LC333182.1,454,1781,1
LC333182.1,457,1956,1
LC333182.1,464,2088,2
LC333182.1,484,2096,2
LC333182.1,493,1663,1
LC333182.1,498,1966,1
LC333182.1,501,2089,1
LC333182.1,507,2078,1
LC333182.1,512,1729,2
LC333182.1,512,1827,1
LC333182.1,512,1845,1
LC333182.1,526,1666,1
LC333182.1,543,1586,1
LC333182.1,595,2130,2
LC333182.1,602,2130,2
LC333182.1,612,1651,2
LC333182.1,626,1989,8
LC333182.1,628,1932,29
LC333182.1,628,2113,1
LC333182.1,639,1982,1
LC333182.1,652,2137,1
LC333182.1,653,1952,2
LC333182.1,654,2189,1
LC333182.1,659,1822,1
LC333182.1,659,1939,1
LC333182.1,660,2167,3
LC333182.1,664,2049,1
LC333182.1,667,2095,1
LC333182.1,676,2138,3
LC333182.1,680,1889,1
LC333182.1,681,1932,4
LC333182.1,681,2113,29
LC333182.1,685,2066,1
LC333182.1,688,1809,4
LC333182.1,690,1939,2
LC333182.1,730,1860,3
LC333182.1,746,1741,1
LC333182.1,747,2082,22
LC333182.1,748,2121,1
LC333182.1,749,1842,1
LC333182.1,749,1853,1
LC333182.1,752,1833,1
LC333182.1,754,1602,4
LC333182.1,767,1772,1
LC333182.1,769,2136,1
LC333182.1,824,1521,1
LC333182.1,86,1864,1
LC333182.1,874,936,1
LC333182.1,87,1823,1
LC333182.1,900,1009,1
LC333182.1,902,1920,1
LC333182.1,90,2026,2
LC333182.1,939,2203,2
LC333182.1,941,2130,3
LC333182.1,946,2213,1
LC333182.1,949,2093,1
LC333182.1,956,1920,1
LC333182.1,990,1869,3
LC333183.1,103,2173,1
LC333183.1,1069,1435,1
LC333183.1,1103,2029,1
LC333183.1,1112,1140,1
LC333183.1,122,1974,1
LC333183.1,136,1989,141
LC333183.1,140,2148,1
LC333183.1,141,2149,6
LC333183.1,1426,1470,1
LC333183.1,147,2120,1
LC333183.1,148,2110,2
LC333183.1,1505,1528,1
LC333183.1,162,1308,1
LC333183.1,162,2158,4
LC333183.1,163,2047,1
LC333183.1,165,2017,17
LC333183.1,169,1944,1
LC333183.1,174,1656,2
LC333183.1,1775,1813,3
LC333183.1,1802,1971,1
LC333183.1,1846,2022,1
LC333183.1,188,2081,3
LC333183.1,1934,1989,1
LC333183.1,201,2126,1
LC333183.1,210,1934,4
LC333183.1,211,2090,1
LC333183.1,213,1995,1
LC333183.1,227,2076,3
LC333183.1,234,1895,1
LC333183.1,253,1934,2
LC333183.1,259,2084,1
LC333183.1,261,1942,3
LC333183.1,261,2149,1
LC333183.1,265,1945,2
LC333183.1,269,2105,8
LC333183.1,277,1815,1
LC333183.1,277,2032,1
LC333183.1,311,2051,1
LC333183.1,316,2070,2
LC333183.1,317,2039,1
LC333183.1,318,1895,1
LC333183.1,319,2028,1
LC333183.1,320,2129,1
LC333183.1,332,2074,1
LC333183.1,338,1984,2
LC333183.1,340,410,1
LC333183.1,343,1900,1
LC333183.1,351,2052,1
LC333183.1,351,2077,6
LC333183.1,352,1861,1
LC333183.1,369,1869,1
LC333183.1,373,1930,1
LC333183.1,390,2103,4
LC333183.1,404,1911,2
LC333183.1,418,2024,1
LC333183.1,419,1937,1
LC333183.1,423,1895,2
LC333183.1,431,1819,1
LC333183.1,434,1926,1
LC333183.1,435,2163,1
LC333183.1,437,1981,8
LC333183.1,446,2107,3
LC333183.1,477,1938,4
LC333183.1,478,1781,2
LC333183.1,507,2024,1
LC333183.1,524,1769,210
LC333183.1,526,1701,2
LC333183.1,526,1729,1
LC333183.1,527,1772,1
LC333183.1,539,1875,1
LC333183.1,545,1700,2
LC333183.1,552,2087,1
LC333183.1,554,2146,1
LC333183.1,562,1864,12
LC333183.1,563,1875,1
LC333183.1,56,2087,4
LC333183.1,638,1951,1
LC333183.1,657,1120,1
LC333183.1,662,1939,1
LC333183.1,663,1940,1
LC333183.1,713,2065,1
LC333183.1,718,2003,1
LC333183.1,740,1808,2
LC333183.1,779,869,1
LC333183.1,794,822,24
LC333183.1,859,2146,1
LC333183.1,860,942,1
LC333183.1,880,2006,1
LC333183.1,893,1363,1
LC333183.1,986,1896,1
LC333183.1,989,1022,2
LC333184.1,120,2027,1
LC333184.1,1254,1350,1
LC333184.1,127,1800,1
LC333184.1,1306,1351,1
LC333184.1,134,1996,1
LC333184.1,1371,1419,1
LC333184.1,137,1455,1
LC333184.1,138,2010,1
LC333184.1,139,169,3
LC333184.1,1406,1752,1
LC333184.1,1577,1605,1
LC333184.1,1586,1715,1
LC333184.1,1600,1622,1
LC333184.1,1604,1646,1
LC333184.1,160,2019,1
LC333184.1,1613,1712,1
LC333184.1,161,2005,1
LC333184.1,1626,1685,1
LC333184.1,164,2028,201
LC333184.1,1654,1714,2
LC333184.1,1712,1860,1
LC333184.1,1730,1756,2
LC333184.1,1735,2052,1
LC333184.1,1769,1806,1
LC333184.1,180,1939,1
LC333184.1,184,319,1
LC333184.1,1873,2035,1
LC333184.1,1882,1950,2
LC333184.1,188,264,2
LC333184.1,1895,1956,1
LC333184.1,1978,2168,2
LC333184.1,2005,2075,4
LC333184.1,2017,2118,1
LC333184.1,2025,2086,1
LC333184.1,2025,2141,3
LC333184.1,2033,2147,1
LC333184.1,2035,2076,1
LC333184.1,2053,2122,12
LC333184.1,212,1857,1
LC333184.1,213,259,1
LC333184.1,216,1849,1
LC333184.1,228,1945,1
LC333184.1,233,2074,8
LC333184.1,241,2070,1
LC333184.1,243,632,1
LC333184.1,245,2092,1
LC333184.1,253,1873,3
LC333184.1,253,352,1
LC333184.1,254,2097,1
LC333184.1,256,1865,1
LC333184.1,256,1876,312
LC333184.1,261,1766,12
LC333184.1,270,1868,3
LC333184.1,274,538,1
LC333184.1,281,1767,12
LC333184.1,289,2055,1
LC333184.1,290,2056,1
LC333184.1,290,2057,1
LC333184.1,291,2048,1
LC333184.1,301,1797,1
LC333184.1,322,2078,1
LC333184.1,327,1822,1
LC333184.1,342,1675,1
LC333184.1,361,1766,1
LC333184.1,361,1805,1
LC333184.1,363,1657,1
LC333184.1,365,1832,309
LC333184.1,366,1833,2
LC333184.1,369,1812,1
LC333184.1,371,2018,1
LC333184.1,381,1857,1
LC333184.1,385,1790,1
LC333184.1,388,1817,1
LC333184.1,391,1741,1
LC333184.1,391,424,1
LC333184.1,398,484,1
LC333184.1,404,1643,1
LC333184.1,407,464,1
LC333184.1,413,1745,10
LC333184.1,415,1887,1
LC333184.1,416,1738,1
LC333184.1,419,1812,1
LC333184.1,423,2056,1
LC333184.1,430,1692,1
LC333184.1,433,1709,1
LC333184.1,434,1616,19
LC333184.1,439,464,1
LC333184.1,441,1747,1
LC333184.1,445,1833,1
LC333184.1,445,479,1
LC333184.1,451,1630,1
LC333184.1,459,1698,4
LC333184.1,462,1941,1
LC333184.1,475,2002,1
LC333184.1,476,1365,1
LC333184.1,476,555,1
LC333184.1,480,1658,1
LC333184.1,481,1758,1
LC333184.1,489,1768,1
LC333184.1,490,1377,2
LC333184.1,492,2117,2
LC333184.1,493,1380,312
LC333184.1,494,1381,3
LC333184.1,499,2044,1
LC333184.1,511,1691,1
LC333184.1,512,1731,1
LC333184.1,517,1708,1
LC333184.1,517,1709,6
LC333184.1,518,1710,5689
LC333184.1,519,1711,11
LC333184.1,519,1797,1
LC333184.1,520,1654,1
LC333184.1,520,2090,2
LC333184.1,525,1728,1
LC333184.1,528,2036,2
LC333184.1,531,2038,2
LC333184.1,532,2083,2
LC333184.1,535,1663,1
LC333184.1,536,1539,1
LC333184.1,53,208,1
LC333184.1,542,1684,1
LC333184.1,546,2061,1
LC333184.1,547,1690,1
LC333184.1,553,1535,5
LC333184.1,556,1539,3
LC333184.1,559,1542,1357
LC333184.1,559,1632,2
LC333184.1,560,1543,8
LC333184.1,563,1633,13
LC333184.1,564,741,1
LC333184.1,571,1636,2
LC333184.1,571,1756,1
LC333184.1,572,1950,1
LC333184.1,581,1373,1
LC333184.1,581,1714,2
LC333184.1,587,1829,6
LC333184.1,594,1587,1
LC333184.1,598,1671,3
LC333184.1,605,1788,1
LC333184.1,616,1773,1
LC333184.1,618,1514,1
LC333184.1,625,1500,1
LC333184.1,629,2097,1
LC333184.1,636,1618,1
LC333184.1,636,1644,1
LC333184.1,643,1865,1
LC333184.1,646,1759,2
LC333184.1,647,1760,1625
LC333184.1,649,1367,1
LC333184.1,652,1765,4
LC333184.1,663,1768,1
LC333184.1,666,2131,1
LC333184.1,677,1853,1
LC333184.1,679,1537,1
LC333184.1,694,1674,1
LC333184.1,699,1521,1
LC333184.1,707,1500,1
LC333184.1,753,2172,1
LC333184.1,754,1658,1
LC333184.1,763,1874,1
LC333184.1,769,1575,1
LC333184.1,772,1578,3292
LC333184.1,772,1579,1
LC333184.1,773,1579,1
LC333184.1,781,1588,1
LC333184.1,800,1626,10
LC333184.1,803,1585,6
LC333184.1,80,2016,2
LC333184.1,843,1637,1
LC333184.1,846,1583,1
LC333184.1,905,2100,5
LC333184.1,911,1617,1
LC333185.1,1005,1032,1
LC333185.1,114,1243,1
LC333185.1,119,1490,1
LC333185.1,1240,1377,1
LC333185.1,126,1551,1
LC333185.1,155,1493,1
LC333185.1,164,1498,1
LC333185.1,190,704,1
LC333185.1,208,1165,1
LC333185.1,252,910,1
LC333185.1,255,1142,2
LC333185.1,257,882,3
LC333185.1,264,1443,1
LC333185.1,292,1276,2
LC333185.1,296,1280,379
LC333185.1,363,1007,1
LC333185.1,375,1288,1
LC333185.1,390,499,1
LC333185.1,474,985,1
LC333185.1,519,1353,1
LC333185.1,524,1034,1
LC333185.1,524,1072,1
LC333185.1,526,1083,1
LC333185.1,545,793,1
LC333185.1,548,1102,1
LC333185.1,551,1551,1
LC333185.1,559,995,1
LC333185.1,568,1013,1
LC333185.1,616,1612,1
LC333185.1,705,1204,2
LC333185.1,707,1038,1
LC333185.1,707,986,1
LC333185.1,718,792,1
LC333185.1,720,782,1
LC333185.1,720,783,2
LC333185.1,724,830,1
LC333185.1,736,1033,34
LC333185.1,741,763,1
LC333185.1,813,1678,1
LC333185.1,826,1097,2
LC333185.1,919,1003,1
LC333185.1,926,971,2
LC333186.1,1041,1327,1
LC333186.1,1051,1337,1
LC333186.1,1063,1117,1
LC333186.1,1083,1146,1
LC333186.1,1098,1454,1
LC333186.1,1101,1414,3
LC333186.1,1102,1224,1
LC333186.1,1124,1342,1
LC333186.1,1133,1532,2
LC333186.1,1197,1527,1
LC333186.1,1204,1339,3
LC333186.1,1212,1384,2
LC333186.1,1220,1409,3
LC333186.1,1243,1312,3
LC333186.1,1244,1293,1
LC333186.1,1268,1331,2
