Segment,Start,End,NGS_read_count
CY018653.1,1316,1809,1
CY018653.1,66,1109,1
CY018653.1,79,1098,1
CY018653.1,988,1673,1
CY018654.1,147,206,1
CY018654.1,160,191,1
CY018654.1,180,942,1
CY018654.1,220,895,1
CY018654.1,252,503,1
CY018654.1,294,953,3
CY018654.1,313,960,1
CY018654.1,318,966,1
CY018654.1,327,377,1
CY018654.1,327,974,1
CY018654.1,332,375,1
CY018654.1,332,376,1
CY018654.1,340,370,1
CY018654.1,362,407,2
CY018654.1,396,580,1
CY018654.1,468,549,1
CY018654.1,488,754,1
CY018654.1,498,567,1
CY018654.1,620,682,1
CY018655.1,1014,1057,1
CY018655.1,213,428,1
CY018655.1,224,290,1
CY018655.1,261,361,1
CY018655.1,302,1151,1
CY018655.1,344,1188,3
CY018655.1,572,710,7
CY018655.1,698,728,1
CY018655.1,771,1183,1
CY018655.1,989,1023,1
CY018656.1,134,1386,1
CY018656.1,1665,1697,1
CY018656.1,173,921,1
CY018656.1,197,1675,1
CY018656.1,343,1709,1
CY018656.1,361,1541,1
CY018656.1,639,777,1
CY018656.1,670,1787,1
CY018656.1,788,1410,3
CY018656.1,95,175,1
CY018658.1,1042,1549,1
CY018658.1,1183,1708,1
CY018658.1,1246,1331,2
CY018658.1,138,856,1
CY018658.1,1581,1842,1
CY018658.1,1635,1850,1
CY018658.1,165,237,1
CY018658.1,1661,1690,1
CY018658.1,1828,2005,1
CY018658.1,1843,1892,1
CY018658.1,1906,1958,1
CY018658.1,194,1423,1
CY018658.1,1952,2125,1
CY018658.1,206,2019,1
CY018658.1,214,2026,1
CY018658.1,221,1439,1
CY018658.1,229,916,2
CY018658.1,256,1419,1
CY018658.1,266,1429,3
CY018658.1,271,544,1
CY018658.1,281,1435,1
CY018658.1,282,315,1
CY018658.1,282,446,1
CY018658.1,285,1121,1
CY018658.1,319,2075,1
CY018658.1,324,537,1
CY018658.1,470,972,1
CY018658.1,471,1235,2
CY018658.1,53,245,1
CY018658.1,608,1147,1
CY018658.1,631,1085,1
CY018658.1,751,1448,5
CY018658.1,778,802,2
CY018658.1,876,1552,1
CY018658.1,878,1238,5
CY018658.1,91,164,1
CY018658.1,952,1261,1
CY018659.1,1167,1831,1
CY018659.1,1254,1490,1
CY018659.1,290,2175,8
CY018659.1,291,1366,6
CY018659.1,326,2162,52
CY018659.1,367,1900,2
CY018659.1,381,1900,1
CY018659.1,409,1084,1
CY018659.1,427,1851,1
CY018659.1,480,1861,1
CY018659.1,590,1459,1
CY018659.1,70,1820,1
CY018659.1,71,456,1
CY018659.1,874,994,2
CY018659.1,894,1007,1
CY018659.1,909,2057,1
CY018659.1,916,1459,1
CY018660.1,100,2122,43
CY018660.1,1065,2022,2
CY018660.1,1071,1626,1
CY018660.1,1080,1193,1
CY018660.1,108,1947,1
CY018660.1,1231,1684,1
CY018660.1,1241,1476,2
CY018660.1,1243,1724,1
CY018660.1,1376,1635,1
CY018660.1,1578,1792,1
CY018660.1,1973,2311,1
CY018660.1,225,554,2
CY018660.1,261,557,1
CY018660.1,297,2124,1
CY018660.1,371,393,2
CY018660.1,574,1490,1
CY018660.1,588,2048,1
CY018660.1,699,856,1
CY018660.1,726,2046,2
CY018660.1,744,1373,2
CY018660.1,753,1051,1
CY018660.1,868,1724,1
