Segment,Start,End,NGS_read_count
HA,1033,1078,1
HA,1037,1118,1
HA,1115,1219,1
HA,1123,1601,2
HA,1126,1519,2
HA,1134,1628,2
HA,1143,1216,2
HA,114,214,1
HA,1249,1607,1
HA,1254,1526,3
HA,1265,1521,2
HA,1271,1523,6
HA,1272,1531,6
HA,1273,1530,1
HA,1280,1528,2
HA,1302,1326,2
HA,1352,1402,3
HA,136,1495,3
HA,136,1570,2
HA,1452,1572,2
HA,1496,1547,57
HA,151,1408,1
HA,151,1504,180
HA,1521,1613,1
HA,1522,1614,1
HA,152,1444,1
HA,154,1532,2
HA,156,1497,2
HA,1637,1703,4
HA,167,1565,2
HA,169,1530,2
HA,171,1490,27
HA,172,1542,2
HA,173,1182,2
HA,180,1310,2
HA,185,784,1
HA,187,1508,2
HA,190,1524,2
HA,193,1599,2
HA,204,718,3
HA,205,1374,2
HA,205,1490,2
HA,207,1468,2
HA,211,1496,1
HA,211,1499,1
HA,218,1448,2
HA,227,1495,2
HA,227,1680,2
HA,230,1517,1
HA,233,1380,2
HA,236,1666,2
HA,237,1661,2
HA,237,836,1
HA,245,1445,2
HA,250,1450,1
HA,250,1501,2
HA,258,1456,1
HA,258,1537,1
HA,258,282,2
HA,265,700,1
HA,267,1356,1
HA,267,1458,2
HA,269,1565,1
HA,271,1495,2
HA,271,1550,2
HA,271,896,1
HA,272,1385,1
HA,273,1464,56
HA,276,1389,60
HA,277,1099,2
HA,277,1118,1
HA,279,1040,2
HA,279,1408,2
HA,280,1421,2
HA,280,1498,17
HA,282,1349,2
HA,288,1526,2
HA,293,1419,4
HA,297,1381,2
HA,297,360,1
HA,301,1386,1
HA,304,1443,4
HA,322,1250,2
HA,327,1341,2
HA,330,1607,2
HA,334,1698,2
HA,340,1405,1
HA,340,1418,2
HA,344,1348,1
HA,355,1396,2
HA,365,1498,2
HA,367,1362,2
HA,367,423,1
HA,368,1274,1
HA,374,1384,1
HA,376,1046,2
HA,385,940,1
HA,396,1331,1
HA,399,1661,1
HA,403,1145,2
HA,416,1338,1
HA,430,1242,2
HA,430,1261,1
HA,434,1348,2
HA,437,1137,2
HA,451,1336,2
HA,461,1449,1
HA,466,1216,1
HA,467,1270,2
HA,474,960,1
HA,493,1026,1
HA,494,1585,1
HA,501,1410,1
HA,503,526,1
HA,524,1110,1
HA,530,970,2
HA,541,582,2
HA,541,588,1
HA,544,1038,3
HA,546,1022,1
HA,563,952,1
HA,574,1138,1
HA,577,616,1
HA,582,1133,1
HA,588,1007,2
HA,602,967,1
HA,607,1590,2
HA,609,1593,1
HA,612,754,1
HA,620,660,1
HA,630,1626,2
HA,631,1488,1
HA,636,1153,1
HA,636,1156,2
HA,636,1630,2
HA,650,1274,1
HA,654,1155,1
HA,656,1244,2
HA,659,829,2
HA,670,1083,1
HA,670,865,2
HA,670,914,2
HA,673,1093,2
HA,67,1514,2
HA,681,1026,1
HA,686,858,1
HA,688,979,1
HA,709,970,1
HA,710,970,2
HA,713,995,1
HA,717,974,4
HA,718,1167,2
HA,719,1046,18
HA,721,1437,1
HA,722,752,2
HA,727,847,4
HA,745,805,1
HA,750,970,1
HA,788,1124,1
HA,819,1030,1
HA,819,1106,1
HA,821,1086,4
HA,823,881,2
HA,824,1034,4
HA,836,955,2
HA,845,877,2
HA,865,1216,2
HA,890,995,1
HA,901,956,1
HA,936,970,1
HA,943,987,1
HA,945,1689,1
HA,948,1090,2
HA,967,1712,2
HA,970,1711,2
M,114,293,2
M,120,353,1
M,144,840,2
M,161,844,1
M,164,960,2
M,185,226,2
M,240,919,2
M,244,667,1
M,281,668,1
M,293,775,2
M,313,759,2
M,314,730,2
M,317,818,2
M,319,670,2
M,351,601,1
M,359,825,2
M,364,755,2
M,365,655,2
M,381,953,2
M,383,615,3
M,386,618,8
M,387,612,98
M,387,633,1
M,387,637,3
M,395,507,1
M,397,655,6
M,400,607,1
M,400,620,2
M,402,598,1
M,402,604,2
M,404,467,1
M,404,621,16
M,406,494,3
M,408,780,2
M,408,815,2
M,409,767,2
M,412,616,2
M,412,842,2
M,415,647,2
M,416,620,1
M,417,453,14
M,419,445,1
M,419,446,2
M,420,446,1
M,420,453,12
M,423,483,1
M,425,447,2
M,439,934,2
M,443,480,2
M,451,670,1
M,457,658,1
M,469,509,1
M,474,595,2
M,479,654,2
M,491,607,2
M,499,574,4
M,502,577,2
M,505,659,1
M,507,665,2
M,527,650,1
M,536,618,1
M,537,679,5
M,550,861,4
M,608,651,10
M,609,775,2
M,612,733,2
M,616,677,1
M,632,668,2
M,637,685,2
M,637,781,2
M,642,938,2
M,650,830,23
M,651,853,129
M,652,854,3
M,655,828,2
M,655,848,34
M,656,837,1
M,669,695,2
M,66,755,3
M,683,756,1
M,718,850,2
M,730,778,2
M,736,765,1
M,771,798,2
M,913,948,1
NA,100,1074,2
NA,1014,1310,1
NA,102,1040,3
NA,102,1276,1
NA,1036,1093,1
NA,103,131,1
NA,1063,1130,1
NA,106,1256,4
NA,108,1223,8
NA,1123,1299,2
NA,113,1251,10
NA,114,1204,2
NA,115,1252,3
NA,1190,1222,2
NA,1211,1340,2
NA,121,1260,1
NA,125,1324,1
NA,130,1213,1
NA,132,1047,2
NA,1336,1358,1
NA,135,1125,2
NA,138,1204,2
NA,151,1241,1
NA,152,1326,2
NA,153,1035,1
NA,158,1275,2
NA,165,1254,2
NA,166,1195,2
NA,166,1287,2
NA,166,216,2
NA,167,1048,1
NA,167,1091,2
NA,167,197,4
NA,169,1063,2
NA,169,1222,2
NA,169,634,2
NA,170,1214,9
NA,170,1259,2
NA,170,285,1
NA,172,1343,2
NA,177,1080,4
NA,177,1222,2
NA,182,530,1
NA,187,1105,1
NA,189,1205,2
NA,197,1058,1
NA,198,263,1
NA,199,1070,2
NA,199,1241,1
NA,200,1173,2
NA,200,1226,2
NA,201,1214,2
NA,201,1226,2
NA,201,254,44
NA,203,1088,2
NA,204,1116,2
NA,207,1177,2
NA,226,1166,2
NA,229,1190,2
NA,230,814,1
NA,232,1194,2
NA,233,1075,1
NA,236,821,1
NA,237,1075,1
NA,237,764,1
NA,240,1063,2
NA,241,1104,2
NA,244,1202,2
NA,249,1135,2
NA,250,1238,2
NA,252,1065,1
NA,252,283,1
NA,253,698,4
NA,257,1207,2
NA,257,1281,1
NA,261,1120,2
NA,263,1261,2
NA,264,1191,2
NA,265,1191,2
NA,266,1106,2
NA,266,956,2
NA,267,1134,2
NA,279,1279,2
NA,280,1222,2
NA,280,1231,2
NA,284,1082,3
NA,285,1134,1
NA,289,1151,2
NA,290,1223,5
NA,295,1334,2
NA,299,551,2
