Segment,Start,End,NGS_read_count
LC333182.1,1063,1153,1
LC333182.1,1066,1229,1
LC333182.1,1133,1157,1
LC333182.1,115,2126,1
LC333182.1,1353,1923,1
LC333182.1,1414,1960,1
LC333182.1,1494,2111,1
LC333182.1,1720,1742,1
LC333182.1,1786,1952,1
LC333182.1,1913,1951,1
LC333182.1,2044,2214,1
LC333182.1,2045,2082,1
LC333182.1,2062,2132,3
LC333182.1,608,1633,1
LC333182.1,666,1568,1
LC333182.1,788,1966,1
LC333182.1,842,878,1
LC333183.1,1069,1435,1
LC333183.1,1085,1399,5
LC333183.1,1151,1181,3
LC333183.1,1191,1364,2
LC333183.1,1193,1341,1
LC333183.1,1219,1877,1
LC333183.1,1271,1340,1
LC333183.1,136,1989,1
LC333183.1,1384,2204,2
LC333183.1,1483,2144,1
LC333183.1,1497,2116,1
LC333183.1,1505,1528,1
LC333183.1,1523,1788,3
LC333183.1,1532,2007,1
LC333183.1,1649,1980,1
LC333183.1,1775,1813,1
LC333183.1,1968,2132,2
LC333183.1,211,2090,1
LC333183.1,269,2105,1
LC333183.1,281,407,1
LC333183.1,301,539,5
LC333183.1,424,466,2
LC333183.1,510,2227,1
LC333183.1,524,1769,14
LC333183.1,54,98,1
LC333183.1,550,1679,1
LC333183.1,715,878,2
LC333183.1,718,868,1
LC333183.1,752,2107,2
LC333183.1,794,822,15
LC333183.1,893,1363,1
LC333183.1,895,1362,2
LC333184.1,1074,1144,1
LC333184.1,1089,1592,1
LC333184.1,1353,1489,1
LC333184.1,1638,2098,1
LC333184.1,164,2028,6
LC333184.1,1873,2080,1
LC333184.1,1882,2037,1
LC333184.1,1897,2119,1
LC333184.1,2024,2059,2
LC333184.1,2090,2129,2
LC333184.1,256,1876,7
LC333184.1,318,1844,1
LC333184.1,365,1832,6
LC333184.1,400,614,1
LC333184.1,442,787,1
LC333184.1,491,573,1
LC333184.1,493,1380,41
LC333184.1,518,1710,241
LC333184.1,522,781,1
LC333184.1,559,1542,110
LC333184.1,560,1544,1
LC333184.1,572,1149,2
LC333184.1,647,1760,116
LC333184.1,679,1537,1
LC333184.1,730,1293,1
LC333184.1,772,1578,424
LC333185.1,1019,1064,3
LC333185.1,1121,1587,1
LC333185.1,1326,1392,1
LC333185.1,1623,1689,1
LC333185.1,1650,1735,1
LC333185.1,296,1280,26
LC333185.1,352,1239,1
LC333185.1,457,994,1
LC333185.1,535,566,1
LC333185.1,620,896,1
LC333185.1,705,1032,2
LC333185.1,705,1204,2
LC333185.1,706,1007,1
LC333185.1,706,758,1
LC333185.1,736,1033,4
LC333186.1,1294,1355,1
LC333186.1,242,1329,2
LC333186.1,311,1135,1
LC333186.1,406,464,1
LC333186.1,473,948,1
LC333186.1,747,1057,1
LC333186.1,768,795,1
LC333187.1,1158,1217,1
LC333187.1,283,848,2
LC333187.1,305,960,1
LC333187.1,321,1069,1
LC333187.1,401,478,1
LC333187.1,582,745,4
LC333187.1,583,791,89
LC333187.1,687,817,1
LC333187.1,722,1241,1
LC333188.1,359,434,1
LC333188.1,43,95,1
LC333188.1,488,563,1
LC333188.1,637,818,1
LC333189.1,392,434,1
LC333189.1,423,446,13
LC333189.1,681,771,1
LC333189.1,730,837,1
