Segment,Start,End,NGS_read_count
LC333182.1,103,1809,1
LC333182.1,1077,1771,1
LC333182.1,1090,1710,2
LC333182.1,1104,1545,1
LC333182.1,115,2158,2
LC333182.1,1179,1741,1
LC333182.1,1188,2090,1
LC333182.1,1194,1643,1
LC333182.1,1293,1452,1
LC333182.1,130,1745,4
LC333182.1,139,1961,3
LC333182.1,148,2137,1
LC333182.1,1593,2078,1
LC333182.1,1594,1959,3
LC333182.1,1609,2102,1
LC333182.1,1666,1851,1
LC333182.1,178,2070,1
LC333182.1,1836,1946,1
LC333182.1,185,1961,65
LC333182.1,187,1634,1
LC333182.1,1999,2098,1
LC333182.1,201,2003,1
LC333182.1,2061,2131,1
LC333182.1,206,2096,4
LC333182.1,207,2097,3623
LC333182.1,208,2098,3
LC333182.1,209,1998,1
LC333182.1,215,2108,2
LC333182.1,223,2017,4
LC333182.1,238,1820,1
LC333182.1,244,1763,1
LC333182.1,245,2171,1
LC333182.1,249,2215,1
LC333182.1,258,1777,5
LC333182.1,261,1809,4
LC333182.1,286,1958,2
LC333182.1,295,1982,3
LC333182.1,300,2230,2
LC333182.1,310,2120,3
LC333182.1,327,1920,4
LC333182.1,333,1757,2
LC333182.1,340,2147,5
LC333182.1,343,1587,4
LC333182.1,361,1996,3
LC333182.1,396,2315,1
LC333182.1,399,2184,1
LC333182.1,412,523,1
LC333182.1,512,1791,3
LC333182.1,532,1495,1
LC333182.1,563,1773,10
LC333182.1,587,1736,3
LC333182.1,590,2009,3
LC333182.1,592,653,1
LC333182.1,602,1508,3
LC333182.1,602,2130,1
LC333182.1,626,1989,5
LC333182.1,628,1932,15
LC333182.1,651,2084,2
LC333182.1,653,1952,2
LC333182.1,654,2189,2
LC333182.1,655,2105,3
LC333182.1,660,2167,10
LC333182.1,661,1699,1
LC333182.1,661,2082,3
LC333182.1,664,1653,4
LC333182.1,667,2095,2
LC333182.1,677,1645,2
LC333182.1,681,1932,4
LC333182.1,681,2113,17
LC333182.1,686,1992,3
LC333182.1,723,1649,1
LC333182.1,730,1860,2
LC333182.1,747,2082,13
LC333182.1,749,1853,1
LC333182.1,750,1530,2
LC333182.1,757,1845,3
