Segment,Start,End,NGS_read_count
CY121680.1,103,1402,3
CY121680.1,103,1519,1
CY121680.1,103,1533,14
CY121680.1,104,1580,2
CY121680.1,105,1533,6
CY121680.1,105,1547,42
CY121680.1,105,1580,18
CY121680.1,106,1527,1
CY121680.1,1083,1644,2
CY121680.1,108,1449,3
CY121680.1,1091,1666,1
CY121680.1,110,1480,2
CY121680.1,112,1419,1
CY121680.1,113,1485,2
CY121680.1,114,1399,1
CY121680.1,119,1444,1
CY121680.1,123,1520,1
CY121680.1,126,1538,8
CY121680.1,128,1523,2
CY121680.1,129,1503,26
CY121680.1,129,1529,2
CY121680.1,131,1432,2
CY121680.1,134,1517,6
CY121680.1,136,1536,2
CY121680.1,138,1228,1
CY121680.1,138,1538,28
CY121680.1,138,1548,1
CY121680.1,139,1547,2
CY121680.1,141,1496,2
CY121680.1,142,1520,2
CY121680.1,144,1481,7
CY121680.1,144,1524,1
CY121680.1,145,1490,2
CY121680.1,145,1524,2
CY121680.1,146,1522,3
CY121680.1,148,1496,6
CY121680.1,151,1461,3
CY121680.1,151,1536,1
CY121680.1,152,1462,2
CY121680.1,152,1528,13
CY121680.1,152,1555,3
CY121680.1,153,1508,2
CY121680.1,153,1523,1
CY121680.1,154,1518,2
CY121680.1,155,1432,2
CY121680.1,157,1477,8
CY121680.1,1642,1726,1
CY121680.1,164,1408,3
CY121680.1,164,1520,84
CY121680.1,165,1524,5
CY121680.1,165,1531,1
CY121680.1,166,1537,3
CY121680.1,167,1556,2
CY121680.1,168,1403,5
CY121680.1,168,1518,4
CY121680.1,170,1491,2
CY121680.1,170,1538,5
CY121680.1,172,1521,2
CY121680.1,174,1424,1
CY121680.1,175,1568,3
CY121680.1,177,1470,1
CY121680.1,179,1598,2
CY121680.1,182,1471,1
CY121680.1,183,1521,3
CY121680.1,184,1482,2
CY121680.1,187,1460,2
CY121680.1,189,858,1
CY121680.1,192,1458,4
CY121680.1,192,1491,2
CY121680.1,193,1566,1
CY121680.1,195,1557,3
CY121680.1,195,530,2
CY121680.1,196,1296,2
CY121680.1,196,1573,2
CY121680.1,200,1462,8
CY121680.1,200,1482,2
CY121680.1,200,1553,1
CY121680.1,201,1560,3
CY121680.1,202,1462,1
CY121680.1,202,1536,2
CY121680.1,202,1647,1
CY121680.1,203,1499,3
CY121680.1,203,1529,1
CY121680.1,203,1639,4
CY121680.1,204,1461,1
CY121680.1,204,1511,4
CY121680.1,206,1466,2
CY121680.1,206,1510,4
CY121680.1,206,1559,2
CY121680.1,206,1579,1
CY121680.1,212,1581,1
CY121680.1,216,1464,1
CY121680.1,218,1448,5
CY121680.1,218,1462,1
CY121680.1,218,1519,2
CY121680.1,219,1440,10
CY121680.1,219,1562,2
CY121680.1,223,1286,2
CY121680.1,223,1504,3
CY121680.1,224,1595,1
CY121680.1,226,1357,1
CY121680.1,227,1494,7
CY121680.1,228,1329,2
CY121680.1,230,1240,1
CY121680.1,231,1221,10
CY121680.1,231,1523,3
CY121680.1,231,1529,1
CY121680.1,233,1535,1
CY121680.1,239,1373,2
CY121680.1,241,1444,2
CY121680.1,241,1524,4
CY121680.1,242,1608,2
CY121680.1,243,1518,1
CY121680.1,244,1432,6
CY121680.1,245,1405,2
CY121680.1,251,1429,1
CY121680.1,253,1682,6
CY121680.1,254,1343,2
CY121680.1,254,1348,1
CY121680.1,255,1476,2
CY121680.1,255,1491,3
CY121680.1,256,1465,1
CY121680.1,258,1472,1
CY121680.1,262,1362,11
CY121680.1,262,1432,4
CY121680.1,268,1372,1
CY121680.1,268,1432,1
