Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,collected_by,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,disease,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,isolate,isolation_source,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,specimen_id,SRA Study,lat_lon,system type,subtype,strain
SRR10013036,AMPLICON,302,491852300,PRJNA561158,SAMN12610121,Viral,186772754,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-03-31,public,"sra,run.zq","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751240,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50079,nasal/throat swab,HS1884_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:01:00Z,3,HS1884,HS1884,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013037,AMPLICON,302,129221270,PRJNA561158,SAMN12610123,Viral,46099961,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2015-04-06,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751239,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,50051,nasal/throat swab,HS1909_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:31:00Z,3,HS1909,HS1909,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013038,AMPLICON,302,260825924,PRJNA561158,SAMN12610146,Viral,74898863,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-16,public,"run.zq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",Influenza,SRX6751238,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300257,nasal/throat swab,M54058_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54058,M54058,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013039,AMPLICON,302,351684134,PRJNA561158,SAMN12610153,Viral,139218364,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-03-28,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751237,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300521,nasal/throat swab,M54878_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54878,M54878,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013040,AMPLICON,302,295031652,PRJNA561158,SAMN12610150,Viral,21480836,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-28,public,"run.zq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",Influenza,SRX6751236,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300550,nasal/throat swab,M54309_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,M54309,M54309,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013041,AMPLICON,302,344098498,PRJNA561158,SAMN12610144,Viral,117103988,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-14,public,"sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",Influenza,SRX6751235,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300927,nasal/throat swab,M53993_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M53993,M53993,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013042,AMPLICON,302,313797630,PRJNA561158,SAMN12610142,Viral,128856836,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-10,public,"run.zq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",Influenza,SRX6751234,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300971,nasal/throat swab,M53952_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:46:00Z,3,M53952,M53952,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013043,AMPLICON,302,369926142,PRJNA561158,SAMN12616738,Viral,149844502,UNIVERSITY OF MICHIGAN - LAURING LAB,not applicable,not applicable,public,"run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",not applicable,SRX6751233,uncalculated,uncalculated,not applicable,not applicable,NextSeq 500,not applicable,not applicable,VIC_plasmid_control1run2,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,VIC_plasmid_control1run2,VIC_plasmid_control1run2,SRP219100,,in vivo human,IBV,B/Victoria/504/2000
SRR10013044,AMPLICON,302,317050170,PRJNA561158,SAMN12610147,Viral,87921237,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-17,public,"sra,run.zq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",Influenza,SRX6751232,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,300972,nasal/throat swab,M54067_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54067,M54067,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
SRR10013045,AMPLICON,302,279831690,PRJNA561158,SAMN12610145,Viral,107360252,UNIVERSITY OF MICHIGAN - LAURING LAB,Monto Lab,2011-02-15,public,"sra,run.zq","ncbi,gs,s3","gs.US,ncbi.public,s3.us-east-1",Influenza,SRX6751231,USA,North America,USA: University of Michigan Hospital,Homo sapiens,NextSeq 500,301042,nasal/throat swab,M54041_B,PAIRED,RT-PCR,VIRAL RNA,unidentified influenza virus,ILLUMINA,2019-09-16T00:00:00Z,2019-08-26T13:32:00Z,3,M54041,M54041,SRP219100,42.284062 N 83.727127 W,in vivo human,IBV,B/Victoria/504/2000
