Segment,Start,End,NGS_read_count
KJ609203.1,100,2131,1
KJ609203.1,101,2111,1
KJ609203.1,102,1831,9
KJ609203.1,102,2172,28
KJ609203.1,103,2079,1
KJ609203.1,103,2094,1
KJ609203.1,103,2098,12
KJ609203.1,103,2127,226
KJ609203.1,103,265,2
KJ609203.1,104,2071,1
KJ609203.1,106,2024,3292
KJ609203.1,106,2025,3
KJ609203.1,106,2085,1
KJ609203.1,106,2095,20
KJ609203.1,107,2113,99
KJ609203.1,108,2026,6
KJ609203.1,108,295,1
KJ609203.1,109,1931,3
KJ609203.1,109,2054,24
KJ609203.1,109,2133,5
KJ609203.1,110,2135,2
KJ609203.1,111,208,3
KJ609203.1,111,2106,19
KJ609203.1,111,2117,3
KJ609203.1,112,1827,1
KJ609203.1,112,2057,3
KJ609203.1,112,2082,1
KJ609203.1,112,2184,10
KJ609203.1,113,1825,1
KJ609203.1,114,1929,16
KJ609203.1,114,2162,8
KJ609203.1,116,191,3
KJ609203.1,116,211,1
KJ609203.1,117,1818,1
KJ609203.1,117,2037,31
KJ609203.1,117,2193,10
KJ609203.1,118,2092,3
KJ609203.1,118,2156,6
KJ609203.1,119,2041,4
KJ609203.1,119,2092,2
KJ609203.1,119,2108,5
KJ609203.1,120,1818,5
KJ609203.1,120,1934,1
KJ609203.1,121,2094,514
KJ609203.1,122,2095,3
KJ609203.1,1235,1944,19
KJ609203.1,123,2047,1
KJ609203.1,123,2052,24
KJ609203.1,125,2065,1
KJ609203.1,125,2129,6
KJ609203.1,125,2158,1
KJ609203.1,126,2004,1
KJ609203.1,126,2015,7
KJ609203.1,126,2066,789
KJ609203.1,126,2105,1
KJ609203.1,127,1670,1
KJ609203.1,127,1932,1
KJ609203.1,127,2063,1
KJ609203.1,127,2067,14
KJ609203.1,128,1932,16
KJ609203.1,130,1843,2
KJ609203.1,130,232,2
KJ609203.1,132,2097,1320
KJ609203.1,132,2098,2
KJ609203.1,133,195,1
KJ609203.1,133,2055,2
KJ609203.1,133,2073,33
KJ609203.1,133,2086,1
KJ609203.1,133,2171,2
KJ609203.1,134,1844,12
KJ609203.1,134,2034,26
KJ609203.1,134,2040,11
KJ609203.1,134,2093,1
KJ609203.1,134,2094,58
KJ609203.1,134,2095,1
KJ609203.1,134,2099,2
KJ609203.1,134,2146,1
KJ609203.1,134,2172,14
KJ609203.1,135,2058,1
KJ609203.1,135,2079,61
KJ609203.1,137,1898,58
KJ609203.1,140,2096,1
KJ609203.1,141,1955,3
KJ609203.1,141,2102,16
KJ609203.1,142,1847,1
KJ609203.1,142,1956,2609
KJ609203.1,142,2090,6
KJ609203.1,142,259,4
KJ609203.1,143,2067,1
KJ609203.1,144,1958,3
KJ609203.1,145,2073,4
KJ609203.1,145,2094,5
KJ609203.1,1462,1939,2
KJ609203.1,146,2038,2
KJ609203.1,146,2047,8
KJ609203.1,148,2213,1
KJ609203.1,149,2056,29
KJ609203.1,150,2139,2
KJ609203.1,151,1847,5
KJ609203.1,151,1911,1
KJ609203.1,151,1943,42
KJ609203.1,151,2023,1
KJ609203.1,152,2065,1
KJ609203.1,152,253,2
KJ609203.1,153,2045,34
KJ609203.1,153,2094,15
KJ609203.1,156,274,2
KJ609203.1,157,2079,19
KJ609203.1,1588,1859,2
KJ609203.1,158,2023,2
KJ609203.1,158,2050,1
KJ609203.1,158,2201,8
KJ609203.1,159,2099,12
KJ609203.1,161,193,1
KJ609203.1,161,2055,909
KJ609203.1,161,2063,1
KJ609203.1,161,2066,8
KJ609203.1,162,2056,1
KJ609203.1,162,2092,1
KJ609203.1,162,2094,3
KJ609203.1,163,1979,1
KJ609203.1,163,2023,15
KJ609203.1,163,2055,25
KJ609203.1,163,2089,52
KJ609203.1,163,219,2
KJ609203.1,164,1991,1
KJ609203.1,164,2012,40
KJ609203.1,164,2013,2
KJ609203.1,165,1914,2
KJ609203.1,165,2065,22
KJ609203.1,166,1881,1
KJ609203.1,166,1919,41
KJ609203.1,166,2055,1
KJ609203.1,166,2092,1
KJ609203.1,166,2146,9
KJ609203.1,166,994,13
KJ609203.1,167,1945,6
KJ609203.1,167,2024,16
KJ609203.1,167,2141,1
KJ609203.1,168,1986,1
KJ609203.1,169,2149,2
KJ609203.1,175,1907,4
KJ609203.1,175,2133,124
KJ609203.1,176,277,1
KJ609203.1,177,1911,4
KJ609203.1,177,2137,8
KJ609203.1,178,1980,42
KJ609203.1,180,2055,2
KJ609203.1,180,2063,2
KJ609203.1,180,256,1
KJ609203.1,181,2138,1
KJ609203.1,182,1879,2
KJ609203.1,182,2034,1
KJ609203.1,183,1568,4
KJ609203.1,183,1993,76
KJ609203.1,183,2107,1
KJ609203.1,183,2134,473
KJ609203.1,183,2242,3
KJ609203.1,184,2060,2
KJ609203.1,184,2135,3
KJ609203.1,186,1981,2
KJ609203.1,186,595,2
KJ609203.1,187,1994,9
KJ609203.1,188,2159,3
KJ609203.1,189,1912,2
KJ609203.1,190,1802,6
KJ609203.1,190,2026,1
KJ609203.1,190,2030,77
KJ609203.1,190,2065,3
KJ609203.1,190,2132,1
