Segment,Start,End,NGS_read_count
LC333182.1,103,1720,1
LC333182.1,1168,2138,2
LC333182.1,1192,1954,7
LC333182.1,1465,1820,3
LC333182.1,1544,1641,2
LC333182.1,1555,1641,1
LC333182.1,1836,1946,2
LC333182.1,1847,2202,3
LC333182.1,202,1771,24
LC333182.1,203,1772,1
LC333182.1,286,1661,7
LC333182.1,310,2120,9
LC333182.1,336,1755,14
LC333182.1,336,2215,4
LC333182.1,347,2008,36
LC333182.1,587,1961,1
LC333182.1,626,1989,24
LC333182.1,628,1932,5
LC333182.1,676,2138,13
LC333182.1,681,2113,1
LC333182.1,68,1206,7
LC333182.1,747,2082,14
LC333182.1,838,1765,6
LC333182.1,85,1863,12
LC333182.1,93,1156,4
LC333182.1,975,1641,2
LC333183.1,1080,1574,1
LC333183.1,177,2144,25
LC333183.1,195,2014,2
LC333183.1,281,2143,1
LC333183.1,301,539,57
LC333183.1,304,458,6
LC333183.1,462,1942,1
LC333183.1,621,1874,57
LC333183.1,621,1875,2
LC333183.1,622,1876,1
LC333183.1,624,1878,2
LC333183.1,625,1878,25403
LC333183.1,625,1879,1
LC333183.1,626,1879,18
LC333183.1,630,1879,1
LC333183.1,632,1879,1
LC333183.1,638,1951,1
LC333183.1,71,2236,3
LC333183.1,809,1996,7
LC333183.1,88,2109,19
LC333183.1,893,1363,1
LC333184.1,201,1899,36
LC333184.1,309,1852,11
LC333184.1,349,375,1
LC333184.1,846,2066,1
LC333184.1,881,977,2
LC333184.1,905,1080,5
LC333184.1,905,2100,8
LC333184.1,911,1617,6
LC333185.1,1523,1594,1
LC333185.1,257,882,11
LC333185.1,400,1019,5
LC333185.1,447,1565,3
LC333185.1,739,761,1
LC333186.1,1024,1435,4
LC333186.1,1220,1409,3
LC333186.1,1299,1359,1
LC333186.1,1367,1491,2
LC333186.1,1370,1487,1
LC333186.1,292,1359,9
LC333186.1,296,531,2
LC333186.1,347,1200,37
LC333186.1,356,1397,14
LC333186.1,367,1356,7
LC333186.1,411,1261,12
LC333186.1,434,486,8
LC333186.1,437,1326,11
LC333186.1,439,1328,28
LC333186.1,440,1338,15
LC333186.1,475,845,8
LC333186.1,481,1390,7
LC333186.1,481,1412,4
LC333186.1,483,549,2
LC333186.1,483,592,8
LC333186.1,484,1400,2
LC333186.1,493,1407,19
LC333186.1,513,1009,10
LC333186.1,532,793,1
LC333186.1,538,589,2
LC333186.1,779,848,8
LC333186.1,831,1417,8
LC333186.1,86,151,2
LC333186.1,898,1055,3
LC333186.1,927,1064,1
LC333186.1,930,1094,4
LC333186.1,96,151,1
LC333187.1,1140,1228,3
LC333187.1,1158,1217,8
LC333187.1,1312,1338,4
LC333187.1,403,622,21
LC333187.1,427,1117,6
LC333187.1,542,724,1
LC333187.1,700,877,1
LC333187.1,705,997,7
LC333187.1,716,839,9
LC333187.1,740,1022,8
LC333187.1,882,1083,6
LC333187.1,918,1049,16
LC333188.1,122,933,2
LC333188.1,167,367,3
LC333188.1,279,319,13
LC333188.1,311,492,1
LC333188.1,359,761,16
LC333188.1,359,762,1
LC333188.1,367,467,1
LC333188.1,462,744,11
LC333188.1,485,560,15
LC333188.1,488,563,6
LC333188.1,512,560,17
LC333188.1,521,603,19
LC333188.1,523,665,1
LC333188.1,526,801,30
LC333188.1,556,679,1
LC333188.1,593,931,1
LC333188.1,623,740,7
LC333188.1,630,657,1
LC333188.1,641,814,1
LC333188.1,643,707,10
LC333188.1,739,802,12
LC333188.1,786,847,35
LC333188.1,899,934,9
LC333189.1,357,421,28
LC333189.1,359,433,4
LC333189.1,385,452,2
LC333189.1,417,539,8
