Segment,Start,End,NGS_read_count
LC333182.1,1011,2110,1
LC333182.1,1020,1977,1
LC333182.1,1025,1821,2
LC333182.1,1033,2108,1
LC333182.1,1046,1094,1
LC333182.1,1070,2124,1
LC333182.1,1094,2085,1
LC333182.1,115,1800,1
LC333182.1,1188,2090,1
LC333182.1,1194,1643,1
LC333182.1,1205,1773,1
LC333182.1,1247,2009,1
LC333182.1,139,1961,1
LC333182.1,1404,1456,1
LC333182.1,1407,1559,1
LC333182.1,1408,1964,1
LC333182.1,1489,2090,1
LC333182.1,148,2137,4
LC333182.1,1524,1938,1
LC333182.1,1607,1651,1
LC333182.1,1683,1809,1
LC333182.1,168,2068,1
LC333182.1,1708,1751,1
LC333182.1,1713,1747,1
LC333182.1,171,1976,1
LC333182.1,171,2057,1
LC333182.1,177,2045,3
LC333182.1,197,1802,1
LC333182.1,2026,2133,2
LC333182.1,2030,2100,1
LC333182.1,2039,2083,2
LC333182.1,2041,2069,1
LC333182.1,2045,2120,1
LC333182.1,2057,2168,1
LC333182.1,205,1808,1
LC333182.1,205,2081,1
LC333182.1,2061,2131,1
LC333182.1,213,1840,1
LC333182.1,216,259,1
LC333182.1,227,1635,2
LC333182.1,228,2057,4
LC333182.1,231,1732,1
LC333182.1,231,2112,1
LC333182.1,233,1656,1
LC333182.1,235,2022,1
LC333182.1,244,1763,1
LC333182.1,251,1855,3
LC333182.1,257,2068,2
LC333182.1,272,2128,1
LC333182.1,273,1953,5
LC333182.1,275,1964,1
LC333182.1,287,2088,1
LC333182.1,295,1817,1
LC333182.1,297,1636,2
LC333182.1,300,1975,1
LC333182.1,300,2230,3
LC333182.1,303,1691,1
LC333182.1,303,1957,1
LC333182.1,307,2113,1
LC333182.1,308,2031,1
LC333182.1,310,2082,1
LC333182.1,310,2120,1
LC333182.1,314,2000,1
LC333182.1,317,2031,1
LC333182.1,321,1979,1
LC333182.1,326,1887,2
LC333182.1,327,1920,6
LC333182.1,328,1921,1
LC333182.1,336,1755,1
LC333182.1,340,2147,1
LC333182.1,343,1587,3
LC333182.1,359,1873,1
LC333182.1,359,1887,1
LC333182.1,372,1890,1
LC333182.1,374,2004,1
LC333182.1,378,2059,1
LC333182.1,397,1766,9
LC333182.1,397,2152,1
LC333182.1,404,2160,1
LC333182.1,416,1827,4
LC333182.1,417,1802,2
LC333182.1,423,1780,1
LC333182.1,428,1830,78
LC333182.1,429,1827,1
LC333182.1,432,1860,1
LC333182.1,433,1709,1
LC333182.1,433,1743,3
LC333182.1,434,1780,9
LC333182.1,434,1827,1
LC333182.1,437,2111,1
LC333182.1,438,1675,1
LC333182.1,438,823,1
LC333182.1,453,1747,2
LC333182.1,454,1781,1
LC333182.1,464,2088,1
LC333182.1,467,1827,5
LC333182.1,470,1750,4
LC333182.1,471,1776,1
LC333182.1,474,1772,1
LC333182.1,478,1781,7
LC333182.1,479,2123,3
LC333182.1,481,1810,1
LC333182.1,489,1929,1
LC333182.1,489,2032,1
LC333182.1,493,1453,1
LC333182.1,493,1663,1
LC333182.1,497,1887,10
LC333182.1,498,1760,1
LC333182.1,509,1777,4
LC333182.1,510,1955,1
LC333182.1,510,555,2
LC333182.1,512,1637,1
LC333182.1,512,1780,1
LC333182.1,516,1730,1
LC333182.1,546,1556,1
LC333182.1,547,1642,2
LC333182.1,554,1780,1
LC333182.1,555,1709,3
LC333182.1,562,1692,1
LC333182.1,564,1627,16
LC333182.1,567,2036,1
LC333182.1,568,1920,1
LC333182.1,575,1627,3
LC333182.1,576,2001,4
LC333182.1,581,2110,7
LC333182.1,602,2130,2
LC333182.1,603,2128,1
LC333182.1,621,1665,1
LC333182.1,621,1887,1
LC333182.1,623,1629,1
LC333182.1,624,2118,1
LC333182.1,626,1886,1
LC333182.1,626,1989,9
LC333182.1,628,1626,1
LC333182.1,628,1932,26
LC333182.1,648,2087,1
LC333182.1,651,2084,1
LC333182.1,652,2137,1
LC333182.1,653,1501,1
LC333182.1,653,1950,1
LC333182.1,655,1952,1
LC333182.1,655,2105,1
LC333182.1,656,1937,1
LC333182.1,657,1605,1
LC333182.1,664,1653,2
LC333182.1,681,1932,9
LC333182.1,681,2113,44
LC333182.1,682,1930,1
LC333182.1,683,1888,1
LC333182.1,686,1992,1
LC333182.1,688,1684,1
LC333182.1,688,1809,2
LC333182.1,68,1206,1
LC333182.1,731,1614,3
LC333182.1,740,1607,1
LC333182.1,741,1600,2
LC333182.1,746,1741,2
LC333182.1,746,815,1
LC333182.1,747,2082,4
LC333182.1,748,2121,1
LC333182.1,749,1853,1
LC333182.1,754,1602,6
LC333182.1,760,1745,1
LC333182.1,766,1991,1
LC333182.1,769,2084,1
LC333182.1,769,2136,1
LC333182.1,794,2102,1
LC333182.1,811,1936,1
LC333182.1,824,1467,4
LC333182.1,838,1765,3
LC333182.1,84,1993,1
LC333182.1,877,1448,1
LC333182.1,879,1847,1
LC333182.1,87,1823,3
LC333182.1,90,2026,1
LC333182.1,928,2102,1
LC333182.1,928,2104,1
LC333182.1,930,1821,1
LC333182.1,93,2139,1
LC333182.1,941,2130,1
LC333182.1,959,2101,1
LC333182.1,982,1605,1
LC333182.1,989,1363,1
LC333182.1,990,1869,3
LC333182.1,999,1992,1
LC333183.1,1044,2002,1
LC333183.1,1061,1118,1
LC333183.1,1081,1867,1
LC333183.1,113,2030,1
LC333183.1,125,2126,1
LC333183.1,126,2110,1
LC333183.1,131,2139,1
LC333183.1,136,2121,2
LC333183.1,136,2166,33
LC333183.1,137,2165,93
LC333183.1,143,2128,5
LC333183.1,148,2110,44
LC333183.1,148,2158,6
LC333183.1,149,2140,1
LC333183.1,156,1924,1
LC333183.1,159,1693,1
LC333183.1,1614,1640,1
LC333183.1,162,2076,2
LC333183.1,164,2091,1
LC333183.1,165,2017,19
LC333183.1,166,2046,23
LC333183.1,167,2105,1
LC333183.1,169,2099,2
LC333183.1,171,2092,1
LC333183.1,174,2056,1
LC333183.1,178,1861,1
LC333183.1,182,1087,1
LC333183.1,1870,1902,49
LC333183.1,1871,1900,1
LC333183.1,187,1742,1
LC333183.1,187,2105,3
LC333183.1,188,2081,5
LC333183.1,190,1995,18
LC333183.1,190,224,1
LC333183.1,193,2086,1
LC333183.1,1947,2101,1
LC333183.1,194,2052,1
LC333183.1,195,2129,6
LC333183.1,1982,2025,28
LC333183.1,205,2117,3
LC333183.1,2069,2120,1
LC333183.1,2078,2106,1
LC333183.1,2084,2110,25
LC333183.1,2085,2111,1
LC333183.1,2098,2140,1
LC333183.1,210,2024,1
LC333183.1,211,1993,1
LC333183.1,212,1550,2
LC333183.1,213,1651,1
LC333183.1,213,2105,1
LC333183.1,2220,2245,1
LC333183.1,223,2110,5
LC333183.1,227,2046,1
LC333183.1,237,1525,1
LC333183.1,240,270,42
LC333183.1,241,2049,1
LC333183.1,243,2053,5
LC333183.1,253,1934,4
LC333183.1,256,1952,1
LC333183.1,257,2186,72
LC333183.1,258,1939,2
LC333183.1,258,2057,1
LC333183.1,261,2149,1
LC333183.1,266,2171,1
LC333183.1,268,1898,1
LC333183.1,271,2179,1
LC333183.1,277,1815,2
LC333183.1,279,1895,1
LC333183.1,284,1973,1
LC333183.1,289,1869,1
LC333183.1,290,1935,1
LC333183.1,292,1524,1
LC333183.1,293,1996,1
LC333183.1,298,2106,1
LC333183.1,299,1933,1
LC333183.1,300,1850,1
LC333183.1,301,1991,2
LC333183.1,305,1905,1
LC333183.1,305,1936,65
LC333183.1,305,1959,1
LC333183.1,306,1921,1
LC333183.1,307,1905,9
LC333183.1,311,2051,1
LC333183.1,314,1881,1
LC333183.1,316,1898,4
LC333183.1,316,2053,1
LC333183.1,316,2070,6
LC333183.1,317,2039,1
LC333183.1,318,1937,1
LC333183.1,318,2020,23
LC333183.1,318,2044,8
LC333183.1,318,2161,1
LC333183.1,320,2030,1
LC333183.1,320,2129,2
LC333183.1,321,1882,1
LC333183.1,321,1896,22
LC333183.1,321,1909,2
LC333183.1,321,1927,1
LC333183.1,321,1935,1
LC333183.1,322,1941,139
LC333183.1,323,2126,1
LC333183.1,324,1975,1
LC333183.1,324,1994,5
LC333183.1,329,1882,49
LC333183.1,330,1941,2
LC333183.1,334,2133,5
LC333183.1,335,2076,1
LC333183.1,338,1918,1
LC333183.1,338,2140,2
LC333183.1,345,1869,3
LC333183.1,345,1927,1
LC333183.1,345,2099,101
LC333183.1,346,1891,3
LC333183.1,346,1910,1
LC333183.1,346,2019,3
LC333183.1,347,1811,2
LC333183.1,347,1892,975
LC333183.1,348,1893,1
LC333183.1,348,1945,1
LC333183.1,351,2077,4
LC333183.1,352,1929,3
LC333183.1,356,1840,42
LC333183.1,359,1822,1
LC333183.1,360,1993,1
LC333183.1,363,1841,1
LC333183.1,363,1917,9
LC333183.1,367,1855,8
LC333183.1,368,1679,5
LC333183.1,368,2137,1
LC333183.1,383,1897,1
LC333183.1,383,1992,1
LC333183.1,386,1902,1
LC333183.1,386,1950,1
LC333183.1,390,2103,2
LC333183.1,400,1811,1
LC333183.1,403,1882,1
LC333183.1,404,1731,1
LC333183.1,406,2143,1
LC333183.1,409,1851,1
LC333183.1,418,1992,1
LC333183.1,423,1826,1
LC333183.1,425,1869,2
LC333183.1,426,1898,1
LC333183.1,426,2049,1
LC333183.1,428,2189,1
LC333183.1,430,1729,114
LC333183.1,431,2069,1
LC333183.1,434,1926,1
LC333183.1,435,2150,1
LC333183.1,437,1981,4
LC333183.1,438,1778,2
LC333183.1,438,1927,1
LC333183.1,439,2022,1
LC333183.1,446,2107,4
LC333183.1,451,1818,1
LC333183.1,451,1994,1
LC333183.1,452,2018,1
LC333183.1,461,1836,1
LC333183.1,485,1864,1
LC333183.1,505,1899,1
LC333183.1,510,2227,4
LC333183.1,516,1753,1
LC333183.1,529,1716,1
LC333183.1,531,1780,1
LC333183.1,535,1754,1
LC333183.1,541,1700,2
LC333183.1,551,1950,2
LC333183.1,552,2087,1
LC333183.1,557,1712,6
LC333183.1,557,2146,1
LC333183.1,55,80,5
LC333183.1,562,1864,13
LC333183.1,564,2173,1
LC333183.1,566,1818,3
LC333183.1,567,1640,1
LC333183.1,568,1679,1
LC333183.1,573,1728,1
LC333183.1,578,1747,2
LC333183.1,578,1918,1
LC333183.1,584,2168,1
LC333183.1,629,1723,1
LC333183.1,638,1951,1
LC333183.1,642,1614,1
LC333183.1,651,1850,1
LC333183.1,65,93,2
LC333183.1,662,1939,4
LC333183.1,666,2087,1
LC333183.1,68,1971,2
LC333183.1,68,2091,4
LC333183.1,690,1556,1
LC333183.1,701,1499,7
LC333183.1,719,1848,1
LC333183.1,728,1867,1
LC333183.1,740,1808,3
LC333183.1,76,2129,16
LC333183.1,781,1542,2
LC333183.1,893,1363,2
LC333183.1,90,2112,4
LC333183.1,99,2061,4
LC333184.1,102,2006,10
LC333184.1,1050,1647,1
LC333184.1,1078,1658,1
LC333184.1,1130,2081,1
LC333184.1,1169,2070,1
LC333184.1,1200,1488,1
LC333184.1,1205,1349,1
LC333184.1,120,1922,1
LC333184.1,121,2074,35
LC333184.1,1236,1279,1
LC333184.1,133,1874,1
LC333184.1,1386,1939,1
LC333184.1,138,1952,13
LC333184.1,139,1946,4
LC333184.1,1481,2049,1
LC333184.1,156,2006,1
LC333184.1,157,2026,26
LC333184.1,161,2001,8
LC333184.1,161,2022,1
LC333184.1,162,1980,1
LC333184.1,170,1960,1
LC333184.1,1726,2049,1
LC333184.1,177,1975,1
LC333184.1,178,1919,2
LC333184.1,179,1794,1
LC333184.1,179,1893,6
LC333184.1,180,2026,2
LC333184.1,183,1915,3
LC333184.1,183,1980,5
LC333184.1,1868,1965,1
LC333184.1,1908,2103,1
LC333184.1,192,1837,1
LC333184.1,194,1860,1
LC333184.1,194,2027,2
LC333184.1,2009,2151,1
LC333184.1,2025,2141,1
LC333184.1,203,1933,6
LC333184.1,204,1908,1
LC333184.1,204,1960,1
LC333184.1,205,2063,1
LC333184.1,207,1945,22
LC333184.1,207,1951,2
LC333184.1,207,1960,2
LC333184.1,210,1980,10
LC333184.1,211,263,1
LC333184.1,212,1926,1
LC333184.1,215,1942,1
LC333184.1,228,1922,13
LC333184.1,233,1957,1
LC333184.1,234,1937,8
LC333184.1,234,1974,1
LC333184.1,242,1624,1
LC333184.1,243,1938,1
LC333184.1,245,1913,2
LC333184.1,245,1945,395
LC333184.1,245,2011,9
LC333184.1,246,1780,1
LC333184.1,248,1967,2
LC333184.1,249,1865,1
LC333184.1,251,1944,2
LC333184.1,258,1893,2
LC333184.1,258,1903,89
LC333184.1,260,1452,1
LC333184.1,260,1917,2
LC333184.1,264,1804,2
LC333184.1,272,1836,12
LC333184.1,274,1827,1
LC333184.1,276,1882,165
LC333184.1,278,1884,1
LC333184.1,27,1750,1
LC333184.1,285,1884,1
LC333184.1,285,1885,1
LC333184.1,285,1920,316
LC333184.1,287,1901,1
LC333184.1,290,1813,1
LC333184.1,291,1712,1
LC333184.1,295,1850,1
LC333184.1,296,1809,1
LC333184.1,301,1842,254
LC333184.1,303,1754,1
LC333184.1,304,1794,2
LC333184.1,306,1830,1
LC333184.1,309,1668,1
LC333184.1,313,1726,1
LC333184.1,313,1844,2
LC333184.1,330,1840,1
LC333184.1,348,1741,1
LC333184.1,351,1762,1
LC333184.1,354,1867,1
LC333184.1,354,376,1
LC333184.1,355,1976,2
LC333184.1,357,1792,2
LC333184.1,358,1813,2
LC333184.1,364,1605,1
LC333184.1,366,1761,1
LC333184.1,368,1700,94
LC333184.1,368,1751,1
LC333184.1,378,1698,1
LC333184.1,389,1712,1
LC333184.1,389,1774,1
LC333184.1,389,1823,1
LC333184.1,390,1716,1
LC333184.1,390,1808,1
LC333184.1,390,1893,1
LC333184.1,391,1753,14
LC333184.1,393,1761,1
LC333184.1,398,1697,16
LC333184.1,401,1840,1
LC333184.1,404,1807,1
LC333184.1,410,1754,1
LC333184.1,412,1648,1
LC333184.1,412,1717,13
LC333184.1,413,1815,3
LC333184.1,423,2056,1
LC333184.1,430,1527,1
LC333184.1,433,1733,1
LC333184.1,449,1839,1
LC333184.1,451,1732,18
LC333184.1,457,1631,1
LC333184.1,472,2028,1
LC333184.1,488,551,1
LC333184.1,491,573,1
LC333184.1,516,1600,1
LC333184.1,518,1821,1
LC333184.1,520,2090,1
LC333184.1,525,1459,1
LC333184.1,526,2092,2
LC333184.1,528,2036,1
LC333184.1,532,2083,5
LC333184.1,536,1617,1
LC333184.1,536,1731,1
LC333184.1,571,1756,1
LC333184.1,574,2083,1
LC333184.1,581,1373,1
LC333184.1,583,1884,1
LC333184.1,586,1637,1
LC333184.1,590,2063,2
LC333184.1,600,1744,5
LC333184.1,625,2049,1
LC333184.1,628,1594,1
LC333184.1,636,1423,2
LC333184.1,648,1579,1
LC333184.1,64,1814,1
LC333184.1,663,1092,1
LC333184.1,667,1972,1
LC333184.1,753,1072,1
LC333184.1,82,2075,1
LC333184.1,855,1653,1
LC333184.1,858,2035,1
LC333184.1,903,2172,1
LC333184.1,905,1080,1
LC333184.1,905,2100,3
LC333184.1,906,1725,1
LC333184.1,910,987,1
LC333184.1,921,1507,1
LC333184.1,941,2088,1
LC333184.1,97,1810,1
LC333184.1,986,1616,1
LC333185.1,1005,1105,2
LC333185.1,128,1534,1
LC333185.1,162,304,1
LC333185.1,190,704,2
LC333185.1,211,1448,16
LC333185.1,233,1447,14
LC333185.1,277,1348,1
LC333185.1,345,1405,1
LC333185.1,348,707,1
LC333185.1,350,599,1
LC333185.1,436,1393,1
LC333185.1,480,704,1
LC333185.1,524,1072,1
LC333185.1,535,566,1
LC333185.1,541,1412,1
LC333185.1,545,811,1
LC333185.1,547,794,1
LC333185.1,548,1102,1
LC333185.1,593,1576,1
LC333185.1,690,728,1
LC333185.1,722,786,1
LC333185.1,723,982,1
LC333185.1,800,856,1
LC333185.1,835,901,1
LC333185.1,864,1072,1
LC333185.1,907,1519,1
LC333185.1,917,1494,1
LC333185.1,93,142,1
LC333185.1,943,1202,1
LC333186.1,1081,1443,1
LC333186.1,1098,1454,1
LC333186.1,1115,1341,1
LC333186.1,1133,1532,1
LC333186.1,1167,1189,1
LC333186.1,1169,1225,1
LC333186.1,1204,1339,1
LC333186.1,127,1331,1
LC333186.1,1283,1323,1
LC333186.1,1367,1491,1
LC333186.1,153,1353,2
LC333186.1,251,1446,1
LC333186.1,261,1309,1
LC333186.1,296,531,4
LC333186.1,326,670,1
LC333186.1,356,1397,1
LC333186.1,360,1227,1
LC333186.1,404,1052,1
LC333186.1,425,617,1
LC333186.1,430,1168,1
LC333186.1,432,549,1
LC333186.1,434,486,1
LC333186.1,437,1326,3
LC333186.1,439,1328,14
LC333186.1,439,1387,1
LC333186.1,440,1338,8
LC333186.1,446,1363,1
LC333186.1,449,1285,1
LC333186.1,456,1390,1
LC333186.1,456,482,1
LC333186.1,456,547,1
LC333186.1,461,833,1
LC333186.1,461,874,2
LC333186.1,462,1338,1
LC333186.1,462,1424,1
LC333186.1,464,1327,1
LC333186.1,475,845,1
LC333186.1,478,1039,1
LC333186.1,481,1390,15
LC333186.1,481,1412,3
LC333186.1,481,619,1
LC333186.1,484,1400,12
LC333186.1,491,1260,1
LC333186.1,493,1407,2
LC333186.1,495,1246,2
LC333186.1,496,1410,1
LC333186.1,506,1445,3
LC333186.1,512,1451,1
LC333186.1,512,806,1
LC333186.1,526,894,1
LC333186.1,538,1054,2
LC333186.1,541,862,1
LC333186.1,546,1390,1
LC333186.1,549,1328,2
LC333186.1,552,830,1
LC333186.1,574,833,1
LC333186.1,592,1328,2
LC333186.1,607,845,1
LC333186.1,622,1172,1
LC333186.1,669,1163,1
LC333186.1,680,1325,1
LC333186.1,685,709,1
LC333186.1,695,766,1
LC333186.1,760,1325,1
LC333186.1,765,911,1
LC333186.1,775,848,2
LC333186.1,779,1226,1
LC333186.1,779,848,3
LC333186.1,791,1424,1
LC333186.1,799,1055,1
LC333186.1,812,1068,1
LC333186.1,825,1330,1
LC333186.1,831,1417,4
LC333186.1,834,1057,1
LC333186.1,849,1228,1
LC333186.1,86,151,1
LC333186.1,930,1115,1
LC333186.1,967,1146,2
LC333186.1,96,151,2
LC333187.1,1123,1166,4
LC333187.1,1140,1228,3
LC333187.1,1228,1269,1
LC333187.1,197,1086,3
LC333187.1,200,993,1
LC333187.1,201,542,1
LC333187.1,214,240,1
LC333187.1,230,874,1
LC333187.1,232,876,2
LC333187.1,248,320,1
LC333187.1,251,983,2
LC333187.1,265,540,1
LC333187.1,277,1003,14
LC333187.1,300,1133,1
LC333187.1,302,1074,1
LC333187.1,309,1104,1
LC333187.1,317,1045,1
LC333187.1,345,1072,1
LC333187.1,355,966,1
LC333187.1,398,1068,1
LC333187.1,423,998,1
LC333187.1,427,1117,3
LC333187.1,475,812,1
LC333187.1,495,1087,1
LC333187.1,503,1245,1
LC333187.1,531,1097,1
LC333187.1,542,724,1
LC333187.1,566,984,1
LC333187.1,571,1093,2
LC333187.1,646,1089,1
LC333187.1,709,983,2
LC333187.1,716,839,3
LC333187.1,722,1241,2
LC333187.1,811,1073,2
LC333187.1,835,930,1
LC333187.1,852,1089,1
LC333187.1,853,1120,1
LC333187.1,859,1006,1
LC333187.1,861,972,3
LC333187.1,882,934,1
LC333187.1,886,955,1
LC333187.1,931,1292,1
LC333187.1,963,1081,1
LC333187.1,964,998,1
LC333188.1,125,802,1
LC333188.1,153,692,1
LC333188.1,163,591,1
LC333188.1,164,586,1
LC333188.1,170,310,1
LC333188.1,179,538,3
LC333188.1,184,649,1
LC333188.1,235,316,1
LC333188.1,245,287,1
LC333188.1,250,767,1
LC333188.1,262,879,1
LC333188.1,274,644,1
LC333188.1,295,756,1
LC333188.1,342,935,1
LC333188.1,359,434,14
LC333188.1,359,761,1
LC333188.1,360,436,1
LC333188.1,361,743,1
LC333188.1,362,633,3
LC333188.1,370,745,1
LC333188.1,370,884,1
LC333188.1,371,514,1
LC333188.1,389,492,1
LC333188.1,394,667,1
LC333188.1,398,828,1
LC333188.1,402,500,1
LC333188.1,408,456,1
LC333188.1,411,433,1
LC333188.1,411,686,1
LC333188.1,411,760,2
LC333188.1,414,744,1
LC333188.1,414,903,1
LC333188.1,417,692,1
LC333188.1,426,559,2
LC333188.1,427,656,1
LC333188.1,431,564,3
LC333188.1,434,762,7
LC333188.1,434,934,1
LC333188.1,435,901,1
LC333188.1,446,491,1
LC333188.1,480,553,4
LC333188.1,480,616,4
LC333188.1,481,598,1
LC333188.1,485,548,1
LC333188.1,485,560,44
LC333188.1,488,563,9
LC333188.1,490,644,2
LC333188.1,491,802,1
LC333188.1,501,626,1
LC333188.1,513,547,5
LC333188.1,521,603,2
LC333188.1,523,665,10
LC333188.1,547,628,1
LC333188.1,564,710,1
LC333188.1,573,922,2
LC333188.1,594,637,1
LC333188.1,596,753,1
LC333188.1,597,667,1
LC333188.1,600,807,1
LC333188.1,602,663,2
LC333188.1,606,709,6
LC333188.1,614,836,1
LC333188.1,622,804,1
LC333188.1,623,668,4
LC333188.1,623,767,1
LC333188.1,625,804,1
LC333188.1,627,768,6
LC333188.1,633,682,1
LC333188.1,642,823,1
LC333188.1,643,707,3
LC333188.1,646,704,2
LC333188.1,647,711,5
LC333188.1,649,749,1
LC333188.1,652,743,2
LC333188.1,661,734,1
LC333188.1,665,706,1
LC333188.1,667,767,3
LC333188.1,669,742,1
LC333188.1,761,934,2
LC333188.1,766,802,1
LC333188.1,899,934,10
LC333189.1,105,408,1
LC333189.1,175,458,1
LC333189.1,191,425,1
LC333189.1,214,353,1
LC333189.1,242,407,1
LC333189.1,252,544,4
LC333189.1,269,345,2
LC333189.1,270,400,1
LC333189.1,337,410,1
LC333189.1,337,413,2
LC333189.1,343,572,1
LC333189.1,344,399,1
LC333189.1,355,407,1
LC333189.1,357,421,2
LC333189.1,359,433,6
LC333189.1,359,477,1
LC333189.1,389,431,1
LC333189.1,400,452,1
LC333189.1,417,539,7
LC333189.1,421,557,1
LC333189.1,427,582,1
LC333189.1,429,510,1
LC333189.1,453,639,2
LC333189.1,481,542,1
LC333189.1,52,428,2
LC333189.1,55,592,1
LC333189.1,56,431,6
LC333189.1,87,554,1
