Segment,Start,End,NGS_read_count
OQ034429.1,276,2120,25
OQ034429.1,277,2157,12
OQ034429.1,287,1927,26
OQ034429.1,295,1903,1
OQ034429.1,296,1903,153
OQ034429.1,303,2104,69
OQ034429.1,304,1945,46
OQ034429.1,311,2002,1
OQ034429.1,311,2003,1
OQ034429.1,338,2014,1
OQ034429.1,342,1940,81
OQ034429.1,357,1834,38
OQ034429.1,363,1950,1
OQ034429.1,366,1994,31
OQ034429.1,374,1900,1
OQ034429.1,375,1901,84
OQ034429.1,375,1943,67
OQ034429.1,376,1935,89
OQ034429.1,377,1932,1
OQ034429.1,379,1934,46
OQ034429.1,379,1946,56
OQ034429.1,382,2123,41
OQ034429.1,386,1934,32
OQ034429.1,403,1846,47
OQ034429.1,404,1870,16
OQ034429.1,407,1925,22
OQ034429.1,421,1863,160
OQ034429.1,439,1833,1
OQ034429.1,441,1835,48
OQ034429.1,449,1785,37
OQ034429.1,461,1757,26
OQ034429.1,462,1779,42
OQ034429.1,462,1846,29
OQ034429.1,462,2066,50
OQ034429.1,495,1904,1
OQ034429.1,500,1905,15
OQ034429.1,521,1782,20
OQ034429.1,529,1708,5
OQ034429.1,531,1837,19
OQ034429.1,590,1733,33
OQ034429.1,594,1799,11
OQ034429.1,624,1745,35
OQ034429.1,625,1629,7
OQ034429.1,626,1751,34
OQ034429.1,627,1772,7
OQ034429.1,632,1750,97
OQ034429.1,633,1735,30
OQ034429.1,642,1741,41
OQ034429.1,686,1694,15
OQ034429.1,693,1675,22
OQ034429.1,712,1574,38
OQ034429.1,712,1674,25
OQ034429.1,717,2006,30
OQ034429.1,719,1566,31
OQ034429.1,725,1564,38
OQ034429.1,729,1920,41
OQ034429.1,737,1594,35
OQ034429.1,753,1624,25
OQ034429.1,758,1516,28
OQ034429.1,771,1535,13
OQ034429.1,799,1576,233
OQ034429.1,85,1593,32
OQ034429.1,872,1610,7
OQ034429.1,873,1608,4
OQ034429.1,894,1561,22
OQ034429.1,895,1496,20
OQ034429.1,895,1509,25
OQ034430.1,150,612,1
OQ034430.1,155,1469,16
OQ034430.1,164,2211,28
OQ034430.1,230,2153,10
OQ034430.1,244,1951,19
OQ034430.1,244,2032,76
OQ034430.1,244,2197,16
OQ034430.1,244,2238,16
OQ034430.1,250,1386,66
OQ034430.1,252,1388,2
OQ034430.1,254,2144,29
OQ034430.1,273,2050,24
OQ034430.1,333,2002,11
OQ034430.1,341,1764,54
OQ034430.1,397,2054,8
OQ034430.1,417,1908,26
OQ034430.1,417,2033,48
OQ034430.1,423,1785,23
OQ034430.1,425,1787,2
OQ034430.1,426,1957,1
OQ034430.1,428,1959,30
OQ034430.1,429,1981,23
OQ034430.1,455,1998,16
OQ034430.1,491,1854,2
OQ034430.1,499,1776,15
OQ034430.1,500,1930,32
OQ034430.1,501,2036,15
OQ034430.1,512,1775,1
OQ034430.1,517,1888,86
OQ034430.1,588,1609,36
OQ034430.1,591,1758,21
OQ034430.1,595,1957,115
OQ034430.1,603,1764,55
OQ034430.1,612,1838,30
OQ034430.1,618,1736,31
OQ034430.1,620,1682,1
OQ034430.1,622,1688,20
OQ034430.1,624,1691,16
OQ034430.1,634,1717,21
OQ034430.1,640,1575,33
OQ034430.1,642,1790,40
OQ034430.1,642,1877,31
OQ034430.1,716,1855,5
OQ034430.1,725,1828,35
OQ034430.1,767,1679,22
OQ034430.1,791,1656,7
OQ034430.1,791,1752,98
OQ034430.1,841,1478,26
OQ034430.1,850,1752,16
OQ034430.1,851,1752,34
OQ034430.1,924,1573,30
OQ034430.1,995,2301,1
OQ034431.1,1893,1934,5
OQ034431.1,199,2078,164
OQ034431.1,2092,2125,1
OQ034431.1,2095,2128,77
OQ034431.1,269,1950,17
OQ034431.1,295,1922,21
OQ034431.1,308,2034,121
OQ034431.1,314,2034,20
OQ034431.1,315,1909,23
OQ034431.1,330,1885,48
OQ034431.1,364,1870,2
OQ034431.1,367,1534,8
OQ034431.1,399,1906,5
OQ034431.1,41,1780,3
OQ034431.1,42,107,14
OQ034431.1,42,83,2
OQ034431.1,434,1742,35
OQ034431.1,451,1861,31
OQ034431.1,459,1747,21
OQ034431.1,463,1811,5
OQ034431.1,486,1431,16
OQ034431.1,487,1858,9
OQ034431.1,488,1851,6
OQ034431.1,49,1963,51
OQ034431.1,512,1796,2
OQ034431.1,514,1811,49
OQ034431.1,530,1720,23
OQ034431.1,583,1720,6
OQ034431.1,583,1745,14
OQ034431.1,651,1702,1
OQ034431.1,653,1704,50
OQ034431.1,653,2010,19
OQ034431.1,654,2011,1
OQ034431.1,715,1679,30
OQ034431.1,75,1691,50
OQ034431.1,85,2043,8
OQ034435.1,109,991,7
OQ034435.1,83,696,1
