Segment,Start,End,NGS_read_count
LC333182.1,1023,2104,1
LC333182.1,1025,1821,1
LC333182.1,1032,1503,1
LC333182.1,1057,1951,1
LC333182.1,1062,1849,1
LC333182.1,106,2067,1
LC333182.1,1074,2176,1
LC333182.1,1076,2114,1
LC333182.1,1084,1937,1
LC333182.1,1105,1843,1
LC333182.1,1116,1828,2
LC333182.1,112,1809,1
LC333182.1,115,1800,1
LC333182.1,115,2126,3
LC333182.1,1189,1462,1
LC333182.1,1194,1643,1
LC333182.1,1463,1950,1
LC333182.1,1469,1958,1
LC333182.1,1480,1640,1
LC333182.1,1493,1996,1
LC333182.1,150,719,1
LC333182.1,153,2069,1
LC333182.1,1566,1655,1
LC333182.1,1631,1942,2
LC333182.1,166,2035,1
LC333182.1,1717,1742,1
LC333182.1,1717,1772,1
LC333182.1,1720,1747,1
LC333182.1,177,1844,1
LC333182.1,1840,1952,1
LC333182.1,190,1613,1
LC333182.1,2027,2118,1
LC333182.1,202,1771,1
LC333182.1,2041,2117,1
LC333182.1,2045,2082,1
LC333182.1,214,2015,1
LC333182.1,226,2163,1
LC333182.1,229,1175,1
LC333182.1,243,1839,2
LC333182.1,245,1520,2
LC333182.1,245,1862,10
LC333182.1,265,1957,1
LC333182.1,265,2001,1
LC333182.1,285,1995,1
LC333182.1,293,2090,1
LC333182.1,299,2223,1
LC333182.1,307,1932,2
LC333182.1,314,1981,2
LC333182.1,319,1889,1
LC333182.1,327,1920,3
LC333182.1,327,1962,1
LC333182.1,328,1921,1
LC333182.1,329,1924,1
LC333182.1,334,1921,2
LC333182.1,340,2039,1
LC333182.1,359,2001,3
LC333182.1,374,2004,2
LC333182.1,403,2196,1
LC333182.1,407,2015,16
LC333182.1,412,1756,1
LC333182.1,420,1837,1
LC333182.1,421,1856,1
LC333182.1,426,1996,12
LC333182.1,429,1858,8
LC333182.1,436,1874,6
LC333182.1,453,1747,1
LC333182.1,465,1938,1
LC333182.1,489,1929,1
LC333182.1,498,1966,2
LC333182.1,510,555,1
LC333182.1,532,2111,1
LC333182.1,547,1642,2
LC333182.1,550,1765,1
LC333182.1,583,2007,1
LC333182.1,602,2130,3
LC333182.1,606,1823,1
LC333182.1,608,1633,1
LC333182.1,624,2118,1
LC333182.1,626,1989,6
LC333182.1,628,1932,22
LC333182.1,638,2047,1
LC333182.1,651,2084,1
LC333182.1,660,2167,4
LC333182.1,661,2120,1
LC333182.1,667,2095,1
LC333182.1,675,2009,1
LC333182.1,676,2138,4
LC333182.1,677,1645,1
LC333182.1,681,1932,4
LC333182.1,681,2113,22
LC333182.1,688,1809,1
LC333182.1,741,1600,1
LC333182.1,746,1741,3
LC333182.1,747,2082,20
LC333182.1,749,1842,2
LC333182.1,752,1548,1
LC333182.1,754,1602,4
LC333182.1,775,2106,1
LC333182.1,838,1765,10
LC333182.1,847,1958,1
LC333182.1,85,1863,1
LC333182.1,879,1847,2
LC333182.1,87,1823,2
LC333182.1,896,1851,1
LC333182.1,928,2125,1
LC333182.1,940,2072,1
LC333182.1,941,2130,1
LC333182.1,956,2140,1
LC333182.1,990,1869,1
LC333183.1,103,2173,1
LC333183.1,1069,1435,1
LC333183.1,136,1989,62
LC333183.1,1518,1597,1
LC333183.1,158,2098,1
LC333183.1,162,2158,1
LC333183.1,165,2017,11
LC333183.1,170,2165,1
LC333183.1,1775,1813,1
LC333183.1,184,1867,1
LC333183.1,186,2146,1
LC333183.1,1912,1971,1
LC333183.1,193,2057,1
LC333183.1,193,2086,2
LC333183.1,210,1934,1
LC333183.1,227,2076,1
LC333183.1,252,2147,1
LC333183.1,258,1939,1
LC333183.1,261,2149,1
LC333183.1,264,1971,1
LC333183.1,265,1957,1
LC333183.1,269,2105,15
LC333183.1,301,539,1
LC333183.1,311,2051,1
LC333183.1,320,1691,4
LC333183.1,320,1906,1
LC333183.1,325,1297,1
LC333183.1,351,2077,4
LC333183.1,352,1861,1
LC333183.1,360,1549,1
LC333183.1,376,1621,1
LC333183.1,383,2172,1
LC333183.1,388,2059,1
LC333183.1,389,1895,1
LC333183.1,390,2103,2
LC333183.1,395,1723,1
LC333183.1,435,1943,1
LC333183.1,435,2150,2
LC333183.1,437,1981,3
LC333183.1,446,2107,4
LC333183.1,451,1545,1
LC333183.1,478,1781,1
LC333183.1,510,2227,4
LC333183.1,518,1683,1
LC333183.1,523,1768,1
LC333183.1,524,1769,163
LC333183.1,526,1729,1
LC333183.1,549,1895,1
LC333183.1,54,98,1
LC333183.1,562,1864,13
LC333183.1,56,2087,2
LC333183.1,574,1640,1
LC333183.1,618,1613,1
LC333183.1,629,1723,1
LC333183.1,662,1939,5
LC333183.1,715,2050,1
LC333183.1,718,2103,2
LC333183.1,722,2147,1
LC333183.1,731,1545,1
LC333183.1,740,1808,1
LC333183.1,794,822,21
LC333183.1,893,1363,1
LC333183.1,915,1849,1
LC333183.1,961,1044,1
LC333184.1,102,1894,1
LC333184.1,110,150,1
LC333184.1,1315,1353,1
LC333184.1,137,1455,1
LC333184.1,139,169,2
LC333184.1,1507,1549,1
LC333184.1,1597,2102,1
LC333184.1,1614,1685,1
LC333184.1,164,2028,71
LC333184.1,1654,1714,1
LC333184.1,1723,1836,2
LC333184.1,1732,1816,1
LC333184.1,177,2074,1
LC333184.1,1811,1888,1
LC333184.1,1843,1868,1
LC333184.1,189,1482,1
LC333184.1,1978,2168,3
LC333184.1,2005,2075,6
LC333184.1,2025,2068,1
LC333184.1,2053,2122,6
LC333184.1,228,302,2
LC333184.1,233,2074,6
LC333184.1,253,1873,1
LC333184.1,256,1865,1
LC333184.1,256,1876,129
LC333184.1,261,1766,7
LC333184.1,270,1868,1
LC333184.1,281,1767,8
LC333184.1,283,2043,1
LC333184.1,289,2055,1
LC333184.1,301,1797,2
LC333184.1,337,1955,1
LC333184.1,343,1707,1
LC333184.1,363,1701,2
LC333184.1,365,1820,1
LC333184.1,365,1832,166
LC333184.1,376,414,1
LC333184.1,386,1949,1
LC333184.1,390,414,1
LC333184.1,391,1840,1
LC333184.1,399,1665,1
LC333184.1,399,1838,1
LC333184.1,413,1745,6
LC333184.1,423,1993,1
LC333184.1,434,1616,17
LC333184.1,439,464,1
LC333184.1,441,1747,1
LC333184.1,447,1822,1
LC333184.1,457,1631,2
LC333184.1,459,1698,7
LC333184.1,463,1751,1
LC333184.1,476,1365,2
LC333184.1,477,1673,1
LC333184.1,479,1311,1
LC333184.1,490,1756,1
LC333184.1,493,1380,238
LC333184.1,512,1731,1
LC333184.1,516,1705,2
LC333184.1,517,1708,1
LC333184.1,517,1709,1
LC333184.1,518,1710,3805
LC333184.1,519,1711,1
LC333184.1,520,2090,1
LC333184.1,525,1712,1
LC333184.1,526,2092,1
LC333184.1,528,2036,1
LC333184.1,532,2083,2
LC333184.1,549,575,1
LC333184.1,553,1535,1
LC333184.1,555,1582,1
LC333184.1,557,2095,1
LC333184.1,559,1541,3
LC333184.1,559,1542,942
LC333184.1,560,1543,5
LC333184.1,560,1544,2
LC333184.1,563,1633,15
LC333184.1,570,1750,1
LC333184.1,571,1756,1
LC333184.1,571,729,1
LC333184.1,572,1690,1
LC333184.1,574,2083,1
LC333184.1,576,1566,1
LC333184.1,579,1549,2
LC333184.1,581,1373,1
LC333184.1,581,1714,1
LC333184.1,587,1829,6
LC333184.1,595,2120,1
LC333184.1,598,1671,2
LC333184.1,618,1514,3
LC333184.1,625,1500,2
LC333184.1,636,1644,2
LC333184.1,637,1707,1
LC333184.1,642,1624,1
LC333184.1,643,1147,1
LC333184.1,646,1757,1
LC333184.1,647,1760,1144
LC333184.1,652,1765,2
LC333184.1,667,1972,1
LC333184.1,677,1904,1
LC333184.1,679,1537,1
LC333184.1,679,1956,1
LC333184.1,701,2106,1
LC333184.1,745,1532,1
LC333184.1,755,2122,1
LC333184.1,772,1578,2279
LC333184.1,772,1579,2
LC333184.1,779,1854,1
LC333184.1,800,1626,6
LC333184.1,801,2052,1
LC333184.1,803,1585,3
LC333184.1,905,1080,1
LC333184.1,905,2100,2
LC333184.1,919,2099,1
LC333184.1,921,1507,2
LC333184.1,941,2088,1
LC333185.1,1149,1622,1
LC333185.1,124,1279,2
LC333185.1,1373,1460,1
LC333185.1,167,1212,1
LC333185.1,190,704,1
LC333185.1,212,1310,1
LC333185.1,256,1162,1
LC333185.1,282,1270,1
LC333185.1,292,1276,1
LC333185.1,293,1267,2
LC333185.1,296,1280,167
LC333185.1,351,1308,1
LC333185.1,352,1509,1
LC333185.1,355,1359,2
LC333185.1,389,1064,1
LC333185.1,391,501,1
LC333185.1,414,1349,1
LC333185.1,480,704,1
LC333185.1,545,1064,1
LC333185.1,546,1099,1
LC333185.1,548,1102,1
LC333185.1,552,878,1
LC333185.1,564,853,1
LC333185.1,622,1139,1
LC333185.1,709,988,1
LC333185.1,736,1033,23
LC333185.1,78,704,1
LC333185.1,85,1352,1
LC333185.1,932,1155,1
LC333186.1,1041,1327,1
LC333186.1,1095,1157,1
LC333186.1,1121,1245,1
LC333186.1,1133,1532,1
LC333186.1,1204,1339,2
LC333186.1,1220,1409,1
LC333186.1,1229,1341,1
LC333186.1,1246,1350,1
LC333186.1,1268,1331,1
LC333186.1,1299,1359,1
LC333186.1,241,1193,1
LC333186.1,242,1329,14
LC333186.1,246,425,1
LC333186.1,286,518,1
LC333186.1,292,1359,1
LC333186.1,296,531,2
LC333186.1,298,908,2
LC333186.1,311,1135,4
LC333186.1,333,1210,1
LC333186.1,356,1397,1
LC333186.1,357,1103,1
LC333186.1,357,1338,1
LC333186.1,405,1338,1
LC333186.1,414,918,1
LC333186.1,424,763,1
LC333186.1,425,617,1
LC333186.1,434,486,2
LC333186.1,437,1326,6
LC333186.1,437,1329,1
LC333186.1,439,1328,9
LC333186.1,440,1338,10
LC333186.1,449,839,1
LC333186.1,450,542,1
LC333186.1,456,482,2
LC333186.1,458,1411,2
LC333186.1,474,987,1
LC333186.1,475,1020,1
LC333186.1,481,1390,11
LC333186.1,484,1400,6
LC333186.1,484,726,1
LC333186.1,486,1025,1
LC333186.1,487,1418,1
LC333186.1,493,1407,3
LC333186.1,495,1246,1
LC333186.1,495,1349,2
LC333186.1,496,1410,1
LC333186.1,506,1445,1
LC333186.1,508,1447,1
LC333186.1,511,555,1
LC333186.1,536,1414,1
LC333186.1,546,1390,1
LC333186.1,549,1328,1
LC333186.1,607,947,1
LC333186.1,719,766,1
LC333186.1,731,1341,1
LC333186.1,743,976,1
LC333186.1,760,1325,1
LC333186.1,777,848,1
LC333186.1,779,846,1
LC333186.1,779,848,1
LC333186.1,791,1424,1
LC333186.1,825,1268,1
LC333186.1,849,1228,1
LC333186.1,898,1055,1
LC333186.1,929,1350,1
LC333186.1,96,1392,1
LC333186.1,96,151,1
LC333187.1,1123,1166,2
LC333187.1,1129,1292,1
LC333187.1,1140,1228,4
LC333187.1,155,1049,1
LC333187.1,197,1086,1
LC333187.1,206,542,1
LC333187.1,234,832,1
LC333187.1,239,1023,1
LC333187.1,241,1102,1
LC333187.1,251,983,2
LC333187.1,277,1003,15
LC333187.1,283,848,25
LC333187.1,299,1084,1
