Segment,Start,End,NGS_read_count
KM654612.1,113,292,1
KM654612.1,114,547,2
KM654612.1,115,294,3
KM654612.1,116,785,1
KM654612.1,149,442,1
KM654612.1,153,180,1
KM654612.1,155,653,9
KM654612.1,170,220,1
KM654612.1,186,258,2
KM654612.1,189,598,21
KM654612.1,189,666,2
KM654612.1,189,670,46
KM654612.1,207,417,1
KM654612.1,228,723,4
KM654612.1,231,629,1
KM654612.1,234,678,1
KM654612.1,257,591,2
KM654612.1,258,600,3
KM654612.1,263,556,2
KM654612.1,275,643,1
KM654612.1,277,367,2
KM654612.1,278,376,2
KM654612.1,289,344,2
KM654612.1,291,634,3
KM654612.1,304,534,1
KM654612.1,304,794,6
KM654612.1,308,555,2
KM654612.1,30,310,1
KM654612.1,315,343,2
KM654612.1,316,545,1
KM654612.1,330,449,2
KM654612.1,363,751,2
KM654612.1,373,400,6
KM654612.1,380,611,2
KM654612.1,385,589,2
KM654612.1,397,464,2
KM654612.1,442,766,1
KM654612.1,443,837,1
KM654612.1,453,539,2
KM654612.1,462,563,2
KM654612.1,472,531,2
KM654612.1,477,788,1
KM654612.1,487,657,1
KM654612.1,517,622,1
KM654612.1,536,672,2
KM654612.1,543,826,1
KM654612.1,556,610,2
KM654612.1,57,141,1
KM654612.1,58,434,1
KM654612.1,592,652,1
KM654612.1,701,727,10
KM654612.1,701,838,1
KM654612.1,726,753,1
KM654612.1,727,763,7
KM654612.1,72,137,1
KM654612.1,738,775,1
KM654612.1,75,272,1
KM654612.1,76,402,1
KM654612.1,78,767,2
KM654612.1,93,222,1
KM654612.1,94,398,3
KM654612.1,95,535,1
KM654612.1,99,288,2
KM654658.1,1007,1424,1
KM654658.1,1008,1580,2
KM654658.1,1035,1752,2
KM654658.1,1044,1813,2
KM654658.1,1068,1409,2
KM654658.1,1079,1137,2
KM654658.1,1081,1523,2
KM654658.1,1102,1188,1
KM654658.1,110,992,1
KM654658.1,1139,1439,2
KM654658.1,1146,1992,6
KM654658.1,1163,1248,1
KM654658.1,1169,1580,2
KM654658.1,1171,1825,2
KM654658.1,1175,1281,2
KM654658.1,1212,1402,2
KM654658.1,1230,1274,2
KM654658.1,123,1755,18
KM654658.1,1245,1545,1
KM654658.1,125,1612,29
KM654658.1,1290,1920,2
KM654658.1,131,1638,1
KM654658.1,133,1640,282
KM654658.1,1344,1405,1
KM654658.1,134,1641,2
KM654658.1,1379,2032,1
KM654658.1,1432,1994,1
KM654658.1,1439,1578,2
KM654658.1,1442,1926,1
KM654658.1,1482,1537,17
KM654658.1,151,1641,10
KM654658.1,1528,1613,1
KM654658.1,1554,1777,5
KM654658.1,155,1823,9
KM654658.1,1569,2027,1
KM654658.1,163,2049,5
KM654658.1,169,1575,1
KM654658.1,1788,1924,2
KM654658.1,1881,1917,16
KM654658.1,210,1490,11
KM654658.1,216,1416,11
KM654658.1,226,1643,186
KM654658.1,245,1567,12
KM654658.1,290,1513,9
KM654658.1,290,1583,11
KM654658.1,290,486,1
KM654658.1,291,1525,8
KM654658.1,299,891,2
KM654658.1,301,2017,1
KM654658.1,303,1506,15
KM654658.1,307,1475,3
KM654658.1,310,1727,2
KM654658.1,312,1407,8
KM654658.1,335,1500,8
KM654658.1,337,831,2
KM654658.1,351,1436,2
KM654658.1,356,901,1
KM654658.1,364,1340,45
KM654658.1,364,1902,2
KM654658.1,366,1430,1
KM654658.1,370,1441,4
KM654658.1,383,1413,7
KM654658.1,41,1757,2
KM654658.1,41,1825,3
KM654658.1,430,1742,2
KM654658.1,457,1407,1
KM654658.1,461,1256,1
KM654658.1,465,1589,4
KM654658.1,467,1337,4
KM654658.1,483,1825,1
KM654658.1,487,1359,1
KM654658.1,488,1282,41
KM654658.1,491,1247,1
KM654658.1,494,1318,2
KM654658.1,512,1471,7
KM654658.1,520,1426,6
KM654658.1,545,1456,1
KM654658.1,54,1285,4
KM654658.1,55,1811,323
KM654658.1,580,1761,2
KM654658.1,60,1780,18
KM654658.1,637,1800,1
KM654658.1,63,1168,6
KM654658.1,70,1374,1
KM654658.1,717,1720,2
KM654658.1,743,1166,2
KM654658.1,747,1640,4
KM654658.1,75,887,1
KM654658.1,807,1783,1
KM654658.1,80,1734,2
KM654658.1,81,1567,6
KM654658.1,81,1708,1
KM654658.1,81,1781,8
KM654658.1,84,1640,1
KM654658.1,85,1711,35
KM654658.1,864,1402,1
KM654658.1,876,1742,1
KM654658.1,882,1641,2
KM654658.1,890,1592,2
KM654658.1,900,1231,2
KM654658.1,923,1392,1
KM654658.1,971,1990,1
KM654658.1,97,1206,3
KM654658.1,993,1319,1
KM654658.1,993,2040,1
KM654658.1,995,2030,1
KM654706.1,1002,1946,1
KM654706.1,1006,1732,2
KM654706.1,1007,1815,1
KM654706.1,1008,1420,2
KM654706.1,1014,1762,2
KM654706.1,1020,1110,2
KM654706.1,102,644,1
KM654706.1,1035,1672,1
KM654706.1,1037,1695,2
KM654706.1,105,1736,42
KM654706.1,1065,1223,2
KM654706.1,1067,2021,1
KM654706.1,1068,2036,1
KM654706.1,106,1104,1
KM654706.1,106,1843,5
KM654706.1,1076,1503,2
KM654706.1,1087,1385,8
KM654706.1,108,1898,1
KM654706.1,1102,1323,1
KM654706.1,1120,1749,2
KM654706.1,1121,1151,2
KM654706.1,1122,1233,1
KM654706.1,1135,1824,1
KM654706.1,1136,1831,2
KM654706.1,1146,1669,1
KM654706.1,1157,1495,2
KM654706.1,1161,1983,1
KM654706.1,1165,1723,2
KM654706.1,1169,1496,2
KM654706.1,116,1725,21
KM654706.1,1173,1860,2
KM654706.1,1180,1326,2
KM654706.1,1183,1416,2
KM654706.1,1187,1970,1
KM654706.1,1198,1308,1
KM654706.1,1199,1491,2
KM654706.1,119,2034,5
KM654706.1,1205,1327,1
KM654706.1,120,1521,7
KM654706.1,120,1861,1
KM654706.1,1218,1888,1
KM654706.1,1221,1644,1
KM654706.1,1226,1694,1
KM654706.1,1227,1547,1
KM654706.1,1239,1872,2
KM654706.1,1246,1313,2
KM654706.1,1249,1668,1
KM654706.1,1258,1303,2
KM654706.1,1261,1425,1
KM654706.1,1298,1956,1
KM654706.1,1299,1897,2
KM654706.1,1305,1378,2
KM654706.1,1312,1800,2
KM654706.1,1313,1767,1
KM654706.1,1314,2003,1
KM654706.1,1320,2073,1
KM654706.1,1325,1496,2
KM654706.1,1377,1430,1
KM654706.1,1383,1650,2
KM654706.1,1385,1809,2
KM654706.1,1391,1908,2
KM654706.1,1399,1809,1
KM654706.1,139,1734,1
KM654706.1,1404,1443,2
KM654706.1,1405,1554,1
KM654706.1,1407,1922,1
KM654706.1,140,1829,1
KM654706.1,1425,2049,1
KM654706.1,1436,1868,2
KM654706.1,144,1422,1
KM654706.1,145,1889,2
KM654706.1,149,1722,2
KM654706.1,1509,1811,1
KM654706.1,151,1764,1
KM654706.1,153,1766,75
KM654706.1,1554,1700,2
KM654706.1,1555,1875,2
KM654706.1,1556,1697,2
KM654706.1,1556,1873,1
KM654706.1,157,1951,59
KM654706.1,158,1711,27
KM654706.1,159,1840,1
KM654706.1,161,1803,2
KM654706.1,161,1859,2
KM654706.1,1628,1761,1
KM654706.1,163,1394,1
KM654706.1,163,1805,255
KM654706.1,1641,1729,7
KM654706.1,1643,1709,7
KM654706.1,1644,1681,16
KM654706.1,164,1587,3
KM654706.1,1653,1904,1
KM654706.1,166,1695,1
KM654706.1,1680,1965,2
KM654706.1,168,284,2
KM654706.1,1690,1808,1
KM654706.1,169,1712,4
KM654706.1,1716,1748,1
KM654706.1,171,198,15
KM654706.1,171,558,1
KM654706.1,1720,1859,12
KM654706.1,1731,1767,5
KM654706.1,1735,1831,16
KM654706.1,173,1711,25
KM654706.1,173,1743,16
KM654706.1,1748,1847,2
KM654706.1,1765,2007,1
KM654706.1,1770,1872,29
KM654706.1,1773,2038,2
KM654706.1,1785,1884,2
KM654706.1,1793,1827,19
KM654706.1,1860,2023,1
KM654706.1,1861,1883,1
KM654706.1,1862,1884,29
KM654706.1,1863,2023,1
KM654706.1,186,1827,1
KM654706.1,1880,2039,11
KM654706.1,1891,1949,19
KM654706.1,1909,1934,19
KM654706.1,1909,1948,12
KM654706.1,1911,1936,1
KM654706.1,1911,1945,17
KM654706.1,1923,1945,18
KM654706.1,1923,2065,1
KM654706.1,192,1485,22
KM654706.1,192,1603,17
KM654706.1,192,1692,60
KM654706.1,1954,2024,1
KM654706.1,1991,2070,1
KM654706.1,199,1420,2
KM654706.1,200,1385,23
KM654706.1,201,1126,1
KM654706.1,205,807,1
KM654706.1,206,811,2
KM654706.1,209,1407,1
KM654706.1,209,1603,54
KM654706.1,211,861,1
KM654706.1,214,1262,1
KM654706.1,215,1686,1
KM654706.1,228,1213,2
KM654706.1,229,1890,2
KM654706.1,240,1844,1
KM654706.1,248,1352,1
KM654706.1,251,1868,2
KM654706.1,256,1510,2
KM654706.1,256,949,2
KM654706.1,257,1673,10
KM654706.1,257,988,2
KM654706.1,25,1832,25
KM654706.1,25,1944,65
KM654706.1,260,1455,23
KM654706.1,264,1833,39
KM654706.1,269,1033,1
KM654706.1,270,1667,3
KM654706.1,270,344,30
KM654706.1,271,1668,1481
KM654706.1,272,2014,1
KM654706.1,277,1543,21
KM654706.1,27,1429,1
KM654706.1,27,150,1
KM654706.1,280,1241,2
KM654706.1,280,1685,3
KM654706.1,28,1730,15
KM654706.1,292,1533,2
KM654706.1,292,2009,2
KM654706.1,299,1669,1
KM654706.1,29,1733,1
KM654706.1,29,1871,16
KM654706.1,302,1694,1
KM654706.1,305,1001,1
KM654706.1,312,1397,101
KM654706.1,314,521,1
KM654706.1,315,1534,7
KM654706.1,320,1035,2
KM654706.1,321,1657,9
KM654706.1,321,467,2
KM654706.1,325,1856,1
KM654706.1,34,1862,22
KM654706.1,366,1635,16
KM654706.1,373,1847,2
KM654706.1,376,1609,2
KM654706.1,376,1972,1
KM654706.1,377,1968,2
KM654706.1,378,1304,13
KM654706.1,379,1268,13
KM654706.1,380,1442,9
KM654706.1,382,1908,2
KM654706.1,383,1343,1
KM654706.1,383,1612,2
KM654706.1,390,1691,32
KM654706.1,404,1560,2
KM654706.1,407,756,1
KM654706.1,409,1739,31
KM654706.1,40,956,1
KM654706.1,412,1721,45
KM654706.1,414,851,2
KM654706.1,430,1716,1
KM654706.1,431,1501,1
KM654706.1,431,972,1
KM654706.1,432,1502,30
KM654706.1,44,1833,19
KM654706.1,467,970,1
KM654706.1,472,1681,1
KM654706.1,473,1818,16
KM654706.1,47,1694,1
KM654706.1,480,1419,1
KM654706.1,492,1226,2
KM654706.1,50,1771,5
KM654706.1,523,1922,1
KM654706.1,524,1629,1
KM654706.1,524,1848,1
KM654706.1,528,916,2
KM654706.1,531,1043,2
KM654706.1,531,1873,1
KM654706.1,556,964,2
KM654706.1,557,1394,1
KM654706.1,560,1427,2
KM654706.1,560,1555,1
KM654706.1,576,1001,2
KM654706.1,588,1915,1
KM654706.1,596,1959,2
KM654706.1,59,1091,1
KM654706.1,605,1213,2
KM654706.1,605,1847,1
KM654706.1,617,905,2
KM654706.1,61,1503,1
KM654706.1,62,1085,1
KM654706.1,630,1961,2
KM654706.1,63,1742,56
KM654706.1,645,1730,2
KM654706.1,65,1585,1
KM654706.1,664,1908,2
KM654706.1,666,1951,2
KM654706.1,683,1196,2
KM654706.1,684,1130,1
KM654706.1,687,1623,1
KM654706.1,69,784,1
KM654706.1,700,1906,1
KM654706.1,702,1873,2
KM654706.1,704,1208,2
KM654706.1,734,1085,2
KM654706.1,748,1516,1
KM654706.1,749,1637,2
KM654706.1,765,912,1
KM654706.1,773,1494,24
KM654706.1,775,1605,1
KM654706.1,78,1626,1
KM654706.1,817,1268,2
KM654706.1,818,1502,2
KM654706.1,820,1650,1
KM654706.1,820,1874,2
KM654706.1,83,1962,1
KM654706.1,84,245,1
KM654706.1,858,1678,1
KM654706.1,874,1329,2
KM654706.1,881,1899,28
KM654706.1,882,1971,1
KM654706.1,888,1736,2
KM654706.1,888,1897,1
