Segment,Start,End,NGS_read_count
AF389115.1,1000,1266,1
AF389115.1,1002,1799,2
AF389115.1,100,2105,2
AF389115.1,1039,1692,2
AF389115.1,1046,1950,1
AF389115.1,1048,1274,1
AF389115.1,104,2052,2
AF389115.1,105,2113,2
AF389115.1,106,2030,1
AF389115.1,108,2013,2
AF389115.1,108,2098,2
AF389115.1,116,1880,2
AF389115.1,116,2031,2
AF389115.1,116,2098,1
AF389115.1,117,1969,1
AF389115.1,118,2004,2
AF389115.1,119,2141,2
AF389115.1,121,2004,2
AF389115.1,1244,1306,1
AF389115.1,124,2111,1
AF389115.1,124,2128,2
AF389115.1,125,2004,2
AF389115.1,126,2157,2
AF389115.1,1276,2224,1
AF389115.1,1292,1891,1
AF389115.1,131,2001,2
AF389115.1,131,2098,2
AF389115.1,131,2104,2
AF389115.1,132,2126,1
AF389115.1,133,2117,2
AF389115.1,134,2008,2
AF389115.1,134,2079,2
AF389115.1,136,2134,2
AF389115.1,137,2029,2
AF389115.1,140,2103,1
AF389115.1,141,2018,1
AF389115.1,141,2059,2
AF389115.1,141,2174,2
AF389115.1,144,2027,2
AF389115.1,144,2078,1
AF389115.1,144,2136,2
AF389115.1,1462,1943,1
AF389115.1,1466,1968,1
AF389115.1,1469,1543,1
AF389115.1,147,2051,2
AF389115.1,147,2103,1
AF389115.1,147,2128,2
AF389115.1,148,2137,1
AF389115.1,148,2177,1
AF389115.1,150,182,2
AF389115.1,150,1839,1
AF389115.1,150,2099,1
AF389115.1,151,2061,1
AF389115.1,151,2187,2
AF389115.1,152,2036,2
AF389115.1,152,2037,2
AF389115.1,152,2123,2
AF389115.1,152,2152,2
AF389115.1,153,2099,2
AF389115.1,153,219,1
AF389115.1,154,2079,1
AF389115.1,154,2104,2
AF389115.1,154,2140,2
AF389115.1,155,2077,2
AF389115.1,155,2091,2
AF389115.1,155,2140,2
AF389115.1,1560,1614,1
AF389115.1,156,2048,1
AF389115.1,157,1977,2
AF389115.1,158,2030,2
AF389115.1,158,2046,1
AF389115.1,158,2098,2
AF389115.1,158,2114,2
AF389115.1,158,2150,2
AF389115.1,159,2018,2
AF389115.1,159,2065,2
AF389115.1,159,2153,1
AF389115.1,160,1974,2
AF389115.1,160,2025,4
AF389115.1,160,2098,1
AF389115.1,160,2104,2
AF389115.1,1615,1709,2
AF389115.1,161,1974,2
AF389115.1,161,2017,1
AF389115.1,161,2095,2
AF389115.1,161,2100,1
AF389115.1,161,2109,2
AF389115.1,161,2112,2
AF389115.1,161,2126,2
AF389115.1,161,2142,2
AF389115.1,161,2151,2
AF389115.1,161,2203,2
AF389115.1,1621,1650,1
AF389115.1,162,1970,2
AF389115.1,162,2030,1
AF389115.1,162,2037,2
AF389115.1,162,2050,2
AF389115.1,162,2068,1
AF389115.1,162,2073,1
AF389115.1,162,2104,2
AF389115.1,162,2108,3
AF389115.1,162,2116,2
AF389115.1,163,2052,2
AF389115.1,163,2053,1
AF389115.1,163,2123,2
AF389115.1,164,2109,2
AF389115.1,165,2177,2
AF389115.1,167,2062,2
AF389115.1,1686,1741,2
AF389115.1,168,2032,2
AF389115.1,169,2040,2
AF389115.1,169,2097,2
AF389115.1,170,2030,2
AF389115.1,171,2121,2
AF389115.1,171,223,1
AF389115.1,172,1986,2
AF389115.1,172,2052,2
AF389115.1,172,2069,2
AF389115.1,172,2099,2
AF389115.1,172,2126,2
AF389115.1,172,2164,2
AF389115.1,174,1808,2
AF389115.1,174,2031,2
AF389115.1,174,2046,2
AF389115.1,174,2061,2
AF389115.1,174,2081,2
AF389115.1,174,2104,2
AF389115.1,175,2035,2
