Segment,Start,End,NGS_read_count
LC333182.1,1014,1593,1
LC333182.1,1025,1821,1
LC333182.1,1031,1091,1
LC333182.1,1075,1886,1
LC333182.1,108,2140,4
LC333182.1,1108,2141,1
LC333182.1,1116,1828,1
LC333182.1,1120,1246,1
LC333182.1,1131,1195,1
LC333182.1,1158,1267,1
LC333182.1,115,1800,1
LC333182.1,1174,2110,1
LC333182.1,1177,1307,1
LC333182.1,1179,1741,1
LC333182.1,123,165,1
LC333182.1,126,1507,1
LC333182.1,1305,1958,1
LC333182.1,131,2096,1
LC333182.1,134,1565,3
LC333182.1,134,1626,1
LC333182.1,135,2123,1
LC333182.1,136,1870,1
LC333182.1,138,167,1
LC333182.1,139,1961,2
LC333182.1,1439,1504,1
LC333182.1,1469,1661,1
LC333182.1,1485,1644,1
LC333182.1,148,2137,6
LC333182.1,1493,1996,2
LC333182.1,1510,1542,1
LC333182.1,1528,1603,1
LC333182.1,152,2095,1
LC333182.1,157,2066,1
LC333182.1,158,2077,1
LC333182.1,1596,1641,1
LC333182.1,1596,1842,1
LC333182.1,159,2088,2
LC333182.1,164,2129,1
LC333182.1,1683,1809,2
LC333182.1,1717,1772,1
LC333182.1,172,2138,1
LC333182.1,1784,1831,9
LC333182.1,1817,1950,2
LC333182.1,1836,1946,1
LC333182.1,1840,1952,4
LC333182.1,186,2112,1
LC333182.1,1883,1928,1
LC333182.1,1894,2096,1
LC333182.1,1903,2013,1
LC333182.1,190,2009,1
LC333182.1,190,2109,1
LC333182.1,191,1998,1
LC333182.1,191,2008,13
LC333182.1,191,2009,1
LC333182.1,192,2115,1
LC333182.1,193,2011,3
LC333182.1,193,2013,1
LC333182.1,195,2012,10531
LC333182.1,196,1784,1
LC333182.1,196,1831,2
LC333182.1,196,2071,2
LC333182.1,197,1802,1
LC333182.1,197,2014,10
LC333182.1,1982,2212,1
LC333182.1,1997,2070,5
LC333182.1,199,2117,494
LC333182.1,201,2003,1
LC333182.1,201,2035,1
LC333182.1,202,2069,2
LC333182.1,2030,2100,2
LC333182.1,2034,2104,1
LC333182.1,2038,2073,2
LC333182.1,2039,2071,2
LC333182.1,2039,2083,8
LC333182.1,2039,2088,1
LC333182.1,2039,2185,4
LC333182.1,2039,2215,1
LC333182.1,203,2013,1
LC333182.1,2040,2108,1
LC333182.1,2041,2069,2
LC333182.1,2043,2194,1
LC333182.1,2044,2101,1
LC333182.1,2045,2082,8
LC333182.1,2045,2120,2
LC333182.1,2057,2102,4
LC333182.1,2061,2131,10
LC333182.1,2067,2138,1
LC333182.1,2081,2120,1
LC333182.1,208,2132,1
LC333182.1,212,1994,10
LC333182.1,213,2047,6
LC333182.1,2186,2217,3
LC333182.1,221,1999,1
LC333182.1,221,2083,1
LC333182.1,223,2017,1
LC333182.1,223,2037,1
LC333182.1,223,2242,1
LC333182.1,225,1946,1
LC333182.1,226,1838,1
LC333182.1,227,1635,2
LC333182.1,228,1687,1
LC333182.1,229,1175,1
LC333182.1,233,1656,5
LC333182.1,236,2105,2
LC333182.1,239,2122,1
LC333182.1,243,1839,5
LC333182.1,245,1998,6
LC333182.1,245,2171,2
LC333182.1,246,1991,1
LC333182.1,247,2134,1
LC333182.1,247,2155,1
LC333182.1,249,1597,1
LC333182.1,249,1641,1
LC333182.1,251,1855,1
LC333182.1,252,2004,20
LC333182.1,255,2014,1
LC333182.1,257,2013,1
LC333182.1,259,2008,1
LC333182.1,270,1477,1
LC333182.1,271,1838,1
LC333182.1,273,1658,1
LC333182.1,274,1946,1
LC333182.1,275,1838,1
LC333182.1,276,2091,1
LC333182.1,284,2110,1
LC333182.1,286,1661,1
LC333182.1,288,1938,4
LC333182.1,293,2014,3
LC333182.1,295,1817,1
LC333182.1,295,1982,1853
LC333182.1,296,1983,1
LC333182.1,297,1636,4
LC333182.1,297,1844,3
LC333182.1,298,1639,1
LC333182.1,298,2208,1
LC333182.1,300,2230,2
LC333182.1,301,1994,1
LC333182.1,303,1957,4
LC333182.1,304,1952,1
LC333182.1,304,1953,1
LC333182.1,305,2057,3
LC333182.1,307,1922,1
LC333182.1,307,1932,1
LC333182.1,307,2113,1
LC333182.1,309,1735,1
LC333182.1,310,2120,5
LC333182.1,312,1967,1
LC333182.1,313,2081,1
LC333182.1,314,1884,4
LC333182.1,315,1638,1
LC333182.1,317,2114,1
LC333182.1,318,2003,1
LC333182.1,326,2025,1
LC333182.1,327,1920,5
LC333182.1,331,1980,1
LC333182.1,334,1921,1
LC333182.1,334,1963,2
LC333182.1,334,1999,1
LC333182.1,334,2233,1
LC333182.1,336,1755,2
LC333182.1,337,1935,9
LC333182.1,339,1955,1
LC333182.1,340,2147,8
LC333182.1,343,1587,4
LC333182.1,347,2008,1
LC333182.1,351,1773,88
LC333182.1,351,2003,1
LC333182.1,354,1992,1
LC333182.1,355,2030,1
LC333182.1,358,1728,1
LC333182.1,359,1827,1
LC333182.1,361,1829,1341
LC333182.1,363,1831,2
LC333182.1,365,2026,1
LC333182.1,366,1933,1
LC333182.1,368,1872,1
LC333182.1,374,1762,1
LC333182.1,378,1827,1
LC333182.1,381,1873,1
LC333182.1,385,1826,1
LC333182.1,385,1846,1
LC333182.1,396,1064,1
LC333182.1,396,458,1
LC333182.1,399,2184,1
LC333182.1,412,523,2
LC333182.1,416,1882,1
LC333182.1,417,2052,1
LC333182.1,422,444,1
LC333182.1,429,1968,1
LC333182.1,431,1768,1
LC333182.1,431,1833,1
LC333182.1,432,1729,1
LC333182.1,433,1803,1
LC333182.1,434,1594,7
LC333182.1,440,1772,19
LC333182.1,450,1833,1
LC333182.1,453,1742,1
LC333182.1,454,1828,3
LC333182.1,462,2320,1
LC333182.1,464,2088,1
LC333182.1,471,1999,1
LC333182.1,477,1802,5
LC333182.1,485,1748,1
LC333182.1,489,1929,3
LC333182.1,491,1870,1
LC333182.1,495,1706,1
LC333182.1,495,1888,1
LC333182.1,496,1752,157
LC333182.1,498,1830,14
LC333182.1,500,1745,1
LC333182.1,507,2078,4
LC333182.1,512,1779,1
LC333182.1,513,1793,4
LC333182.1,516,1883,59
LC333182.1,517,1660,1
LC333182.1,522,1756,1
LC333182.1,533,1645,1
LC333182.1,534,1707,3
LC333182.1,534,1890,1
LC333182.1,556,1734,2
LC333182.1,572,2095,1
LC333182.1,592,2104,1
LC333182.1,592,655,1
LC333182.1,595,2130,1
LC333182.1,602,2130,3
LC333182.1,603,2128,1
LC333182.1,608,1677,1
LC333182.1,609,1991,1
LC333182.1,620,1628,1
LC333182.1,624,1654,1
LC333182.1,625,2032,1
LC333182.1,626,1989,8
LC333182.1,627,736,1
LC333182.1,628,1932,22
LC333182.1,629,1734,1
LC333182.1,632,1841,1
LC333182.1,633,1534,48
LC333182.1,633,1738,379
LC333182.1,634,1535,1
LC333182.1,649,1667,1
LC333182.1,651,2084,2
LC333182.1,655,1581,1
LC333182.1,659,1822,1
LC333182.1,660,2167,4
LC333182.1,664,1653,1
LC333182.1,664,1829,1
LC333182.1,664,2049,1
LC333182.1,667,2095,1
LC333182.1,671,1956,33
LC333182.1,676,1446,1
LC333182.1,676,2138,1
LC333182.1,677,1645,3
LC333182.1,67,2028,1
LC333182.1,681,1932,3
LC333182.1,681,2113,18
LC333182.1,683,1573,1
LC333182.1,686,1992,2
LC333182.1,687,1846,3
LC333182.1,688,1809,1
LC333182.1,68,1206,2
LC333182.1,696,1009,1
LC333182.1,705,1925,1
LC333182.1,716,1937,1
LC333182.1,723,2227,1
LC333182.1,730,1860,8
LC333182.1,741,1600,1
LC333182.1,746,1337,1
LC333182.1,746,1741,4
LC333182.1,747,2082,12
LC333182.1,749,1130,1
LC333182.1,749,1641,1
LC333182.1,749,1842,4
LC333182.1,749,1853,2
LC333182.1,754,1602,3
LC333182.1,757,1845,1
LC333182.1,757,878,1
LC333182.1,769,1167,1
LC333182.1,770,2106,1
LC333182.1,773,1378,1
LC333182.1,787,1636,2
LC333182.1,804,1439,1
LC333182.1,821,1582,1
LC333182.1,85,1863,1
LC333182.1,86,1864,1
LC333182.1,875,1644,1
LC333182.1,879,1847,2
LC333182.1,87,1823,2
LC333182.1,88,1151,1
LC333182.1,88,1869,1
LC333182.1,89,1625,2
LC333182.1,907,2135,1
LC333182.1,910,1497,1
LC333182.1,910,2297,1
LC333182.1,941,1088,1
LC333182.1,941,2061,1
LC333182.1,961,1001,2
LC333182.1,972,1738,1
LC333182.1,990,1869,4
LC333182.1,991,1934,1
LC333183.1,1002,1115,2
LC333183.1,103,2173,2
LC333183.1,1041,1590,1
LC333183.1,1055,1088,1
LC333183.1,1081,1867,1
LC333183.1,1087,1717,1
LC333183.1,1151,1182,1
LC333183.1,1200,1417,1
LC333183.1,127,2079,5
LC333183.1,128,1004,32
LC333183.1,128,2080,605
LC333183.1,1292,1327,1
LC333183.1,130,2082,3
LC333183.1,131,1989,1
LC333183.1,1323,1352,1
LC333183.1,132,2085,2
LC333183.1,137,1995,6
LC333183.1,137,2110,1
LC333183.1,138,2092,1
LC333183.1,1390,1517,1
LC333183.1,1411,1808,1
LC333183.1,1462,1548,1
LC333183.1,148,204,1
LC333183.1,1596,1626,1
LC333183.1,1614,1640,1
LC333183.1,1614,1646,2
LC333183.1,162,1308,1
LC333183.1,1636,1952,1
LC333183.1,165,2017,24
LC333183.1,166,2018,1
LC333183.1,166,2026,1
LC333183.1,1679,1752,1
LC333183.1,170,2165,1
LC333183.1,171,2092,1
LC333183.1,1803,1851,6
LC333183.1,1818,1928,57
LC333183.1,181,1981,3
LC333183.1,182,2021,2
LC333183.1,1834,2039,1
LC333183.1,184,1867,1
LC333183.1,184,2042,7
LC333183.1,1862,1899,3
LC333183.1,187,940,1
LC333183.1,188,2081,5
LC333183.1,189,2002,3
LC333183.1,190,1548,1
LC333183.1,192,2080,1
LC333183.1,192,2110,2
LC333183.1,193,2086,2
LC333183.1,195,2110,1
LC333183.1,1967,1992,1
LC333183.1,2001,2082,1
LC333183.1,200,2122,1
LC333183.1,2045,2073,1
LC333183.1,2053,2094,1
LC333183.1,205,2069,2
LC333183.1,206,2157,1
LC333183.1,210,2224,1
LC333183.1,212,1550,1
LC333183.1,213,1982,31
LC333183.1,213,2165,1
LC333183.1,214,1966,2
LC333183.1,227,2047,1
LC333183.1,229,1738,1
LC333183.1,229,2050,1
LC333183.1,235,2000,1
LC333183.1,235,2201,1
LC333183.1,253,1934,2
LC333183.1,253,2054,1
LC333183.1,255,1797,109
LC333183.1,256,1986,1
LC333183.1,258,1939,4
LC333183.1,261,1942,1
LC333183.1,262,1983,1
LC333183.1,263,1937,2
LC333183.1,265,2100,1
LC333183.1,266,1982,1
LC333183.1,266,2153,1
LC333183.1,268,1979,1
LC333183.1,270,2159,2
LC333183.1,272,1900,2
LC333183.1,272,2001,2
LC333183.1,281,1960,2
LC333183.1,282,1898,2
LC333183.1,282,2027,2
LC333183.1,285,1994,1
LC333183.1,288,1960,1
LC333183.1,293,540,1
LC333183.1,296,1976,2
LC333183.1,300,547,3
LC333183.1,301,1991,1
LC333183.1,301,539,2
LC333183.1,303,1666,1
LC333183.1,311,2051,4
LC333183.1,316,2053,2
LC333183.1,316,2070,3
LC333183.1,317,2039,1
LC333183.1,318,2044,1
LC333183.1,320,1913,4
LC333183.1,321,1896,1
LC333183.1,325,1931,1
LC333183.1,325,2000,3
LC333183.1,328,1969,3
LC333183.1,331,2036,1
LC333183.1,333,1988,6
LC333183.1,335,1884,1
LC333183.1,348,1896,1
LC333183.1,348,2084,8
LC333183.1,351,1872,1
LC333183.1,351,2077,6
LC333183.1,352,1813,1
LC333183.1,354,1908,1
LC333183.1,359,2024,1
LC333183.1,363,1828,2
LC333183.1,368,2246,1
LC333183.1,370,1980,1
LC333183.1,371,2132,1
LC333183.1,374,1876,8
LC333183.1,374,1969,2
LC333183.1,386,1842,1
LC333183.1,391,1895,1
LC333183.1,392,2058,2
LC333183.1,396,1732,1
LC333183.1,397,2058,3
LC333183.1,401,1853,1
LC333183.1,402,1813,75
LC333183.1,411,1940,1
LC333183.1,417,1774,1
LC333183.1,418,2024,2
LC333183.1,423,1804,1
LC333183.1,423,476,1
LC333183.1,426,1972,1
LC333183.1,431,1849,1
LC333183.1,434,1926,3
LC333183.1,435,1888,1
LC333183.1,437,1965,1
LC333183.1,437,1981,5
LC333183.1,441,1856,1
LC333183.1,443,1895,1
LC333183.1,446,2107,4
LC333183.1,449,1772,8
LC333183.1,459,1836,1
LC333183.1,470,1728,1
LC333183.1,478,1872,32
LC333183.1,509,1624,25
LC333183.1,510,2227,3
LC333183.1,514,1896,3
LC333183.1,520,1642,2
LC333183.1,528,1685,2
LC333183.1,534,1701,1
LC333183.1,544,1416,1
LC333183.1,551,1950,1
LC333183.1,552,2087,1
LC333183.1,554,2065,1
LC333183.1,557,2079,1
LC333183.1,557,601,1
