Segment,Start,End,NGS_read_count
LC333182.1,1011,2110,1
LC333182.1,1023,2104,2
LC333182.1,1025,1821,1
LC333182.1,1061,1362,1
LC333182.1,1061,2202,1
LC333182.1,1143,2080,1
LC333182.1,126,1507,1
LC333182.1,1297,1456,1
LC333182.1,1377,1954,1
LC333182.1,1453,1634,1
LC333182.1,1457,1951,3
LC333182.1,1463,1950,1
LC333182.1,1478,1640,1
LC333182.1,148,2137,10
LC333182.1,148,2187,1
LC333182.1,1545,1854,3
LC333182.1,176,1686,1
LC333182.1,178,2070,1
LC333182.1,185,1961,105
LC333182.1,205,2096,20
LC333182.1,206,2096,2
LC333182.1,207,2097,6659
LC333182.1,208,2098,1
LC333182.1,215,2108,1
LC333182.1,222,2247,1
LC333182.1,223,2242,1
LC333182.1,245,2171,2
LC333182.1,272,2164,2
LC333182.1,295,1949,6
LC333182.1,298,1952,1
LC333182.1,300,2230,2
LC333182.1,309,1825,4
LC333182.1,310,2120,8
LC333182.1,340,2147,3
LC333182.1,343,1587,1
LC333182.1,365,1785,3
LC333182.1,419,2082,1
LC333182.1,483,1745,3
LC333182.1,503,1798,1
LC333182.1,512,1791,4
LC333182.1,547,1642,3
LC333182.1,563,1773,10
LC333182.1,566,1503,2
LC333182.1,568,1920,2
LC333182.1,602,2130,4
LC333182.1,604,1599,2
LC333182.1,624,2118,1
LC333182.1,626,1989,7
LC333182.1,628,1932,9
LC333182.1,655,1950,3
LC333182.1,657,2190,5
LC333182.1,660,2167,8
LC333182.1,681,1932,6
LC333182.1,681,2113,40
LC333182.1,686,1772,2
LC333182.1,68,1206,1
LC333182.1,692,2120,1
LC333182.1,730,1860,2
LC333182.1,738,2185,2
LC333182.1,741,1600,1
LC333182.1,746,1741,2
LC333182.1,747,2082,4
LC333182.1,773,1954,1
LC333182.1,793,1666,1
LC333182.1,84,1873,3
LC333182.1,85,1863,7
LC333182.1,86,1864,5
LC333182.1,879,1847,1
LC333182.1,87,1823,2
LC333182.1,926,2004,2
LC333182.1,936,1833,1
LC333182.1,93,1436,2
LC333182.1,990,1869,4
LC333183.1,1189,2146,2
LC333183.1,1495,1541,1
LC333183.1,1649,1980,1
LC333183.1,165,2017,20
LC333183.1,191,2122,1
LC333183.1,193,2035,4
LC333183.1,193,2086,1
LC333183.1,196,2106,1
LC333183.1,2030,2087,1
LC333183.1,2053,2082,49
LC333183.1,219,2094,7
LC333183.1,219,2095,1
LC333183.1,231,1538,2
LC333183.1,253,1934,5
LC333183.1,277,1815,5
LC333183.1,301,539,4
LC333183.1,307,1968,9
LC333183.1,311,2051,9
LC333183.1,321,2005,1
LC333183.1,351,2077,7
LC333183.1,361,1672,2
LC333183.1,370,1980,8
LC333183.1,396,464,2
LC333183.1,400,1811,1
