Segment,Start,End,NGS_read_count
CY115111.1,101,1582,2
CY115111.1,102,1472,1
CY115111.1,105,1469,3
CY115111.1,106,1584,2
CY115111.1,108,405,1
CY115111.1,1100,1462,1
CY115111.1,122,1536,1
CY115111.1,124,1696,1
CY115111.1,125,1678,4
CY115111.1,1358,1384,1
CY115111.1,1381,1681,1
CY115111.1,139,1485,1
CY115111.1,141,1658,2
CY115111.1,145,1740,1
CY115111.1,146,1541,1
CY115111.1,147,1569,2
CY115111.1,149,1491,1
CY115111.1,149,1679,5
CY115111.1,151,1504,59
CY115111.1,152,1075,7
CY115111.1,152,1496,27
CY115111.1,1548,1672,1
CY115111.1,155,1507,2
CY115111.1,156,1592,5
CY115111.1,156,1616,1
CY115111.1,156,1656,2
CY115111.1,157,1408,1
CY115111.1,157,1618,2
CY115111.1,157,1637,1
CY115111.1,1582,1684,1
CY115111.1,1596,1659,3
CY115111.1,1610,1671,3
CY115111.1,1617,1716,137
CY115111.1,1621,1720,2
CY115111.1,1729,1753,1
CY115111.1,186,1592,3
CY115111.1,188,1631,3
CY115111.1,194,1657,1
CY115111.1,195,1677,1
CY115111.1,196,1507,1
CY115111.1,197,1487,51
CY115111.1,197,1670,1
CY115111.1,198,1644,1
CY115111.1,199,1678,1
CY115111.1,204,1509,3
CY115111.1,210,1381,1
CY115111.1,211,1540,1
CY115111.1,211,1558,1
CY115111.1,211,1679,3
CY115111.1,212,1464,1
CY115111.1,213,1678,1
CY115111.1,214,1420,1
CY115111.1,215,1603,1
CY115111.1,216,1625,1
CY115111.1,216,1662,1
CY115111.1,217,1558,1
CY115111.1,217,1704,2
CY115111.1,218,1658,1
CY115111.1,219,1542,16
CY115111.1,220,1574,2
CY115111.1,221,1603,1
CY115111.1,224,1560,1
CY115111.1,229,1564,27
CY115111.1,234,1267,10
CY115111.1,236,1511,1
CY115111.1,237,1481,1
CY115111.1,237,1616,3
CY115111.1,241,1715,1
CY115111.1,246,1502,1
CY115111.1,256,1330,1
CY115111.1,257,1668,3
CY115111.1,258,1595,4
CY115111.1,260,1158,2
CY115111.1,260,1581,2
CY115111.1,261,1481,8
CY115111.1,261,1486,1
CY115111.1,262,1502,1
CY115111.1,264,1463,1
CY115111.1,264,1557,11
CY115111.1,266,1252,2
CY115111.1,268,1721,1
CY115111.1,269,1361,1
CY115111.1,270,1470,1
CY115111.1,271,1664,1
CY115111.1,274,1356,1
CY115111.1,274,1727,3
CY115111.1,305,1724,4
CY115111.1,310,1727,1
CY115111.1,311,1735,1
CY115111.1,316,1380,1
CY115111.1,316,1743,1
CY115111.1,318,1499,19
CY115111.1,332,1470,3
CY115111.1,333,1485,1
CY115111.1,337,1486,2
CY115111.1,339,1167,1
CY115111.1,342,1297,1
CY115111.1,345,1439,2
CY115111.1,345,1511,1
CY115111.1,346,1436,1
CY115111.1,350,1365,3
CY115111.1,350,1472,1
CY115111.1,350,1659,2
CY115111.1,351,1673,32
CY115111.1,354,1524,6
CY115111.1,355,1463,11
CY115111.1,356,1644,2
CY115111.1,357,1470,5
CY115111.1,357,1510,1
CY115111.1,357,1714,1
CY115111.1,359,1665,2
CY115111.1,36,86,1
CY115111.1,370,1411,3
CY115111.1,375,1570,1
CY115111.1,378,1368,1
CY115111.1,381,1651,2
CY115111.1,382,1645,2
CY115111.1,389,1597,1
CY115111.1,394,1316,1
CY115111.1,39,1508,1
CY115111.1,403,944,1
CY115111.1,40,97,1
CY115111.1,412,1522,2
CY115111.1,414,1709,1
CY115111.1,417,1491,1
CY115111.1,432,1497,7
CY115111.1,433,1348,1
CY115111.1,434,1471,1
CY115111.1,452,1663,2
CY115111.1,453,1720,2
CY115111.1,474,1558,1
CY115111.1,479,1011,1
CY115111.1,486,1259,2
CY115111.1,496,1755,1
CY115111.1,498,1518,1
CY115111.1,498,1714,1
CY115111.1,522,1682,1
CY115111.1,550,1539,2
CY115111.1,563,1144,1
CY115111.1,565,1646,1
CY115111.1,570,1332,2
CY115111.1,579,1253,2
CY115111.1,590,1168,2
CY115111.1,597,1693,3
CY115111.1,608,1055,1
CY115111.1,620,1653,1
CY115111.1,62,1092,2
CY115111.1,659,1384,2
CY115111.1,65,1033,3
CY115111.1,660,1708,1
CY115111.1,685,1665,4
CY115111.1,696,1295,1
CY115111.1,698,1180,2
CY115111.1,69,1308,2
CY115111.1,69,1510,1
CY115111.1,72,1272,1
CY115111.1,72,1727,1
CY115111.1,75,1547,3
CY115111.1,785,1209,1
CY115111.1,80,177,1
CY115111.1,816,1531,1
CY115111.1,824,1734,1
CY115111.1,84,1559,10
CY115111.1,85,1711,1
CY115111.1,866,1392,2
CY115111.1,905,971,1
CY115111.1,923,1725,1
CY115111.1,93,644,1
CY115111.1,956,1280,1
CY115111.1,98,1560,4
CY115111.1,99,1697,2
CY115112.1,100,999,2
CY115112.1,104,991,18
CY115112.1,105,982,2
CY115112.1,105,999,2
CY115112.1,106,1035,2
CY115112.1,106,987,1
CY115112.1,109,1012,5
CY115112.1,110,1015,1
CY115112.1,111,1016,463
CY115112.1,113,987,5
CY115112.1,115,1002,345
CY115112.1,115,1028,2
CY115112.1,115,994,88
CY115112.1,116,1008,635
CY115112.1,116,1009,2
CY115112.1,117,996,2
CY115112.1,120,1002,1
CY115112.1,120,989,12
CY115112.1,122,951,6
CY115112.1,123,1008,2
CY115112.1,123,1011,20
CY115112.1,123,1017,499
CY115112.1,124,1009,213
CY115112.1,124,1018,3
CY115112.1,125,1009,80
CY115112.1,127,1036,2
CY115112.1,129,1014,59
CY115112.1,131,1028,2
CY115112.1,135,996,63
CY115112.1,136,1063,4
CY115112.1,140,1020,2
CY115112.1,140,1047,2
CY115112.1,140,996,1
CY115112.1,142,998,42
CY115112.1,147,1044,33
CY115112.1,148,992,2
CY115112.1,150,1055,2
CY115112.1,152,1044,73
CY115112.1,155,1064,570
CY115112.1,156,1065,4
CY115112.1,157,1050,3
CY115112.1,157,1067,2
CY115112.1,167,1031,3
CY115112.1,167,735,42
CY115112.1,168,1037,2
CY115112.1,169,910,2
CY115112.1,170,1040,14
CY115112.1,173,1085,6
CY115112.1,176,1043,2
CY115112.1,202,1034,1
CY115112.1,204,1116,1
CY115112.1,223,1092,8
CY115112.1,229,1055,1
CY115112.1,235,1100,2
CY115112.1,283,796,86
CY115112.1,286,1016,1
CY115112.1,29,930,1
CY115112.1,356,1042,1
CY115112.1,56,930,7
CY115112.1,59,988,1
CY115112.1,78,990,34
CY115112.1,795,1075,26
CY115112.1,79,926,1
CY115112.1,83,1010,1
CY115112.1,83,992,8
CY115112.1,85,969,2
CY115112.1,86,971,1
CY115112.1,92,983,2
CY115112.1,93,1015,2
CY115112.1,95,826,4
CY115112.1,99,998,147
CY115113.1,100,1013,22
CY115113.1,100,1293,17
CY115113.1,102,1308,10
CY115113.1,1048,1323,2
CY115113.1,104,1218,2
CY115113.1,1053,1411,1
CY115113.1,105,1295,1
CY115113.1,105,1310,2
CY115113.1,107,1020,2
CY115113.1,107,1182,16
CY115113.1,107,1354,1
CY115113.1,109,1236,2
CY115113.1,110,1237,213
CY115113.1,112,1290,16
CY115113.1,1159,1370,2
CY115113.1,115,1242,2
CY115113.1,115,1314,9
CY115113.1,1164,1356,2
CY115113.1,1189,1334,1
CY115113.1,118,1170,93
CY115113.1,119,1243,2
CY115113.1,121,856,2
CY115113.1,123,1325,144
CY115113.1,124,461,1
CY115113.1,125,1021,2
CY115113.1,126,1022,1
CY115113.1,126,164,12
CY115113.1,126,190,2
CY115113.1,1271,1430,3
CY115113.1,1283,1442,1
CY115113.1,128,1222,1
CY115113.1,129,1268,1
CY115113.1,129,1310,1
CY115113.1,1317,1440,1
CY115113.1,133,1309,2
CY115113.1,134,1263,1
CY115113.1,134,1302,35
CY115113.1,134,1353,2
CY115113.1,134,180,6
CY115113.1,135,1259,3
CY115113.1,135,1274,2
CY115113.1,138,1242,2
CY115113.1,138,1314,1
CY115113.1,140,1292,2
CY115113.1,141,1177,2
CY115113.1,144,1310,3
CY115113.1,145,1434,2
CY115113.1,148,1179,2
CY115113.1,149,1180,15
CY115113.1,149,1315,12
CY115113.1,151,1190,234
CY115113.1,151,1452,1
CY115113.1,152,1191,1
CY115113.1,152,1240,2
CY115113.1,154,1286,1
CY115113.1,155,1200,1
CY115113.1,155,1287,77
CY115113.1,157,1278,2
CY115113.1,159,1311,1
CY115113.1,160,209,1
CY115113.1,161,1196,31
CY115113.1,161,1262,1
CY115113.1,162,1264,1
CY115113.1,162,1437,4
CY115113.1,170,1362,1
CY115113.1,171,1479,1
CY115113.1,173,1302,5
CY115113.1,173,1417,2
CY115113.1,174,1231,1
CY115113.1,174,1360,6
CY115113.1,176,1220,2
CY115113.1,177,1238,12
CY115113.1,177,1263,1
CY115113.1,178,1317,118
CY115113.1,182,1370,83
CY115113.1,183,1396,3
CY115113.1,184,1153,2
CY115113.1,184,1271,2
CY115113.1,185,1446,1
CY115113.1,187,1240,4
CY115113.1,187,1323,1
CY115113.1,191,1245,1
CY115113.1,193,1340,69
CY115113.1,194,1295,83
CY115113.1,195,1215,4
CY115113.1,198,1057,3
CY115113.1,200,1164,21
CY115113.1,202,1240,3
CY115113.1,205,1220,1
CY115113.1,205,1246,5
CY115113.1,205,1323,17
CY115113.1,214,1220,3
CY115113.1,215,242,1
CY115113.1,216,1268,141
CY115113.1,219,1368,2
CY115113.1,220,1166,2
CY115113.1,220,1202,1
CY115113.1,221,1172,1
CY115113.1,223,1154,7
CY115113.1,223,1191,1
CY115113.1,223,1209,2
CY115113.1,224,1265,1
CY115113.1,224,1276,7
CY115113.1,224,1287,1
CY115113.1,225,1153,1
CY115113.1,225,1366,2
CY115113.1,226,1233,2
CY115113.1,226,1367,1
CY115113.1,228,1081,1
CY115113.1,229,1433,14
CY115113.1,230,1290,1
CY115113.1,230,1353,2
CY115113.1,235,1144,2
CY115113.1,235,1242,1
CY115113.1,236,1263,3
CY115113.1,237,1363,3
CY115113.1,237,1377,1
CY115113.1,237,1424,30
CY115113.1,238,1157,33
CY115113.1,239,1291,1
CY115113.1,240,1145,2
CY115113.1,242,1306,11
CY115113.1,242,1453,2
CY115113.1,245,1342,34
CY115113.1,246,1321,1
CY115113.1,251,1420,18
CY115113.1,252,1234,1
CY115113.1,255,1241,1
CY115113.1,255,1360,2
CY115113.1,255,1377,1
CY115113.1,259,1431,11
CY115113.1,260,1256,62
CY115113.1,260,1311,1
CY115113.1,261,1305,1
CY115113.1,262,1258,2
CY115113.1,262,1345,1
CY115113.1,263,1156,1
CY115113.1,263,1307,3
CY115113.1,263,1314,1
CY115113.1,263,1360,2
CY115113.1,264,1134,2
CY115113.1,264,1305,115
CY115113.1,268,1412,23
CY115113.1,269,1286,3
CY115113.1,26,1108,83
CY115113.1,273,1430,1
CY115113.1,274,1336,1
CY115113.1,275,1200,2
CY115113.1,275,1246,1
CY115113.1,278,1484,1
CY115113.1,27,1125,3
CY115113.1,280,1484,2
CY115113.1,282,1278,2
CY115113.1,282,1308,1
CY115113.1,287,1154,34
CY115113.1,287,1440,3
CY115113.1,288,1155,9
CY115113.1,295,1432,1
CY115113.1,297,347,1
CY115113.1,29,1229,6
CY115113.1,301,1447,10
CY115113.1,303,1387,1
CY115113.1,307,1314,63
CY115113.1,307,1488,6
CY115113.1,309,1107,1
CY115113.1,309,1121,1
CY115113.1,309,1252,1
CY115113.1,311,1148,1
CY115113.1,312,1236,11
CY115113.1,316,1097,1
CY115113.1,318,1360,1
CY115113.1,319,1325,1
CY115113.1,322,1464,1
CY115113.1,323,1374,1
CY115113.1,324,1315,4
CY115113.1,32,59,1
CY115113.1,331,1230,1
CY115113.1,331,1376,5
CY115113.1,332,1135,2
CY115113.1,332,1176,281
CY115113.1,332,1339,2
CY115113.1,33,1376,10
CY115113.1,341,1144,3
CY115113.1,343,1305,32
CY115113.1,345,1336,1
CY115113.1,345,1376,1
CY115113.1,346,1073,2
CY115113.1,350,1342,1
CY115113.1,351,1417,1
CY115113.1,351,1448,4
CY115113.1,353,1131,1
CY115113.1,357,1256,3
CY115113.1,358,1315,7
CY115113.1,359,1099,1
CY115113.1,359,1276,6
CY115113.1,359,1280,1
CY115113.1,359,977,1
CY115113.1,360,1164,16
CY115113.1,360,1362,3
CY115113.1,366,1277,1
CY115113.1,366,1357,2
CY115113.1,367,1259,4
CY115113.1,371,1110,6
CY115113.1,375,1128,1
CY115113.1,375,1361,1
CY115113.1,387,1252,5
CY115113.1,38,367,7
CY115113.1,391,1268,4
CY115113.1,393,1237,1
CY115113.1,396,1398,2
CY115113.1,398,1289,1
CY115113.1,399,1288,4
CY115113.1,400,1289,889
CY115113.1,401,634,1
CY115113.1,402,1228,1
CY115113.1,402,1291,7
CY115113.1,402,957,2
CY115113.1,408,1342,2
CY115113.1,40,1337,1
CY115113.1,40,1372,1
CY115113.1,417,790,4
CY115113.1,419,1286,2
CY115113.1,420,1327,2
CY115113.1,424,1264,2
CY115113.1,424,1431,1
CY115113.1,424,1459,1
CY115113.1,429,605,7
CY115113.1,430,1466,2
CY115113.1,436,1457,1
CY115113.1,436,769,1
CY115113.1,436,961,4
CY115113.1,437,1033,1
CY115113.1,438,1177,2
CY115113.1,43,309,1
CY115113.1,43,372,1
CY115113.1,440,1124,2
CY115113.1,440,1301,1
CY115113.1,441,657,2
CY115113.1,442,1134,2
CY115113.1,444,970,2
CY115113.1,449,1429,1
CY115113.1,458,1315,2
CY115113.1,467,1322,2
CY115113.1,468,1199,2
CY115113.1,469,1108,1
CY115113.1,476,848,1
CY115113.1,47,1191,3
CY115113.1,481,1156,163
CY115113.1,482,1157,2
CY115113.1,486,1238,1
CY115113.1,48,1049,37
CY115113.1,494,1372,2
CY115113.1,49,173,1
CY115113.1,502,1340,10
CY115113.1,505,1174,1
CY115113.1,519,1313,1
CY115113.1,519,1371,1
CY115113.1,519,1373,4
CY115113.1,51,1260,140
CY115113.1,51,908,1
CY115113.1,521,1462,5
CY115113.1,522,1339,1
CY115113.1,526,1097,1
CY115113.1,529,1378,4
CY115113.1,52,1261,1
CY115113.1,530,1349,13
CY115113.1,537,1210,6
CY115113.1,53,115,1
CY115113.1,55,88,3
CY115113.1,571,1033,2
CY115113.1,571,1323,6
CY115113.1,576,1361,4
CY115113.1,587,1464,1
CY115113.1,587,817,2
CY115113.1,59,1031,1
CY115113.1,600,820,1
CY115113.1,60,329,7
CY115113.1,612,1155,1
CY115113.1,615,810,3
CY115113.1,617,1382,40
CY115113.1,617,1431,1
CY115113.1,621,1303,1
CY115113.1,621,1474,1
CY115113.1,622,1385,11
CY115113.1,627,1394,3
CY115113.1,628,1428,1
CY115113.1,633,1330,4
CY115113.1,634,1032,3
CY115113.1,63,1240,1
CY115113.1,63,387,38
CY115113.1,653,1402,1
CY115113.1,654,1412,1
CY115113.1,65,1264,5
CY115113.1,65,388,16
CY115113.1,65,389,2
CY115113.1,661,1375,3
CY115113.1,662,1336,3
CY115113.1,663,1420,753
CY115113.1,66,1243,166
CY115113.1,676,1463,1
CY115113.1,676,1465,1
CY115113.1,677,1464,72
CY115113.1,67,1238,2
CY115113.1,684,1476,26
CY115113.1,687,1460,1
CY115113.1,68,1239,23
CY115113.1,68,1309,1
CY115113.1,68,391,548
CY115113.1,69,1306,13
CY115113.1,69,392,1
CY115113.1,717,1461,1
CY115113.1,71,1150,1
CY115113.1,71,1306,2
CY115113.1,72,1131,1
CY115113.1,72,1220,5
CY115113.1,73,1181,2
CY115113.1,73,1319,5
CY115113.1,75,965,3
CY115113.1,76,1220,6
CY115113.1,77,112,3
CY115113.1,77,1321,2
CY115113.1,794,1058,1
CY115113.1,79,1306,1
CY115113.1,79,1433,1
CY115113.1,83,455,1
CY115113.1,842,1292,1
CY115113.1,849,1229,21
CY115113.1,84,457,2
CY115113.1,851,1231,2
CY115113.1,866,1376,2
CY115113.1,86,1236,4
CY115113.1,885,1369,1
CY115113.1,88,1283,4
CY115113.1,90,1052,3
CY115113.1,92,1309,48
CY115113.1,94,125,1
CY115113.1,98,1170,3
CY115113.1,98,1271,1
CY115113.1,98,1339,171
CY115113.1,98,1352,4
CY115113.1,99,1181,1
CY115114.1,101,1569,1
CY115114.1,102,1424,2
CY115114.1,102,1520,9
CY115114.1,102,1575,2
CY115114.1,108,1305,2
CY115114.1,112,1567,3
CY115114.1,113,1454,3
CY115114.1,113,1580,1
CY115114.1,113,1596,1
CY115114.1,113,1601,1
CY115114.1,113,1611,2
CY115114.1,114,1598,1
CY115114.1,114,957,1
CY115114.1,121,1334,1
CY115114.1,122,1528,7
CY115114.1,127,1379,4
CY115114.1,129,1520,1
