Segment,Start,End,NGS_read_count
LC333182.1,1005,1668,1
LC333182.1,1059,2224,1
LC333182.1,1129,1378,1
LC333182.1,1133,1157,1
LC333182.1,1141,1204,1
LC333182.1,1191,1810,1
LC333182.1,1194,1643,1
LC333182.1,1256,1492,1
LC333182.1,1292,1346,1
LC333182.1,1293,1632,1
LC333182.1,1297,1544,1
LC333182.1,132,1638,1
LC333182.1,1335,1456,1
LC333182.1,1335,1465,1
LC333182.1,1371,1476,1
LC333182.1,1385,1468,1
LC333182.1,1402,1642,1
LC333182.1,1492,1521,1
LC333182.1,1496,1594,1
LC333182.1,1517,1642,2
LC333182.1,1524,1938,1
LC333182.1,1654,1698,1
LC333182.1,1712,1752,1
LC333182.1,1783,1831,1
LC333182.1,1810,1861,1
LC333182.1,1817,1950,1
LC333182.1,1836,1946,1
LC333182.1,1839,1959,1
LC333182.1,2030,2100,1
LC333182.1,2044,2167,1
LC333182.1,242,272,1
LC333182.1,428,1830,5
LC333182.1,434,1780,1
LC333182.1,449,1791,1
LC333182.1,450,1793,1
LC333182.1,467,1827,1
LC333182.1,497,1887,2
LC333182.1,521,1825,1
LC333182.1,522,1399,1
LC333182.1,554,1780,1
LC333182.1,564,1627,6
LC333182.1,593,806,1
LC333182.1,628,1626,1
LC333182.1,681,2113,1
LC333182.1,681,762,1
LC333182.1,702,1030,1
LC333182.1,746,815,2
LC333182.1,811,871,1
LC333182.1,838,1765,1
LC333182.1,841,885,1
LC333182.1,93,377,1
LC333182.1,992,1626,1
LC333183.1,1018,2196,1
LC333183.1,1050,1257,1
LC333183.1,1085,1399,2
LC333183.1,1091,1493,1
LC333183.1,1170,1352,1
LC333183.1,1191,1364,3
LC333183.1,1192,1376,1
LC333183.1,1221,1254,1
LC333183.1,1253,1399,1
LC333183.1,1256,1289,1
LC333183.1,1434,1507,1
LC333183.1,1544,1827,3
LC333183.1,1548,1808,1
LC333183.1,1554,2127,2
LC333183.1,1555,1776,1
LC333183.1,1586,1855,2
LC333183.1,1617,1684,1
LC333183.1,1650,2132,1
LC333183.1,1651,1983,1
LC333183.1,1663,1991,1
LC333183.1,166,2046,1
LC333183.1,1679,2138,1
LC333183.1,1798,1853,1
LC333183.1,1870,1902,3
LC333183.1,190,1995,1
LC333183.1,223,2110,1
LC333183.1,240,270,3
LC333183.1,301,539,1
LC333183.1,318,2020,1
LC333183.1,322,1941,5
LC333183.1,329,1882,1
LC333183.1,345,2099,1
LC333183.1,347,1892,53
LC333183.1,356,1840,1
LC333183.1,363,1841,1
LC333183.1,363,1917,2
LC333183.1,367,1855,1
LC333183.1,395,630,1
LC333183.1,404,1754,1
LC333183.1,430,1729,16
LC333183.1,438,1927,1
LC333183.1,460,509,1
LC333183.1,461,1836,1
LC333183.1,466,641,1
LC333183.1,494,1673,1
LC333183.1,528,1700,1
LC333183.1,557,1712,1
LC333183.1,578,610,1
LC333183.1,581,1616,1
LC333183.1,612,1645,1
