Segment,Start,End,NGS_read_count
LC333182.1,1061,1362,1
LC333182.1,1076,1118,1
LC333182.1,1131,1643,1
LC333182.1,127,720,1
LC333182.1,1284,1658,1
LC333182.1,1350,2108,1
LC333182.1,1351,1402,1
LC333182.1,1384,1962,1
LC333182.1,139,1961,2
LC333182.1,1401,1447,1
LC333182.1,1420,1442,1
LC333182.1,144,1806,1
LC333182.1,1465,1605,2
LC333182.1,1478,1640,1
LC333182.1,148,2137,7
LC333182.1,1507,2130,1
LC333182.1,1526,1865,1
LC333182.1,1596,1620,1
LC333182.1,1596,1842,1
LC333182.1,1597,1647,1
LC333182.1,1613,1651,1
LC333182.1,1619,1646,1
LC333182.1,161,2083,3
LC333182.1,1683,1809,1
LC333182.1,1707,1737,1
LC333182.1,1707,1772,1
LC333182.1,176,2063,1
LC333182.1,177,1844,1
LC333182.1,177,2045,9
LC333182.1,177,243,1
LC333182.1,178,2053,1
LC333182.1,179,2097,1
LC333182.1,181,2157,1
LC333182.1,196,1998,2
LC333182.1,200,2073,2
LC333182.1,2010,2063,1
LC333182.1,202,1771,1
LC333182.1,2038,2073,2
LC333182.1,2039,2071,2
LC333182.1,2039,2185,1
LC333182.1,2041,2069,1
LC333182.1,2045,2082,6
LC333182.1,2057,2102,3
LC333182.1,207,2081,1
LC333182.1,207,2193,1
LC333182.1,215,2213,1
LC333182.1,218,2085,1
LC333182.1,221,2102,1
LC333182.1,222,2085,1
LC333182.1,228,2057,12
LC333182.1,232,2107,1
LC333182.1,235,2022,2
LC333182.1,242,1953,1
LC333182.1,245,2022,1
LC333182.1,245,2171,1
LC333182.1,251,1855,1
LC333182.1,254,2003,1
LC333182.1,260,1633,1
LC333182.1,266,2013,1
LC333182.1,269,1863,1
LC333182.1,271,1838,2
LC333182.1,273,1953,5
LC333182.1,275,1964,1
LC333182.1,276,1938,1
LC333182.1,283,2068,1
LC333182.1,285,1997,1
LC333182.1,286,1958,1
LC333182.1,293,2005,1
LC333182.1,293,2085,1
LC333182.1,293,2138,1
LC333182.1,295,1587,1
LC333182.1,297,1636,1
LC333182.1,298,1952,1
LC333182.1,306,2005,1
LC333182.1,307,2113,1
LC333182.1,310,2102,1
LC333182.1,316,2014,2
LC333182.1,316,2104,2
LC333182.1,322,2052,1
LC333182.1,323,1516,1
LC333182.1,325,1787,1
LC333182.1,327,1558,1
LC333182.1,327,1920,4
LC333182.1,331,1976,1
LC333182.1,332,1868,1
LC333182.1,332,1952,1
LC333182.1,334,1963,1
LC333182.1,343,1587,2
LC333182.1,349,1876,1
LC333182.1,355,2030,1
LC333182.1,355,2099,2
LC333182.1,359,1873,1
LC333182.1,371,1793,1
LC333182.1,372,1890,1
LC333182.1,378,2059,3
LC333182.1,397,1766,13
