Segment,Start,End,NGS_read_count
CY018653.1,1090,1116,2
CY018653.1,1165,1358,2
CY018653.1,202,1514,2
CY018653.1,264,1015,1
CY018653.1,32,1073,1
CY018653.1,36,1640,2
CY018653.1,37,68,1
CY018653.1,55,1308,1
CY018653.1,639,1340,2
CY018654.1,123,418,1
CY018654.1,125,1040,1
CY018654.1,127,1013,2
CY018654.1,147,1041,10
CY018654.1,169,408,2
CY018654.1,173,939,1
CY018654.1,179,227,2
CY018654.1,182,940,9
CY018654.1,183,486,2
CY018654.1,187,829,2
CY018654.1,191,1055,1
CY018654.1,193,905,3
CY018654.1,194,923,2
CY018654.1,210,1011,1
CY018654.1,230,328,2
CY018654.1,237,848,1
CY018654.1,238,1052,1
CY018654.1,239,264,2
CY018654.1,246,567,1
CY018654.1,246,587,2
CY018654.1,269,702,1
CY018654.1,270,589,1
CY018654.1,270,727,1
CY018654.1,273,849,1
CY018654.1,290,945,5
CY018654.1,292,830,2
CY018654.1,294,363,1
CY018654.1,296,331,2
CY018654.1,312,821,1
CY018654.1,313,538,1
CY018654.1,319,460,1
CY018654.1,325,949,1
CY018654.1,339,1048,1
CY018654.1,342,534,1
CY018654.1,346,939,23
CY018654.1,348,496,1
CY018654.1,363,643,2
CY018654.1,364,460,2
CY018654.1,374,494,1
CY018654.1,380,708,4
CY018654.1,400,473,2
CY018654.1,415,928,2
CY018654.1,416,739,1
CY018654.1,418,893,1
CY018654.1,431,845,1
CY018654.1,436,945,1
CY018654.1,454,595,2
CY018654.1,485,786,2
CY018654.1,487,931,1
CY018654.1,516,591,1
CY018654.1,51,345,1
CY018654.1,52,752,1
CY018654.1,545,1012,1
CY018654.1,551,914,1
CY018654.1,56,283,1
CY018654.1,654,727,1
CY018654.1,796,904,2
CY018654.1,819,1026,1
CY018654.1,845,939,2
CY018654.1,85,1014,1
CY018654.1,938,964,2
CY018655.1,1180,1220,12
CY018655.1,1300,1365,1
CY018655.1,193,922,2
CY018655.1,211,1070,2
CY018655.1,211,277,2
CY018655.1,211,695,2
CY018655.1,243,1184,3
CY018655.1,247,1003,1
CY018655.1,254,1159,1
CY018655.1,261,1277,1
CY018655.1,265,296,2
CY018655.1,268,1227,18
CY018655.1,285,444,2
CY018655.1,291,1220,4
CY018655.1,302,963,2
CY018655.1,314,441,1
CY018655.1,348,1297,14
CY018655.1,349,1005,1
CY018655.1,362,1006,2
CY018655.1,371,1071,2
CY018655.1,375,1312,2
CY018655.1,377,1181,2
CY018655.1,399,1073,7
CY018655.1,404,1017,1
CY018655.1,455,884,1
CY018655.1,456,523,1
CY018655.1,457,1170,1
CY018655.1,462,697,1
CY018655.1,471,1316,1
CY018655.1,488,680,2
CY018655.1,50,694,1
CY018655.1,54,729,1
CY018655.1,559,1450,1
CY018655.1,598,1167,1
CY018655.1,605,1459,1
CY018655.1,622,668,1
CY018655.1,62,1293,6
CY018655.1,65,1306,4
CY018655.1,661,753,1
CY018655.1,667,1364,2
CY018655.1,713,779,2
CY018655.1,726,1468,1
CY018655.1,759,1353,4
CY018655.1,806,1157,2
CY018655.1,824,1289,1
CY018655.1,945,1467,1
CY018656.1,1004,1034,2
CY018656.1,105,1625,1
CY018656.1,107,1627,12
CY018656.1,108,1583,2
CY018656.1,1110,1749,1
CY018656.1,1112,1584,2
CY018656.1,1140,1284,1
CY018656.1,1178,1527,1
CY018656.1,117,1560,5
CY018656.1,1200,1536,1
CY018656.1,124,1588,1
CY018656.1,134,1549,6
CY018656.1,1371,1600,1
CY018656.1,1427,1657,1
CY018656.1,1448,1471,2
CY018656.1,1466,1650,1
CY018656.1,1516,1688,1
CY018656.1,179,1397,15
CY018656.1,212,1542,5
CY018656.1,289,1442,4
CY018656.1,299,1738,1
CY018656.1,392,804,1
CY018656.1,412,1287,1
CY018656.1,421,981,2
CY018656.1,461,1742,4
CY018656.1,480,1569,2
CY018656.1,496,1338,1
CY018656.1,498,1236,3
CY018656.1,511,1136,2
CY018656.1,528,1124,3
CY018656.1,551,1364,2
CY018656.1,560,1610,1
CY018656.1,586,1225,1
CY018656.1,589,1275,2
CY018656.1,589,1328,2
CY018656.1,606,1378,1
CY018656.1,643,843,1
CY018656.1,696,720,1
CY018656.1,727,794,2
CY018656.1,736,969,2
CY018656.1,738,1465,3
CY018656.1,780,1063,1
CY018656.1,784,978,1
CY018656.1,865,1094,2
CY018656.1,927,1295,2
CY018657.1,112,370,1
CY018657.1,113,175,1
CY018657.1,120,474,1
CY018657.1,121,500,2
CY018657.1,129,718,1
CY018657.1,150,190,1
CY018657.1,150,362,1
CY018657.1,157,797,2
CY018657.1,182,209,1
CY018657.1,199,478,2
CY018657.1,269,745,1
CY018657.1,269,754,1
CY018657.1,270,593,2
CY018657.1,310,683,2
CY018657.1,311,689,1
CY018657.1,335,422,1
CY018657.1,339,490,2
CY018657.1,367,719,1
CY018657.1,367,749,1
CY018657.1,36,420,1
CY018657.1,36,770,1
CY018657.1,392,926,1
CY018657.1,392,965,1
CY018657.1,414,867,1
CY018657.1,420,581,2
CY018657.1,427,661,1
CY018657.1,428,798,1
CY018657.1,447,709,1
CY018657.1,468,553,1
CY018657.1,46,636,1
CY018657.1,489,944,1
CY018657.1,499,642,2
CY018657.1,507,954,1
CY018657.1,50,432,1
CY018657.1,519,860,2
CY018657.1,527,581,1
CY018657.1,535,840,2
CY018657.1,536,699,2
CY018657.1,53,242,1
CY018657.1,54,787,1
CY018657.1,556,611,4
CY018657.1,561,697,2
CY018657.1,610,906,2
CY018657.1,613,677,2
CY018657.1,709,946,2
CY018657.1,757,819,1
CY018657.1,849,952,1
CY018657.1,88,178,2
CY018657.1,95,415,1
CY018658.1,1009,1167,1
CY018658.1,1059,2239,1
CY018658.1,1129,1706,1
CY018658.1,1129,2028,1
CY018658.1,122,837,1
CY018658.1,1243,1649,2
CY018658.1,139,2003,89
CY018658.1,1414,1634,2
CY018658.1,146,2003,12
CY018658.1,155,2076,1
CY018658.1,156,1718,7
CY018658.1,157,2030,6
CY018658.1,162,1987,8
CY018658.1,1754,2121,1
CY018658.1,177,2006,2
CY018658.1,187,510,1
CY018658.1,1904,2016,2
CY018658.1,191,1234,2
CY018658.1,191,1884,2
CY018658.1,194,2052,5
CY018658.1,195,2026,20
CY018658.1,195,2119,3
CY018658.1,196,2046,7
CY018658.1,198,2052,7
CY018658.1,200,1751,36
CY018658.1,201,2023,2
CY018658.1,2042,2103,3
CY018658.1,206,2019,8
CY018658.1,214,2026,3
CY018658.1,215,1896,3
CY018658.1,216,2025,178
CY018658.1,217,2133,17
CY018658.1,218,1806,1
CY018658.1,219,1833,1
CY018658.1,222,1611,5
CY018658.1,222,2031,3
CY018658.1,223,1612,2
CY018658.1,223,2126,1
CY018658.1,226,1947,6
CY018658.1,251,1601,5
CY018658.1,254,1649,2
CY018658.1,254,1992,8
CY018658.1,255,2132,4
CY018658.1,257,2202,2
CY018658.1,274,1822,13
CY018658.1,274,2003,7
CY018658.1,274,2006,5
CY018658.1,276,2004,3
CY018658.1,283,1845,5
CY018658.1,283,1863,4
CY018658.1,284,1823,2
CY018658.1,284,1941,5
CY018658.1,299,1855,1
CY018658.1,299,2019,5
CY018658.1,299,2063,1
CY018658.1,304,1864,12
CY018658.1,305,1892,1
CY018658.1,305,2019,8
CY018658.1,311,1796,1
CY018658.1,311,1886,9
CY018658.1,312,1536,10
CY018658.1,312,1948,8
CY018658.1,312,1992,4
CY018658.1,312,2007,6
CY018658.1,316,1822,196
CY018658.1,317,1823,1
CY018658.1,319,1864,7
CY018658.1,319,2028,11
CY018658.1,319,2075,2
CY018658.1,319,949,2
CY018658.1,327,1990,4
CY018658.1,328,1989,2
CY018658.1,329,2053,8
CY018658.1,330,1985,6
CY018658.1,331,1978,8
CY018658.1,332,1865,3
CY018658.1,340,1808,4
CY018658.1,347,1604,3
CY018658.1,351,1511,3
CY018658.1,351,1939,6
CY018658.1,352,2019,14
CY018658.1,353,2064,7
CY018658.1,388,1971,1
CY018658.1,389,1874,1
CY018658.1,389,1877,7
CY018658.1,405,1829,3
CY018658.1,405,1867,3
CY018658.1,406,1874,7
CY018658.1,406,1877,6
CY018658.1,411,1804,2
CY018658.1,411,1876,3
CY018658.1,411,2018,1
CY018658.1,412,1886,17
CY018658.1,414,1537,55
CY018658.1,414,1864,6
CY018658.1,414,2008,4
CY018658.1,415,1829,6
CY018658.1,417,1846,3
CY018658.1,419,1822,2
CY018658.1,419,1847,2
CY018658.1,420,1813,2
CY018658.1,420,1846,14
CY018658.1,420,1855,5
CY018658.1,420,1864,9
CY018658.1,420,2150,1
CY018658.1,421,1870,4
CY018658.1,421,1878,6
CY018658.1,422,1864,12
CY018658.1,422,1874,3
CY018658.1,423,1746,2
CY018658.1,423,1867,45
CY018658.1,423,1947,6
CY018658.1,424,1864,6
CY018658.1,424,1950,10
CY018658.1,424,2052,1
CY018658.1,424,843,2
CY018658.1,425,1950,114
CY018658.1,427,1852,7
CY018658.1,427,1854,64
CY018658.1,427,1863,28
CY018658.1,427,1864,1
CY018658.1,428,1867,7
CY018658.1,429,1848,5
CY018658.1,454,1822,2
CY018658.1,454,1831,6
CY018658.1,455,1842,3
CY018658.1,460,1219,2
CY018658.1,461,750,2
CY018658.1,462,1612,4
CY018658.1,462,1822,4
CY018658.1,462,1947,4
CY018658.1,463,1605,1
CY018658.1,463,1846,5
CY018658.1,463,1890,11
CY018658.1,465,1810,3
CY018658.1,465,1822,8
CY018658.1,468,1822,5
CY018658.1,470,1843,2
CY018658.1,471,1745,3
CY018658.1,471,1806,6
CY018658.1,471,1811,4
CY018658.1,472,1877,1
CY018658.1,472,1920,16
CY018658.1,475,1808,1
CY018658.1,505,1717,1
CY018658.1,506,1746,2
CY018658.1,507,1720,1
CY018658.1,508,697,1
CY018658.1,510,1704,20
CY018658.1,513,1416,6
CY018658.1,515,1891,6
CY018658.1,516,1423,2
CY018658.1,516,1525,10
CY018658.1,516,1701,2
CY018658.1,516,1704,2
CY018658.1,516,1847,2
CY018658.1,517,1844,1
CY018658.1,519,1852,27
CY018658.1,520,1847,31
CY018658.1,520,2151,1
CY018658.1,521,1835,3
CY018658.1,524,1623,2
CY018658.1,526,1757,4
CY018658.1,527,1633,2
CY018658.1,527,1805,3
CY018658.1,527,1835,3
CY018658.1,527,1846,2
CY018658.1,527,2064,1
CY018658.1,528,1692,1
CY018658.1,528,1756,4
CY018658.1,528,1843,3
CY018658.1,528,1844,24
CY018658.1,529,1707,13
CY018658.1,529,1879,23
CY018658.1,531,1693,2
CY018658.1,532,1722,1
CY018658.1,532,1822,2
CY018658.1,533,1730,2
CY018658.1,533,1829,6
CY018658.1,533,1864,7
CY018658.1,533,1939,2
CY018658.1,540,1811,1
CY018658.1,540,1830,176
CY018658.1,541,1735,1
CY018658.1,541,1829,8
CY018658.1,541,1831,1
CY018658.1,542,1828,1
CY018658.1,542,1852,2
CY018658.1,546,1563,1
CY018658.1,547,1623,1
CY018658.1,548,1621,2
CY018658.1,548,1734,1
CY018658.1,548,1974,3
CY018658.1,551,1609,1
CY018658.1,551,1845,3
CY018658.1,552,1610,1
CY018658.1,552,1611,2
CY018658.1,552,1612,15
CY018658.1,552,1613,10
CY018658.1,552,1811,3
CY018658.1,552,1831,3
CY018658.1,553,1813,3
CY018658.1,554,1731,1
CY018658.1,554,1842,1
CY018658.1,554,1843,9
CY018658.1,556,1598,2
CY018658.1,556,1606,1
CY018658.1,556,1715,3
CY018658.1,556,1720,1
CY018658.1,556,1723,1
CY018658.1,556,1727,3
CY018658.1,556,1811,4
CY018658.1,556,1866,1
CY018658.1,557,1605,2
CY018658.1,557,1624,4
CY018658.1,557,1636,17
CY018658.1,557,1813,3
CY018658.1,557,1839,3
CY018658.1,557,1846,6
CY018658.1,557,1896,1
CY018658.1,558,1474,2
CY018658.1,558,1609,8
CY018658.1,558,1843,2
CY018658.1,559,1707,2
CY018658.1,559,1758,5
CY018658.1,560,1612,2
CY018658.1,562,1595,5
CY018658.1,562,1841,27
CY018658.1,563,1638,1
CY018658.1,564,1601,5
CY018658.1,564,1808,2
CY018658.1,565,1726,4
CY018658.1,567,1599,2
CY018658.1,568,1990,10
CY018658.1,599,1523,1
CY018658.1,599,1637,2
CY018658.1,600,1573,3
CY018658.1,600,1696,5
CY018658.1,601,1565,1
CY018658.1,602,1744,2
CY018658.1,608,1704,2
CY018658.1,611,1606,6
CY018658.1,614,1617,5
CY018658.1,614,1623,2
CY018658.1,615,1598,2
CY018658.1,615,1615,1
CY018658.1,615,1639,5
CY018658.1,616,1636,2
CY018658.1,616,2144,1
