Segment,Start,End,NGS_read_count
AF389115.1,1012,1333,1
AF389115.1,101,2070,2
AF389115.1,101,2098,1
AF389115.1,101,2151,1
AF389115.1,101,2157,15
AF389115.1,102,2157,2
AF389115.1,1039,1692,2
AF389115.1,103,2222,1
AF389115.1,104,2107,1
AF389115.1,104,2114,2
AF389115.1,1053,1961,2
AF389115.1,1061,2202,1
AF389115.1,107,2132,2
AF389115.1,107,2152,2
AF389115.1,1082,1340,2
AF389115.1,109,2083,1
AF389115.1,109,2123,19
AF389115.1,109,2152,7
AF389115.1,109,2163,12
AF389115.1,109,2195,3
AF389115.1,109,2215,1
AF389115.1,1105,1843,1
AF389115.1,110,2099,1
AF389115.1,110,2152,9
AF389115.1,110,2174,4
AF389115.1,1116,2030,2
AF389115.1,111,2069,2
AF389115.1,111,425,2
AF389115.1,112,1667,1
AF389115.1,112,2105,1
AF389115.1,112,2106,1
AF389115.1,112,2142,1
AF389115.1,1138,1912,1
AF389115.1,114,2107,11
AF389115.1,1159,1912,2
AF389115.1,115,2006,1
AF389115.1,115,2012,1
AF389115.1,116,1233,1
AF389115.1,116,2085,70
AF389115.1,116,2115,1
AF389115.1,116,2157,3
AF389115.1,116,2161,3
AF389115.1,116,2177,1
AF389115.1,117,2010,2
AF389115.1,117,2130,2
AF389115.1,117,2139,3
AF389115.1,1185,1634,1
AF389115.1,118,1936,1
AF389115.1,118,2004,2
AF389115.1,118,2054,1
AF389115.1,118,2128,1
AF389115.1,118,2171,2
AF389115.1,1194,1643,3
AF389115.1,119,2161,4
AF389115.1,119,2232,1
AF389115.1,120,2056,1
AF389115.1,120,2110,1
AF389115.1,120,2164,1
AF389115.1,121,2012,1
AF389115.1,122,2054,1
AF389115.1,122,2160,6
AF389115.1,123,2073,1
AF389115.1,123,2081,4
AF389115.1,124,2121,1
AF389115.1,126,2045,3
AF389115.1,127,2080,2
AF389115.1,127,2085,1
AF389115.1,127,2098,1
AF389115.1,127,2109,2
AF389115.1,127,2157,4
AF389115.1,127,2199,2
AF389115.1,127,720,10
AF389115.1,127,777,3
AF389115.1,128,2003,1
AF389115.1,128,2077,3
AF389115.1,128,2107,2
AF389115.1,128,2127,3
AF389115.1,128,2139,11
AF389115.1,128,2158,2
AF389115.1,128,2185,1
AF389115.1,129,1781,12
AF389115.1,130,1782,1
AF389115.1,130,1888,1
AF389115.1,130,2003,2
AF389115.1,130,2077,1
AF389115.1,130,2132,9
AF389115.1,131,2013,2
AF389115.1,131,2090,2
AF389115.1,131,2118,8
AF389115.1,1326,2160,2
AF389115.1,132,2138,1
AF389115.1,133,2115,9
AF389115.1,133,2126,2
AF389115.1,133,2189,3
AF389115.1,133,2214,1
AF389115.1,134,1957,2
AF389115.1,134,2091,1
AF389115.1,134,2104,4
AF389115.1,134,2110,2
AF389115.1,1357,2183,2
AF389115.1,135,2075,1
AF389115.1,135,2087,1
AF389115.1,135,2106,2
AF389115.1,135,2137,3
AF389115.1,135,2159,8
AF389115.1,136,1584,3
AF389115.1,136,1661,1
AF389115.1,136,2108,2
AF389115.1,136,2147,1
AF389115.1,137,1595,4
AF389115.1,137,2059,1
AF389115.1,137,2104,2
AF389115.1,137,2109,1
AF389115.1,137,2176,2
AF389115.1,139,1695,1
AF389115.1,139,1933,1
AF389115.1,139,1961,29
AF389115.1,139,2058,3
AF389115.1,139,2061,1
AF389115.1,139,2145,3
AF389115.1,139,2152,2
AF389115.1,139,2241,1
AF389115.1,140,2142,9
AF389115.1,140,2150,1
AF389115.1,140,2175,4
AF389115.1,140,2191,1
AF389115.1,1414,1641,1
AF389115.1,1414,1853,2
AF389115.1,141,2087,3
AF389115.1,141,2133,1
AF389115.1,141,2180,1
AF389115.1,141,2203,5
AF389115.1,1427,1791,2
AF389115.1,142,2062,1
AF389115.1,143,2006,2
